full_name	clone_url	subject	stage	title	
MTK/ar_tw	https://git.door43.org/MTK/ar_tw.git	Translation Words	latest	unfoldingWord® Translation Words	
mikey/en_deb	https://git.door43.org/mikey/en_deb.git	Bible	latest	Unlocked Dynamic Bible	
Door43-Catalog/en_t4t	https://git.door43.org/Door43-Catalog/en_t4t.git	Bible	latest	Translation for Translators	
unfoldingWord/en_ta	https://git.door43.org/unfoldingWord/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
Door43-Catalog/en_ta	https://git.door43.org/Door43-Catalog/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
richmahn/en_ta	https://git.door43.org/richmahn/en_ta.git	Translation Academy	draft	translationAcademy	
richmahn/en_ta	https://git.door43.org/richmahn/en_ta.git	Translation Academy	draft	translationAcademy	
birch/en_ta	https://git.door43.org/birch/en_ta.git	Translation Academy	latest	translationAcademy	
cambell/en_ta	https://git.door43.org/cambell/en_ta.git	Translation Academy	latest	translationAcademy	
RichTestOrg/en_ta	https://git.door43.org/RichTestOrg/en_ta.git	Translation Academy	preprod	translationAcademy	
d43/en_ta	https://git.door43.org/d43/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
klappy/en_ta	https://git.door43.org/klappy/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
bspidel/en_ta	https://git.door43.org/bspidel/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
BincyJ/en_ta	https://git.door43.org/BincyJ/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
translate_test/en_ta	https://git.door43.org/translate_test/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
Kim.Sam/en_ta	https://git.door43.org/Kim.Sam/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
abelper8/en_ta	https://git.door43.org/abelper8/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
manny_colon/en_ta	https://git.door43.org/manny_colon/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
test_org/en_ta	https://git.door43.org/test_org/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
TestOrg111/en_ta	https://git.door43.org/TestOrg111/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
tim/en_ta	https://git.door43.org/tim/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
obsidian-vault/en_ta	https://git.door43.org/obsidian-vault/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
test_org3/en_ta	https://git.door43.org/test_org3/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
test_org2/en_ta	https://git.door43.org/test_org2/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
DMS/en_ta	https://git.door43.org/DMS/en_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
benjore/en_tft	https://git.door43.org/benjore/en_tft.git	Bible	latest	Translation for Translators	
unfoldingWord/en_tn	https://git.door43.org/unfoldingWord/en_tn.git	TSV Translation Notes	latest	unfoldingWord® Translation Notes	
