Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
amitaryan-services/aa_1co_text_reg		0			0			0									
asaanbil1/aa_2jn_text_reg		0			0			0									
asaanbil1/aa_jhn_text_reg		0			0			0									
cap/aa_luk_text_reg		0			0			0									
chilomwe/aa_1co_text_reg		0			0			0									
chilomwe/aa_1jn_text_reg		0			0			0									
chilomwe/aa_1th_text_reg		0			0			0									
chilomwe/aa_1ti_text_reg		0			0			0									
chilomwe/aa_2co_text_reg		0			0			0									
chilomwe/aa_2jn_text_reg		0			0			0									
chilomwe/aa_2pe_text_reg		0			0			0									
chilomwe/aa_2th_text_reg		0			0			0									
chilomwe/aa_2ti_text_reg		0			0			0									
chilomwe/aa_3jn_text_reg		0			0			0									
chilomwe/aa_act_text_reg		0			0			0									
chilomwe/aa_col_text_reg		0			0			0									
chilomwe/aa_eph_text_reg		0			0			0									
chilomwe/aa_gal_text_reg		0			0			0									
chilomwe/aa_heb_text_reg		0			0			0									
chilomwe/aa_jas_text_reg		0			0			0									
chilomwe/aa_jhn_text_reg		0			0			0									
chilomwe/aa_jud_text_reg		0			0			0									
chilomwe/aa_mat_text_reg		0			0			0									
chilomwe/aa_phm_text_reg		0			0			0									
chilomwe/aa_php_text_reg		0			0			0									
chilomwe/aa_rev_text_reg		0			0			0									
chilomwe/aa_rom_text_reg		0			0			0									
chilomwe/aa_tit_text_reg		0			0			0									
chindali/aa_1co_text_reg		0			0			0									
chindali/aa_1jn_text_reg		0			0			0									
chindali/aa_1pe_text_reg		0			0			0									
chindali/aa_1ti_text_reg		0			0			0									
chindali/aa_2co_text_reg		0			0			0									
chindali/aa_2jn_text_reg		0			0			0									
chindali/aa_2pe_text_reg		0			0			0									
chindali/aa_2ti_text_reg		0			0			0									
chindali/aa_3jn_text_reg		0			0			0									
chindali/aa_act_text_reg		0			0			0									
chindali/aa_heb_text_reg		0			0			0									
chindali/aa_jas_text_reg		0			0			0									
chindali/aa_jhn_text_reg		0			0			0									
chindali/aa_jud_text_reg		0			0			0									
chindali/aa_luk_text_reg		0			0			0									
chindali/aa_rev_text_reg		0			0			0									
chindali/aa_rom_text_reg		0			0			0									
chinyika/aa_jhn_text_reg																Empty Repo: chinyika/aa_jhn_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/chinyika/aa_jhn_text_reg/archive/master.zip: Download did not succeed, code 404	
chisukwa/aa_1co_text_reg		0			0			0									
chisukwa/aa_1jn_text_reg		0			0			0									
chisukwa/aa_1ti_text_reg		0			0			0									
chisukwa/aa_2jn_text_reg		0			0			0									
chisukwa/aa_2th_text_reg		0			0			0									
chisukwa/aa_2ti_text_reg		0			0			0									
chisukwa/aa_3jn_text_reg		0			0			0									
chisukwa/aa_act_text_reg		0			0			0									
chisukwa/aa_heb_text_reg		0			0			0									
chisukwa/aa_jas_text_reg		0			0			0									
chisukwa/aa_jhn_text_reg		0			0			0									
chisukwa/aa_jud_text_reg		0			0			0									
chisukwa/aa_mat_text_reg		0			0			0									
chisukwa/aa_phm_text_reg		0			0			0									
chisukwa/aa_php_text_reg		0			0			0									
