Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
bellekell/aaa_tit_text_reg		0			0			0									
bspidel/aaa_xyz_act_book		0			0			0				2018-09-27T19:31:04.229Z		7			
chilomwe/aaa_heb_text_reg		0			0			0									
chilomwe/aaa_luk_text_reg		0			0			0									
chilomwe/aaa_mrk_text_reg		0			0			0									
chindali/aaa_eph_text_reg		0			0			0									
chindali/aaa_gal_text_reg		0			0			0									
chisukwa/aaa_1pe_text_reg		0			0			0									
chisukwa/aaa_1th_text_reg		0			0			0									
chisukwa/aaa_2co_text_reg		0			0			0									
chisukwa/aaa_2pe_text_reg		0			0			0									
chisukwa/aaa_act_text_reg		0			0			0									
chisukwa/aaa_col_text_reg		0			0			0									
chisukwa/aaa_eph_text_reg		0			0			0									
chisukwa/aaa_gal_text_reg		0			0			0									
chisukwa/aaa_luk_text_reg		0			0			0									
chisukwa/aaa_rev_text_reg		0			0			0									
jag3773/aaa_est_text_reg		0			0			0									
jag3773/aaa_jhn_text_reg		0			0			0									
jesse_test/aaa_mat_text_reg		0			0			0									
jesse_test/aaa_tit_text_reg		0			0			0									
photonomad0/aaa_mat_text_reg		0			0			0									
rba/aaa_lev_text_reg		0			0			0									
richqa/aaa_php_text_reg		0			0			0									
