Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
birch/aac_luk_text_reg		0			0			0									
chilomwe/aac_mat_text_reg		0			0			0									
chindali/aac_1th_text_reg		0			0			0									
chindali/aac_2th_text_reg		0			0			0									
chindali/aac_col_text_reg		0			0			0									
chindali/aac_eph_text_reg		0			0			0									
chindali/aac_mrk_text_reg		0			0			0									
chindali/aac_php_text_reg		0			0			0									
chinyika/aac_1co_text_reg		0			0			0									
chinyika/aac_1jn_text_reg		0			0			0									
chinyika/aac_1pe_text_reg		0			0			0									
chinyika/aac_1th_text_reg		0			0			0									
chinyika/aac_1ti_text_reg		0			0			0									
chinyika/aac_2co_text_reg		0			0			0									
chinyika/aac_2jn_text_reg		0			0			0									
chinyika/aac_2pe_text_reg		0			0			0									
chinyika/aac_2th_text_reg		0			0			0									
chinyika/aac_2ti_text_reg		0			0			0									
chinyika/aac_3jn_text_reg		0			0			0									
chinyika/aac_act_text_reg		0			0			0									
chinyika/aac_col_text_reg		0			0			0									
chinyika/aac_eph_text_reg		0			0			0									
chinyika/aac_gal_text_reg		0			0			0									
chinyika/aac_heb_text_reg		0			0			0									
chinyika/aac_jas_text_reg		0			0			0									
chinyika/aac_jhn_text_reg		0			0			0									
chinyika/aac_jud_text_reg		0			0			0									
chinyika/aac_luk_text_reg		0			0			0									
chinyika/aac_mat_text_reg		0			0			0									
chinyika/aac_mrk_text_reg		0			0			0									
chinyika/aac_phm_text_reg		0			0			0									
chinyika/aac_php_text_reg		0			0			0									
chinyika/aac_rev_text_reg		0			0			0									
chinyika/aac_rom_text_reg		0			0			0									
chinyika/aac_tit_text_reg		0			0			0									
chisukwa/aac_1jn_text_reg																Empty Repo: chisukwa/aac_1jn_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/chisukwa/aac_1jn_text_reg/archive/master.zip: Download did not succeed, code 404	
chisukwa/aac_luk_text_reg		0			0			0									
chisukwa/aac_mat_text_reg		0			0			0									
chisukwa/aac_mrk_text_reg		0			0			0									
dmaka/aac_mat_text_reg		0			0			0									
jag3773/aac_3jn_text_reg		0			0			0									
jag3773/aac_test_3jn_book		0	en	v0.12	2	en	v0.12	33	en	v32	v0.13	2019-10-09T14:36:50.942Z	3.0.0	7			
jesse_test/aac_3jn_text_reg		0			0			0									
jesse_test/aac_test_3jn_book		0	en	v0.12	2	en	v0.12	33	en	v32	v0.13	2019-10-09T14:36:50.942Z	3.0.0	7			
jesse_test/aac_ulb_jud_book		80			0			0				2019-05-28T19:31:21.229Z		7			
jesse_test/aac_ulbs_jud_book		84			0			0				2019-06-10T13:25:52.567Z	1.1.4	7			
jsents/aac_act_text_reg		0			0			0									
manny_colon/aac_aaa_3jn_book		7	en		0	en		0	hi			2019-06-02T05:01:51.044Z	2.0.0	7			
mikeyg/aac_gen_text_reg		0			0			0									
ndego/aac_jas_text_reg		0			0			0									
pamelini/aac_1co_text_reg		0			0			0									
qa1/aac_tit_text_reg		0			0			0									
QATest1/aac_tit_text_reg		0			0			0									
rba/aac_num_text_reg		0			0			0									
richmahntest/aac_tit_text_reg		0			0			0									
