Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
joel/abu_tit_text_reg		0			0			0				2017-10-27T15:22:05.493Z		6			
natibekele/abu_1jn_text_reg		0			0			0									
parfait-ayanou/abu_1co_text_reg		0			0			0									
parfait-ayanou/abu_1jn_text_reg		0			0			0									
parfait-ayanou/abu_1pe_text_reg		0			0			0									
parfait-ayanou/abu_1th_text_reg		0			0			0									
parfait-ayanou/abu_1ti_text_reg		0			0			0									
parfait-ayanou/abu_2co_text_reg		0			0			0									
parfait-ayanou/abu_2jn_text_reg		0			0			0									
parfait-ayanou/abu_2pe_text_reg		0			0			0									
parfait-ayanou/abu_2th_text_reg		0			0			0									
parfait-ayanou/abu_2ti_text_reg		0			0			0									
parfait-ayanou/abu_3jn_text_reg		0			0			0									
parfait-ayanou/abu_col_text_reg		0			0			0									
parfait-ayanou/abu_eph_text_reg		0			0			0									
parfait-ayanou/abu_gal_text_reg		0			0			0									
parfait-ayanou/abu_heb_text_reg		0			0			0									
parfait-ayanou/abu_jas_text_reg		0			0			0									
parfait-ayanou/abu_jhn_text_reg		0			0			0									
parfait-ayanou/abu_jud_text_reg		0			0			0									
parfait-ayanou/abu_luk_text_reg		0			0			0									
parfait-ayanou/abu_mat_text_reg		0			0			0									
parfait-ayanou/abu_phm_text_reg		0			0			0									
parfait-ayanou/abu_php_text_reg		0			0			0									
parfait-ayanou/abu_rom_text_reg		0			0			0									
parfait-ayanou/abu_tit_text_reg		0			0			0									
qa99/abu_reg_tit_book		19			0			0				2018-04-18T14:08:36.516Z		1			
qa99/abu_tit_text_reg		0			0			0									
royalsix/abu_3jn_text_reg		0			0			0				2017-07-25T20:03:47.293Z					
royalsix/abu_tit_text_reg		0			0			0				2017-10-27T15:22:05.493Z					
tc01/abu_tit_text_reg		0			0			0									
tc01/abu_ult_tit_book		40			0			0				2018-08-07T17:13:37.069Z		6			
tc02/abu_tit_text_reg		0			0			0									
tc03/abu_tit_text_reg		0			0			0				2017-11-17T15:18:10.728Z					
tc04/abu_tit_text_reg		0			0			0									
tc05/abu_tit_text_reg		0			0			0				2017-11-17T18:28:22.966Z					
tc06/abu_tit_text_reg		0			0			0				2017-11-17T18:28:22.966Z					
TC_SAVE/abu_tit_text_reg		0			0			0									
tCore-test-data/abu_tit_text_reg		0			0			0									
v1.0.2/abu_tit_text_reg		0			0			0				2018-04-18T14:08:36.516Z		1			
