Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
benjore/ar_ulb_eph_book	2022-09-10T11:55:28.919Z	0			0			0				2019-02-11T22:38:14.457Z		7			
birch/ar_vdb_tit_book	2022-09-10T11:55:28.919Z	0	en	v0.12	0			0	en	v28	v0.12	2020-06-01T12:23:57.356Z	3.0.0	7			
bspidel/ar_ulbb_mat_book	2022-09-10T11:55:28.919Z	0			0			0				2017-07-26T18:47:16.285Z		7			
ElsyLambert/ar_copy_phm_book	2022-09-10T11:55:28.919Z	12	en	v0.12	3	en	v0.12	17	en	v32	v0.13	2020-05-27T02:04:56.240Z	3.0.2	7	unmatched tn checks found, 		
ElsyLambert/ar_new_phm_book	2022-09-10T11:55:28.919Z	12	en	v0.12	3	en	v0.12	16	en	v32	v0.13	2020-05-27T02:04:56.240Z	3.0.0	7	unmatched tn checks found, 		
ElsyLambert/ar_ulb_mat_book	2022-09-10T11:55:28.919Z	0	en	v0.12	0	en	v0.12	0	en	v30	v0.12	2017-07-26T18:47:16.285Z	3.0.0	7			
joel/ar_nav_oba_book		0	en	v2.1.15	1	en	v2.1.13	2	en	v32	v2.1.14	2020-07-07T21:20:20.489Z	3.0.1	7			
lversaw/nar_reg_rom_book		0			0			0				2020-05-10T23:21:12.693Z		7			
qa99/ar_nav_tit_book	2022-09-10T11:55:28.919Z	0	en	v0.13	0			0				2020-08-16T20:41:22.001Z	3.0.0	7			
tc01/ar_navc_tit_book	2022-09-10T11:55:28.919Z	0	en	v0.12	0	en	v0.12	0				2020-06-11T23:50:14.327Z	3.0.0	7			
tc01/ar_navd_tit_book	2022-09-10T11:55:28.919Z	0	en	v0.12	0	en	v0.12	0				2020-06-11T23:50:14.327Z	3.0.0	7			
tc01/ar_ulb_mat_book	2022-09-10T11:55:28.919Z	0			0			0				2017-07-26T18:47:16.285Z		7			
tc01/ar_vdb_tit_book	2022-09-10T11:55:28.919Z	0	en	v0.12	0			0	en	v28	v0.12	2020-06-01T12:23:57.356Z	3.0.0	7			
