Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
India_BCS/as_irv_1co_book	2022-01-10T14:37:20.312Z	82	en	v0.13	0			0				2020-12-24T09:45:24.681Z	3.0.0	7			
India_BCS/as_irv_1jn_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-04T08:47:39.316Z	2.1.2	7			
India_BCS/as_irv_1pe_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-05T07:01:33.409Z	2.1.2	7			
India_BCS/as_irv_1th_book	2022-01-10T14:37:20.312Z	85	en	v0.13	0			0				2020-12-24T10:20:25.034Z	3.0.0	7			
India_BCS/as_irv_1ti_book	2022-01-10T14:37:20.312Z	51	en	v0.13	0			0				2020-12-24T10:25:42.270Z	3.0.0	7			
India_BCS/as_irv_2co_book	2022-01-10T14:37:20.312Z	68	en	v0.13	0			0				2020-12-24T09:51:34.092Z	3.0.0	7			
India_BCS/as_irv_2jn_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-05-29T12:47:10.228Z	2.1.2	7			
India_BCS/as_irv_2pe_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-09T13:40:41.218Z	2.1.2	7			
India_BCS/as_irv_2th_book	2022-01-10T14:37:20.312Z	6	en	v0.13	0			0				2020-12-24T10:22:46.416Z	3.0.0	7			
India_BCS/as_irv_2ti_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-04T08:23:53.358Z	2.1.2	7			
India_BCS/as_irv_3jn_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0	en		0	en	v28	v0.12	2020-06-05T06:25:01.609Z	2.1.2	7			
India_BCS/as_irv_act_book	2022-01-10T14:37:20.312Z	59	en	v0.13	0			0				2020-12-24T09:28:25.486Z	3.0.0	7			
India_BCS/as_irv_col_book	2022-01-10T14:37:20.312Z	47	en	v0.13	0			0				2020-12-24T10:15:55.757Z	3.0.0	7			
India_BCS/as_irv_eph_book	2022-01-10T14:37:20.312Z	80	en	v0.13	0			0				2020-12-24T10:02:28.948Z	3.0.0	7			
India_BCS/as_irv_gal_book	2022-01-10T14:37:20.312Z	78	en	v0.13	0			0				2020-12-24T09:58:26.637Z	3.0.0	7			
India_BCS/as_irv_heb_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-09T14:14:41.052Z	2.1.2	7			
India_BCS/as_irv_jas_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-05T06:47:22.203Z	2.1.2	7			
India_BCS/as_irv_jhn_book	2022-01-10T14:37:20.312Z	86	en	v0.13	0			0				2020-12-24T09:10:52.541Z	3.0.0	7			
India_BCS/as_irv_jud_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-05T06:39:08.246Z	2.1.2	7			
India_BCS/as_irv_luk_book	2022-01-10T14:37:20.312Z	80	en	v0.13	0			0				2020-12-24T08:56:43.578Z	3.0.0	7			
India_BCS/as_irv_mat_book	2022-01-10T14:37:20.312Z	91	en		0	en		0	en			2020-05-27T05:58:17.685Z	2.1.2	7			
India_BCS/as_irv_mrk_book	2022-01-10T14:37:20.312Z	99	en	v0.12	0			0				2020-06-01T10:40:04.569Z	2.1.2	7			
India_BCS/as_irv_phm_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-25T08:04:24.260Z	2.1.2	7			
India_BCS/as_irv_php_book	2022-01-10T14:37:20.312Z	52	en	v0.13	0			0				2020-12-24T10:08:35.901Z	3.0.0	7			
India_BCS/as_irv_rev_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-16T05:33:29.430Z	2.1.2	7			
India_BCS/as_irv_rom_book	2022-01-10T14:37:20.312Z	69	en	v0.13	0	en		0	en	v32	v0.13	2020-12-24T09:38:37.721Z	3.0.0	7			
India_BCS/as_irv_tit_book	2022-01-10T14:37:20.312Z	100	en	v0.12	0			0				2020-06-01T07:04:52.396Z	2.1.2	7			
shojojohn/as_irv_mat_book	2022-01-10T14:37:20.312Z	3	en		0	en		0	en			2020-01-28T05:46:35.780Z	2.1.0	7			
shojojohn/as_irv_mrk_book	2022-01-10T14:37:20.312Z	38	en	v0.13	0			0				2021-01-22T07:28:07.124Z	3.0.0	7			
shojojohn/as_irv_rev_book	2022-01-10T14:37:20.312Z	16	en	v0.13	0			0				2021-01-22T07:55:01.572Z	3.0.0	7			
