Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
ekhelaremma/atg_jud_text_reg		0			0			0									
ekhelaremma/atg_phm_text_reg		0			0			0									
krispy/atg_1pe_text_reg		0			0			0									
krispy/atg_1th_text_reg		0			0			0									
krispy/atg_2jn_text_reg		0			0			0									
krispy/atg_2pe_text_reg		0			0			0									
krispy/atg_2th_text_reg		0			0			0									
krispy/atg_2ti_text_reg		0			0			0									
krispy/atg_3jn_text_reg		0			0			0									
krispy/atg_col_text_reg		0			0			0									
krispy/atg_jhn_text_reg																Empty Repo: krispy/atg_jhn_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/krispy/atg_jhn_text_reg/archive/master.zip: Download did not succeed, code 404	
krispy/atg_jud_text_reg		0			0			0									
krispy/atg_luk_text_reg		0			0			0									
krispy/atg_mrk_text_reg		0			0			0									
krispy/atg_phm_text_reg		0			0			0									
krispy/atg_php_text_reg		0			0			0									
krispy/atg_rom_text_reg		0			0			0									
krispy/atg_tit_text_reg		0			0			0									
Pungs6TH16/atg_1pe_text_reg		0			0			0									
Pungs6TH16/atg_2jn_text_reg		0			0			0									
Pungs6TH16/atg_2pe_text_reg		0			0			0									
Pungs6TH16/atg_3jn_text_reg		0			0			0									
Pungs6TH16/atg_jud_text_reg		0			0			0									
Pungs6TH16/atg_phm_text_reg		0			0			0									
Pungs6TH16/atg_php_text_reg		0			0			0									
Pungs6TH16/atg_tit_text_reg		0			0			0									
royalsix/atg_reg_tit_book																Empty Repo: royalsix/atg_reg_tit_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/royalsix/atg_reg_tit_book/archive/master.zip: Download did not succeed, code 404	
