Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
BCS_India/bn_irv_1jn_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-16T11:12:02.403Z	3.0.0	7			
BCS_India/bn_irv_2pe_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-19T06:00:11.660Z	3.0.0	7			
BCS_India/bn_irv_2ti_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-15T10:56:50.996Z	3.0.0	7			
BCS_India/bn_irv_heb_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-15T11:47:59.989Z	3.0.0	7			
BCS_India/bn_irv_jas_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-16T04:49:57.198Z	3.0.0	7			
BCS_India/bn_irv_phm_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-16T11:40:36.070Z	3.0.0	7			
BCS_India/bn_irv_rev_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-16T05:10:42.629Z	3.0.0	7			
BCS_India/bn_irv_rom_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0	en		0	en	v32	v0.13	2020-10-16T11:43:52.015Z	3.0.0	7			
BCS_India/bn_irv_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-17T05:03:23.247Z	3.0.0	7			
India_BCS/bn_irv_1co_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2019-12-18T04:41:29.272Z	2.0.0	7			
India_BCS/bn_irv_1jn_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-19T09:38:27.002Z	3.0.0	7			
India_BCS/bn_irv_1pe_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2019-12-19T05:03:13.978Z	2.0.0	7			
India_BCS/bn_irv_col_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2019-12-20T10:47:51.809Z	2.0.0	7			
