Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
34d529c24ac7d786/en-x-demo1_mrk_text_reg		0			0			0									
a/en-x-demo1_luk_text_reg		0			0			0									
af956a72d663eb54/en-x-demo1_mat_text_reg		0			0			0									
antrobia/en-x-demo1_rut_text_reg		0			0			0									
azz_athan/en-x-demo1_1jn_text_reg		0			0			0									
azz_athan/en-x-demo1_3jn_text_reg		0			0			0									
azz_athan/en-x-demo1_phm_text_reg		0			0			0									
azz_athan/en-x-demo1_tit_text_reg		0			0			0									
Baker/en-x-demo1_rut_text_reg		0			0			0									
bartowd/en-x-demo1_1jn_text_reg		0			0			0									
bartowd/en-x-demo1_php_text_reg		0			0			0									
blainewoo/en-x-demo1_rut_text_reg		0			0			0									
cdwhitfield73/en-x-demo1_jud_text_reg		0			0			0									
cdwhitfield73/en-x-demo1_mat_text_reg		0			0			0									
ChapPhil/en-x-demo1_gen_text_reg		0			0			0									
chrisjarka/en-x-demo1_2co_text_reg		0			0			0									
chrisjarka/en-x-demo1_jas_text_reg		0			0			0									
chrisjarka/en-x-demo1_mat_text_reg		0			0			0									
chrisjarka/en-x-demo1_phm_text_reg		0			0			0									
chuck/en-x-demo1_jon_text_reg		0			0			0									
chuck/en-x-demo1_luk_text_reg		0			0			0									
chuck/en-x-demo1_luk_text_reg_myfork		0			0			0									
creekchub/en-x-demo1_eph_text_reg		0			0			0									
CSilver49/en-x-demo1_rut_text_reg		0			0			0									
Douda/en-x-demo1_jhn_text_reg		0			0			0									
draw4j/en-x-demo1_rut_text_reg		0			0			0									
EdMcD/en-x-demo1_rut_text_reg		0			0			0									
ElsyLambert/en-x-demo1_ulb_php_book		0	en		0	en		0	en			2019-10-09T20:05:23.073Z	2.0.0	7			
ElsyLambert/en-x-demo1_ult_php_book																Empty Repo: ElsyLambert/en-x-demo1_ult_php_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/ElsyLambert/en-x-demo1_ult_php_book/archive/master.zip: Download did not succeed, code 404	
es419-2/en-x-demo1_mrk_text_reg		0			0			0									
es419-6/en-x-demo1_mrk_text_reg		0			0			0									
es419-8/en-x-demo1_mrk_text_reg		0			0			0									
ezekielbotswana/en-x-demo1_php_text_reg		0			0			0									
faustin-azaza/en-x-demo1_1jn_text_reg		0			0			0									
faustin-azaza/en-x-demo1_1ti_text_reg		0			0			0									
faustin-azaza/en-x-demo1_2jn_text_reg		0			0			0									
faustin-azaza/en-x-demo1_2ti_text_reg		0			0			0									
faustin-azaza/en-x-demo1_3jn_text_reg		0			0			0									
faustin-azaza/en-x-demo1_eph_text_reg		0			0			0									
faustin-azaza/en-x-demo1_jud_text_reg		0			0			0									
faustin-azaza/en-x-demo1_mrk_text_reg		0			0			0									
faustin-azaza/en-x-demo1_phm_text_reg		0			0			0									
Foghorn/en-x-demo1_1jn_text_reg		0			0			0									
gterhaar/en-x-demo1_gen_text_reg		0			0			0									
Hafid/en-x-demo1_phm_text_reg		0			0			0									
hoffmand/en-x-demo1_mrk_text_reg		0			0			0									
isrcov/en-x-demo1_rut_text_reg		0			0			0									
jdwood/en-x-demo1_amo_text_reg		0			0			0									
jdwood/en-x-demo1_mrk_text_reg		0			0			0									
jmorgan/en-x-demo1_mrk_text_reg		0			0			0									
joel.martin/en-x-demo1_reg_mrk_book		0			0			0									
joel/en-x-demo1_tit_text_reg		0			0			0									
joesaad/en-x-demo1_jud_text_reg		0			0			0									
KarenHWA/en-x-demo1_rut_text_reg		0			0			0									
kennym3/en-x-demo1_1jn_text_reg		0			0			0									
LadyKnight/en-x-demo1_rut_text_reg		0			0			0									
larrveit/en-x-demo1_jos_text_reg		0			0			0									
Lilly/en-x-demo1_rut_text_reg		0			0			0									
lversaw/en-x-demo1_gen_text_reg		0			0			0									
lversaw/en-x-demo1_jud_text_reg		0			0			0									
lversaw/en-x-demo1_lev_text_reg		0			0			0									
lversaw/en-x-demo1_mrk_text_reg		0			0			0									
lversaw/en-x-demo1_phm_text_reg		0			0			0									
mvccbtt/en-x-demo1_phm_text_reg		0			0			0									
pamelini/en-x-demo1_gen_text_reg		0			0			0									
phmcm/en-x-demo1_mrk_text_reg		0			0			0									
photonomad0/en-x-demo1_php_text_reg		0			0			0									
photonomad0/en-x-demo1_psa_text_reg		0			0			0									
pjoakes/en-x-demo1_udbx_tit_book		72	en	v0.20	0			0				2018-03-02T17:53:27.178Z	3.0.1	7			
prorlandosantos/en-x-demo1_1jn_text_reg		0			0			0									
qa1/en-x-demo1_3jn_text_reg		0			0			0									
qa1/en-x-demo1_jud_text_reg		0			0			0									
qa1/en-x-demo1_php_text_reg		0			0			0									
qa10/en-x-demo1_php_text_reg		0			0			0									
qa111/en-x-demo1_php_text_reg		0			0			0									
qa12/en-x-demo1_gal_text_reg		0			0			0									
qa12/en-x-demo1_php_text_reg		0			0			0									
qa123/en-x-demo1_jud_text_reg		0			0			0									
qa13/en-x-demo1_rut_text_reg		0			0			0									
qa15/en-x-demo1_rut_text_reg		0			0			0									
qa2/en-x-demo1_jud_text_reg		0			0			0									
qa2/en-x-demo1_php_text_reg		0			0			0									
qa2/en-x-demo1_rut_text_reg		0			0			0									
qa3/en-x-demo1_jud_text_reg		0			0			0									
qa3/en-x-demo1_php_text_reg		0			0			0									
qa3/en-x-demo1_rut_text_reg		0			0			0									
qa4/en-x-demo1_jud_text_reg		0			0			0									
qa4/en-x-demo1_mrk_text_reg		0			0			0									
qa4/en-x-demo1_php_text_reg		0			0			0									
qa4/en-x-demo1_tit_text_reg		0			0			0									
qa5/en-x-demo1_jud_text_reg		0			0			0									
qa5/en-x-demo1_luk_text_reg																Empty Repo: qa5/en-x-demo1_luk_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/qa5/en-x-demo1_luk_text_reg/archive/master.zip: Download did not succeed, code 404	
qa5/en-x-demo1_mat_text_reg		0			0			0									
qa5/en-x-demo1_mrk_text_reg		0			0			0									
qa5/en-x-demo1_phm_text_reg		0			0			0									
qa5/en-x-demo1_php_text_reg		0			0			0									
qa5/en-x-demo1_psa_text_reg																Empty Repo: qa5/en-x-demo1_psa_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/qa5/en-x-demo1_psa_text_reg/archive/master.zip: Download did not succeed, code 404	
qa5/en-x-demo1_rut_text_reg																Empty Repo: qa5/en-x-demo1_rut_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/qa5/en-x-demo1_rut_text_reg/archive/master.zip: Download did not succeed, code 404	
qa5/en-x-demo1_tit_text_reg		0			0			0									
qa55/en-x-demo1_jud_text_reg																Empty Repo: qa55/en-x-demo1_jud_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/qa55/en-x-demo1_jud_text_reg/archive/master.zip: Download did not succeed, code 404	
qa555/en-x-demo1_php_text_reg																Empty Repo: qa555/en-x-demo1_php_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/qa555/en-x-demo1_php_text_reg/archive/master.zip: Download did not succeed, code 404	
