Reference	Localized Group	Message	Selections	
figs-activepassive_3_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	Put coarse cloth on your animals, too-1	
figs-idiom_1_6__1	Idiom	unable to migrate selection, there are 2 similar checks	and pray to your god-1	
figs-metaphor_1_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	not kill us for killing this man if he is innocent-1	
figs-metaphor_3_10__1	Metaphor	2 duplicate migrations		
figs-metonymy_1_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	from him-1	
figs-metonymy_1_3__1	Metonymy	unable to migrate selection, no match found for check in new resources	Yahweh-1	
figs-metonymy_1_3__1	Metonymy	unable to migrate selection, no match found for check in new resources	from Yahweh-1	
figs-parallelism_2_3__1	Parallelism	unable to migrate selection, no match found for check in new resources	into the deep water, into the bottom of the sea-1	
figs-rquestion_2_4__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	But I will keep looking towards the holy place where you live-1	
figs-rquestion_4_4__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	Is it right for you to be angry that I did not destroy the city?-1	
figs-rquestion_4_9__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	Is it right for you to be angry about what happened to the vine?-1	
writing-background_4_11__1	Background Information	unable to migrate selection, no match found for check in new resources	There are also many cattle-1	
