Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
abelper8/es-419_tpl_phm_book	2021-12-26T16:00:27.487Z	0	en		0			100	en	v32	v0.13	2020-09-21T15:18:20.284Z	3.0.0	7	unmatched tn checks found, 		
abelper8/es-419_tpl_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.22	100	en	v0.22	85	en	v47	v0.20	2020-04-08T16:54:51.090Z	3.0.1	7			
abelper8/es-419_tps_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.22	100	en	v0.22	85	en	v47	v0.20	2020-04-08T15:02:48.473Z	3.0.1	7			
abelper8/es-419_ulb_phm_book	2021-12-26T16:00:27.487Z	4	en	v0.13	2	en	v0.13	8	en	v32	v0.13	2021-02-15T18:07:04.535Z	3.0.0	7			
abelper8/es-419_ulb_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2020-11-09T16:51:53.874Z		7			
AngelicaReyes/es-419_tpl_rut_book	2021-12-26T16:00:27.487Z	0	en		100	en	v2.1.14	100	en	v32	v2.1.14	2021-02-25T20:33:23.488Z	3.0.0	7	unmatched tn checks found, 		
AngelicaReyes/es-419_udb_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2020-04-09T21:28:29.532Z		7			
benjore/es-419_rvul_tit_book	2021-12-26T16:00:27.487Z	20			99			0				2019-03-07T22:35:13.385Z		7			
birch/es-419_ulb_jud_book	2021-12-26T16:00:27.487Z	0			0			0				2021-09-17T11:55:29.112Z		7			
birch/es-419_ulb_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2020-11-05T15:57:46.427Z		7			
birch/es-419_ulbb_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2020-11-05T15:57:46.427Z		7			
birch/es-419_uld_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2020-11-05T15:57:46.427Z		7			
bspidel/es-419_ulb_eph_book	2021-12-26T16:00:27.487Z	0			0			0				2018-09-20T03:26:14.373Z		6			
Connie/es-419_ulb_tit_book	2021-12-26T16:00:27.487Z	0			0			0									
LarryPinero/es-419_tpl_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.13	100	en	v0.18	95	en	v44	v0.18	2020-07-03T23:07:22.135Z	3.0.1	7			
LarryPinero/es-419_tpl_rut_book	2021-12-26T16:00:27.487Z	0	en		100	en	v2.1.17	100	en	v44	v2.1.17	2021-02-25T20:33:23.488Z	3.0.1	7	unmatched tn checks found, 		
LarryPinero/es-419_tpl_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.18	100	en	v0.18	100	en	v44	v0.18	2020-04-08T16:54:51.090Z	3.0.1	7	unmatched tn checks found, 		
LarryPinero/es-419_tps_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.12	100	en	v0.12	100	en	v28	v0.12	2020-07-03T23:14:32.070Z	3.0.0	7	unmatched tn checks found, 		
LarryPinero/es-419_tps_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.14	100	en	v0.18	100	en	v44	v0.18	2020-04-08T15:02:48.473Z	3.0.1	7	unmatched tn checks found, 		
LarryPinero/es-419_udb_tit_book	2021-12-26T16:00:27.487Z	93	en		1	en		1	en			2020-02-19T23:38:47.653Z	2.1.0	7	unmatched tn checks found, 		
LarryPinero/es-419_ulb_rut_book	2021-12-26T16:00:27.487Z	0			0			0				2020-11-03T17:22:22.177Z		7			
miguelcordero/es-419_tpl_rut_book	2021-12-26T16:00:27.487Z	0	en	v2.1.17	100	en	v2.1.17	100	en	v44	v2.1.17	2021-02-25T20:33:23.488Z	3.0.1	7	unmatched tn checks found, 		
miguelcordero/es-419_tps_rut_book	2021-12-26T16:00:27.487Z	100	en	v2.1.17	100	en	v2.1.17	100	en	v44	v2.1.17	2021-06-24T22:13:11.193Z	3.0.1	7	unmatched tn checks found, 		
photonomad0/es-419_reg_luk_book	2021-12-26T16:00:27.487Z	3			0			0				2018-10-18T01:43:06.493Z		7			
pjoakes/es-419_tpl_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.12	100	en	v0.12	100	en	v28	v0.12	2020-07-03T23:07:22.135Z	2.1.2	7	unmatched tn checks found, 		
pjoakes/es-419_tps_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.12	100	en	v0.12	100	en	v28	v0.12	2020-07-03T23:14:32.070Z	2.1.2	7	unmatched tn checks found, 		
pjoakes/es-419_ulb_gal_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T17:36:19.340Z		1			
qa99/es-419_ulb_tit_book	2021-12-26T16:00:27.487Z	0			0			0				2018-04-18T13:51:46.086Z		1			
tc0.8.1/es-419_abc_tit_book																Empty Repo: tc0.8.1/es-419_abc_tit_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/tc0.8.1/es-419_abc_tit_book/archive/master.zip: Download did not succeed, code 404	
tc0.8.1/es-419_abcd_tit_book																Empty Repo: tc0.8.1/es-419_abcd_tit_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/tc0.8.1/es-419_abcd_tit_book/archive/master.zip: Download did not succeed, code 404	
tc0.8.1/es-419_eigh_tit_book																Empty Repo: tc0.8.1/es-419_eigh_tit_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/tc0.8.1/es-419_eigh_tit_book/archive/master.zip: Download did not succeed, code 404	
tc01/es-419_eigg_tit_book																Empty Repo: tc01/es-419_eigg_tit_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/tc01/es-419_eigg_tit_book/archive/master.zip: Download did not succeed, code 404	
tc01/es-419_eigt_tit_book	2021-12-26T16:00:27.487Z	0	en		0			0				2018-01-03T22:13:27.015Z	2.0.0	7			
tc01/es-419_reg_tit_book	2021-12-26T16:00:27.487Z	22			0			0				2018-06-19T14:31:19.550Z		7			
