Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-2	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-2	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	por nosotros-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	alguno de nosotros-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nuestro pueblo-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nosotros mismos-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	para los que son malvados y no creen en Jesús el Mesías, todo lo que hacen los convierte en inaceptables para Dios-1	
