Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
chrisjarka/fa_jhn_text_reg		0			0			0									
chrisjarka/fa_psa_text_reg		0			0			0									
dshortess/fa_1co_text_reg		0			0			0									
dshortess/fa_1ki_text_reg		0			0			0									
dshortess/fa_1sa_text_reg		0			0			0									
dshortess/fa_1th_text_reg		0			0			0									
dshortess/fa_2ch_text_reg		0			0			0									
dshortess/fa_2co_text_reg		0			0			0									
dshortess/fa_2ki_text_reg		0			0			0									
dshortess/fa_2sa_text_reg		0			0			0									
dshortess/fa_col_text_reg		0			0			0									
dshortess/fa_est_text_reg		0			0			0									
dshortess/fa_exo_text_reg		0			0			0									
dshortess/fa_ezr_text_reg		0			0			0									
dshortess/fa_jas_text_reg		0			0			0									
dshortess/fa_jdg_text_reg		0			0			0									
dshortess/fa_jer_text_reg		0			0			0									
dshortess/fa_job_text_reg		0			0			0									
dshortess/fa_luk_text_reg		0			0			0									
dshortess/fa_neh_text_reg		0			0			0									
dshortess/fa_rom_text_reg		0			0			0									
dshortess/fa_rut_text_reg		0			0			0									
farhadazad/fa_php_text_reg		0			0			0									
FCDJ4E/fa_1ch_text_reg		0			0			0									
FCDJ4E/fa_1ti_text_reg		0			0			0									
FCDJ4E/fa_2ti_text_reg		0			0			0									
FCDJ4E/fa_ezk_text_reg		0			0			0									
FCDJ4E/fa_gen_text_reg		0			0			0									
FCDJ4E/fa_hos_text_reg		0			0			0									
FCDJ4E/fa_jhn_text_reg		0			0			0									
FCDJ4E/fa_jol_text_reg		0			0			0									
FCDJ4E/fa_jos_text_reg		0			0			0									
FCDJ4E/fa_lev_text_reg		0			0			0									
FCDJ4E/fa_mrk_text_reg		0			0			0									
FCDJ4E/fa_num_text_reg		0			0			0									
gayle/fa_jon_text_reg		0			0			0									
gayle/fa_oba_text_reg		0			0			0									
jimo18/fa_amo_text_reg		0			0			0									
jimo18/fa_ecc_text_reg		0			0			0									
jimo18/fa_hab_text_reg		0			0			0									
jimo18/fa_hag_text_reg		0			0			0									
jimo18/fa_isa_text_reg		0			0			0									
jimo18/fa_lam_text_reg		0			0			0									
jimo18/fa_mal_text_reg		0			0			0									
jimo18/fa_mic_text_reg		0			0			0									
jimo18/fa_nam_text_reg		0			0			0									
jimo18/fa_sng_text_reg		0			0			0									
jimo18/fa_zec_text_reg		0			0			0									
jimo18/fa_zep_text_reg		0			0			0									
Korosharia/fa_fglt_1ti_book		0			0			0				2023-09-26T07:01:20.368Z	3.4.0	8			
Korosharia/fa_fglt_2jn_book		0			0			0				2023-09-06T15:29:52.992Z	3.4.0	8			
Korosharia/fa_fglt_3jn_book		0	fa	v0.29	0			0				2023-06-26T14:04:07.467Z	3.4.0	8			
Korosharia/fa_fglt_jas_book		0	en	v0.29	0			0				2023-09-25T16:54:25.517Z	3.4.0	8			
Korosharia/fa_fglt_phm_book		0			0			0				2023-09-06T15:31:45.905Z	3.4.0	8			
Korosharia/fa_fglt_tit_book		0	en	v0.29	0			0				2023-06-26T15:37:12.266Z	3.4.0	8			
Korosharia/fa_fgst_3jn_book		0	en	v0.29	0			0				2023-06-26T13:50:52.932Z	3.4.0	8			
Korosharia/fa_fgst_tit_book		0	en	v0.29	0			0				2023-06-26T15:13:29.384Z	3.4.0	8			
laurencraft/fa_2th_text_reg		0			0			0									
laurencraft/fa_act_text_reg		0			0			0									
laurencraft/fa_dan_text_reg		0			0			0									
laurencraft/fa_eph_text_reg		0			0			0									
laurencraft/fa_gal_text_reg		0			0			0									
laurencraft/fa_jon_text_reg		0			0			0									
laurencraft/fa_phm_text_reg		0			0			0									
laurencraft/fa_php_text_reg		0			0			0									
laurencraft/fa_tit_text_reg		0			0			0									
manikianpour/fa_mrk_text_reg		0			0			0									
morisniknam/fa_1ti_text_reg		0			0			0									
morisniknam/fa_2ti_text_reg		0			0			0									
morisniknam/fa_phm_text_reg		0			0			0									
mXaln/fa_mat_text_reg		0			0			0									
poestreich/fa_jhn_text_reg		0			0			0									
redgate/fa_deu_text_reg		0			0			0									
redgate/fa_pro_text_reg		0			0			0									
redgate/fa_psa_text_reg		0			0			0									
Rojina/fa_fglt_2jn_book		100	en	v0.31	100	en	v0.30	100	en	v73_unfoldingWord	v0.30	2023-09-06T15:29:52.992Z	3.4.0	8			
Rojina/fa_fglt_3jn_book		100	fa	v0.31	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-06-26T14:04:07.467Z	3.4.0	8			
Rojina/fa_fglt_jas_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-09-25T16:54:25.517Z	3.4.0	8			
Rojina/fa_fglt_phm_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-09-06T15:31:45.905Z	3.4.0	8			
Rojina/fa_fglt_tit_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-06-26T15:37:12.266Z	3.4.0	8			
uW_test_001/fa_fglt_3jn_book																Empty Repo: uW_test_001/fa_fglt_3jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/uW_test_001/fa_fglt_3jn_book/archive/master.zip: Download did not succeed, code 404	
