Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Aaron.Shryock/fr_ult_tit_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2021-04-07T18:50:52.773Z	3.0.0	7			
Aaron.Shryock/fr_ust_tit_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0	en	v0.13	0				2021-04-21T17:47:14.350Z	3.0.0	7			
andrew_belcher/fr_gen_text_reg		0			0			0									
Arish/fr_lsg_mrk_book		13	en	v0.29	0			0				2023-06-10T09:28:34.223Z	3.4.0	8			
asaanbil1/fr_1co_text_reg		0			0			0									
asaanbil1/fr_2co_text_reg		0			0			0									
asaanbil1/fr_gal_text_reg		0			0			0									
asaanbil1/fr_jud_text_reg		0			0			0									
asaanbil1/fr_mat_text_reg		0			0			0									
asaanbil1/fr_mrk_text_reg		0			0			0									
asaanbil1/fr_phm_text_reg		0			0			0									
asaanbil1/fr_php_text_reg		0			0			0									
asaanbil1/fr_rev_text_reg		0			0			0									
asaanbil1/fr_tit_text_reg		0			0			0									
bspidel/fr_ulb_tit_book	2023-09-19T17:18:08.123Z	2			0			0				2018-07-17T19:40:02.796Z		6			
HeatherO/fr_gst_tit_book																Could not download HeatherO/fr_gst_tit_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
HeatherO/fr_lsg_1jn_book		100	fr	v0.29	0			0				2023-09-14T08:40:56.505Z	3.3.0	7			
HeatherO/fr_lsg_1pe_book		100	fr	v0.29	0			0				2023-09-16T13:55:12.338Z	3.3.0	7			
HeatherO/fr_lsg_2jn_book		100	fr	v0.29	0			0				2023-09-14T08:42:58.367Z	3.3.0	7			
HeatherO/fr_lsg_2pe_book		100	fr	v0.29	0			0				2023-09-16T13:56:42.070Z	3.3.0	7			
HeatherO/fr_lsg_3jn_book		100	fr	v0.29	0			0				2023-09-14T08:44:03.700Z	3.3.0	7			
HeatherO/fr_lsg_jhn_book		100	fr	vunknown	0			0				2023-07-06T14:06:22.413Z	3.3.0	7			
HeatherO/fr_lsg_mat_book		97	fr	v0.29	0			0				2022-10-25T08:17:43.324Z	3.3.0	7			
HeatherO/fr_lsg_mrk_book		99	fr	v0.29	0			0				2023-05-22T11:07:26.211Z	3.3.0	7			
KentR1235/fr_glt_php_book		89	en	v0.29	0			0				2022-08-03T22:11:19.274Z	3.3.1	7			
KentR1235/fr_glt_tit_book		100	fr	vunknown	0	fr	vunknown	19	en	v65_Door43-Catalog	v0.29	2022-08-03T22:08:12.092Z	3.3.1	7			
KentR1235/fr_gst_php_book		98	fr	vunknown	0			0				2022-08-03T22:13:51.590Z	3.3.1	7			
KentR1235/fr_gst_tit_book		100	fr	vunknown	0			0				2022-08-03T22:12:44.946Z	3.3.1	7			
KentR1235/fr_lsg_php_book		100	fr	vunknown	0			0				2022-08-12T13:55:44.701Z	3.3.1	7			
KentR1235/fr_lsg_tit_book		100	fr	vunknown	0			0				2022-08-13T14:10:20.312Z	3.3.0	7			
