Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/gu_gglt_1jn_book																Empty Repo: Amos.Khokhar/gu_gglt_1jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Amos.Khokhar/gu_gglt_1jn_book/archive/master.zip: Download did not succeed, code 404	
Amos.Khokhar/gu_gglt_1pe_book		100	en	v0.29	100	en	v0.29	98	en	v65_Door43-Catalog	v0.29	2022-11-25T12:28:32.502Z	3.4.0	8			
Amos.Khokhar/gu_gglt_2pe_book		100	en	v0.22	99	en	v0.22	94	en	v57	v0.22	2022-03-15T10:16:26.155Z	3.1.0	7	unmatched tn checks found, 		
Amos.Khokhar/gu_gglt_jhn_book		100	en	v0.29	100	en	v0.29	91	en	v65_Door43-Catalog	v0.29	2022-11-25T12:22:49.280Z	3.4.0	8			
Amos.Khokhar/gu_gglt_jud_book		100	en	v0.22	100	en	v0.22	94	en	v57	v0.22	2022-03-14T10:52:14.411Z	3.1.0	7			
Amos.Khokhar/gu_gglt_luk_book		0	en		0	en		0	en	v60_Door43-Catalog	v0.24	2022-09-01T10:25:42.480Z	3.2.0	7			
Amos.Khokhar/gu_gglt_phm_book		100	en	v0.22	100	en	v0.22	94	en	v57	v0.22	2022-03-14T12:21:49.131Z	3.1.0	7			
Amos.Khokhar/gu_ggst_1pe_book		100	en	v0.29	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-25T15:14:45.759Z	3.4.0	8			
Amos.Khokhar/gu_ggst_1ti_book		99	en	v0.22	100	en	v0.22	99	en	v57	v0.22	2022-03-08T08:45:29.004Z	3.1.0	7	unmatched tn checks found, 		
Amos.Khokhar/gu_ggst_2pe_book		100	en	v0.22	100	en	v0.22	93	en	v57	v0.22	2022-03-18T10:36:21.062Z	3.1.0	7	unmatched tn checks found, 		
Amos.Khokhar/gu_ggst_2ti_book		100	en	v0.22	100	en	v0.22	99	en	v57	v0.22	2022-03-01T09:01:49.763Z	3.1.0	7			
Amos.Khokhar/gu_ggst_jhn_book		100	en	v0.29	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-25T15:11:50.128Z	3.4.0	8			
Amos.Khokhar/gu_ggst_jud_book		100	en	v0.22	100	en	v0.22	92	en	v57	v0.22	2022-03-16T13:04:08.653Z	3.1.0	7			
Amos.Khokhar/gu_ggst_phm_book		100	en	v0.22	100	en	v0.22	97	en	v57	v0.22	2022-03-17T14:16:41.459Z	3.1.0	7			
BCS_India/gu_ggst_jas_book																Empty Repo: BCS_India/gu_ggst_jas_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/BCS_India/gu_ggst_jas_book/archive/master.zip: Download did not succeed, code 404	
BCS_India/gu_irv_1pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-21T09:37:31.853Z	3.0.0	7			
BCS_India/gu_irv_1ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-21T05:16:32.461Z	3.0.0	7			
BCS_India/gu_irv_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-21T10:51:10.512Z	3.0.0	7			
BCS_India/gu_irv_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-21T06:47:06.783Z	3.0.0	7			
BCS_India/gu_irv_jas_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-22T05:13:48.029Z	3.0.0	7			
BCS_India/gu_irv_jud_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-22T04:59:14.807Z	3.0.0	7			
BCS_India/gu_irv_phm_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-21T09:11:20.058Z	3.0.0	7			
BhondvaGaneshbhai/gu_gglt_1pe_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-09-12T12:40:56.002Z	3.3.0	7			
BhondvaGaneshbhai/gu_gglt_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-25T06:02:26.079Z	3.4.0	8			
BhondvaGaneshbhai/gu_gglt_2th_book		100	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-11-02T10:43:20.209Z	3.2.0	7	unmatched tn checks found, 		
BhondvaGaneshbhai/gu_gglt_jhn_book		0	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-09-19T11:01:06.974Z	3.2.0	7	unmatched tn checks found, 		
BhondvaGaneshbhai/gu_gglt_mrk_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-03-02T08:03:03.048Z	3.4.0	8			
BhondvaGaneshbhai/gu_ggst_1co_book		100	en	v0.29	99	en	v0.29	98	en	v60_Door43-Catalog	v0.24	2022-11-08T06:42:58.086Z	3.2.0	7	unmatched tn checks found, 		
BhondvaGaneshbhai/gu_ggst_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-05-11T10:57:00.872Z	3.4.0	8			
BhondvaGaneshbhai/gu_ggst_2th_book		100	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-11-29T04:17:17.267Z	3.2.0	7	unmatched tn checks found, 		
BhondvaGaneshbhai/gu_ggst_mrk_book		99	en	v0.30	99	en	v0.30	99	en	v66_Door43-Catalog	v0.30	2023-03-22T08:38:16.339Z	3.4.0	8			
India_BCS/gu_irv_tit_book	2023-09-19T17:18:08.123Z	100	en		0			0				2020-01-03T10:27:34.820Z	2.0.0	7			
jinu/gu_gglt_1jn_book		100	en	v0.22	100	en	v0.22	97	en	v54	v0.22	2021-11-22T06:28:07.177Z	3.1.0	7			
jinu/gu_gglt_1th_book																Empty Repo: jinu/gu_gglt_1th_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/jinu/gu_gglt_1th_book/archive/master.zip: Download did not succeed, code 404	
jinu/gu_gglt_1ti_book		100	en	v0.22	99	en	v0.22	91	en	v57	v0.22	2022-02-22T15:18:36.067Z	3.0.2	7	unmatched tn checks found, 		
jinu/gu_gglt_2jn_book		100	en	v0.22	100	en	v0.22	98	en	v54	v0.22	2022-02-14T12:03:00.619Z	3.0.2	7			
jinu/gu_gglt_2ti_book		100	en	v0.22	100	en	v0.22	89	en	v57	v0.22	2022-02-24T10:16:40.641Z	3.0.2	7			
jinu/gu_gglt_eph_book		100	en	v0.22	100	en	v0.22	98	en	v57	v0.22	2022-02-23T04:42:19.095Z	3.0.2	7			
jinu/gu_gglt_jas_book		98	en	v0.14	99	en	v0.14	75	en	v53	v0.22	2021-10-12T09:11:18.367Z	3.1.0	7	unmatched tn checks found, 		
jinu/gu_gglt_jhn_book		100	en	v0.29	100	en	v0.29	99	en	v60_Door43-Catalog	v0.24	2022-09-19T11:01:06.974Z	3.2.0	7	unmatched tn checks found, 		
jinu/gu_gglt_luk_book		100	en	v0.22	99	en	v0.22	96	en	v54	v0.22	2021-11-30T06:54:57.411Z	3.0.2	7	unmatched tn checks found, 		
jinu/gu_gglt_mrk_book		100	en	v0.30	100	en	v0.30	99	en	v66_Door43-Catalog	v0.30	2023-03-02T08:03:03.048Z	3.4.0	8	unmatched tn checks found, 		
jinu/gu_gglt_php_book		100	en		100			98				2022-04-18T12:25:45.860Z	3.1.0	7			
jinu/gu_ggst_1jn_book		98	en	v0.22	99	en	v0.22	94	en	v57	v0.22	2021-12-03T14:58:45.560Z	3.0.2	7			
jinu/gu_ggst_2jn_book		100	en	v0.22	100	en	v0.22	98	en	v54	v0.22	2021-12-22T10:49:37.662Z	3.0.2	7			
jinu/gu_ggst_eph_book		97	en	v0.22	98	en	v0.22	91	en	v57	v0.22	2022-03-02T13:19:55.092Z	3.1.0	7			
jinu/gu_ggst_jas_book		100	en	v0.22	100	en	v0.22	97	en	v54	v0.22	2021-11-10T05:42:45.686Z	3.0.2	7	unmatched tn checks found, 		
jinu/gu_ggst_luk_book		99	en	v0.22	98	en	v0.22	84	en	v54	v0.22	2021-12-01T13:28:10.958Z	3.0.2	7	unmatched tn checks found, 		
jinu/gu_gst_jhn_book		99	en	v0.26	99	en	v0.26	93	en	v63	v0.26	2022-08-02T06:11:58.542Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_1co_book		100	en	v0.30	100	en	v0.30	99	en	v60_Door43-Catalog	v0.24	2022-11-12T10:44:07.590Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_1pe_book		100	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-09-12T12:40:56.002Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_1th_book		100	en	v0.30	100	en	v0.30	100	en	v60_Door43-Catalog	v0.24	2022-07-21T09:42:30.277Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_2co_book		100	en	v0.32	100	en	v0.32	100	en	v73_unfoldingWord	v0.30	2023-04-25T06:02:26.079Z	3.4.0	8	unmatched tn checks found, 		
NimitPatel/gu_gglt_2pe_book																Empty Repo: NimitPatel/gu_gglt_2pe_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_gglt_2pe_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_gglt_2th_book		100	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-11-02T10:43:20.209Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_col_book																Empty Repo: NimitPatel/gu_gglt_col_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_gglt_col_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_gglt_jhn_book		100	en	v0.29	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-09-19T11:01:06.974Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_gglt_jud_book																Empty Repo: NimitPatel/gu_gglt_jud_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_gglt_jud_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_gglt_mrk_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-03-02T08:03:03.048Z	3.4.0	8			
NimitPatel/gu_gglt_phm_book																Empty Repo: NimitPatel/gu_gglt_phm_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_gglt_phm_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_gglt_php_book																Empty Repo: NimitPatel/gu_gglt_php_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_gglt_php_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_1co_book		100	en	v0.29	99	en	v0.30	99	en	v60_Door43-Catalog	v0.24	2022-11-08T06:42:58.086Z	3.2.0	7	unmatched tn checks found, 		
NimitPatel/gu_ggst_1pe_book		100	en	v0.29	100	en	v0.29	99	en	v60_Door43-Catalog	v0.29	2022-09-20T06:23:03.583Z	3.2.0	7			
NimitPatel/gu_ggst_1th_book																Empty Repo: NimitPatel/gu_ggst_1th_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_1th_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_1ti_book																Empty Repo: NimitPatel/gu_ggst_1ti_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_1ti_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-05-11T10:57:00.872Z	3.4.0	8			
NimitPatel/gu_ggst_2jn_book																Empty Repo: NimitPatel/gu_ggst_2jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_2jn_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_2pe_book																Empty Repo: NimitPatel/gu_ggst_2pe_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_2pe_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_2th_book		100	en	v0.30	100	en	v0.29	100	en	v60_Door43-Catalog	v0.24	2022-11-29T04:17:17.267Z	3.2.0	7	unmatched tn checks found, 		
