Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	તે સારો છે-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	અવિશ્વાસી ન બન, પણ વિશ્વાસ રાખો-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	આ જગતનું-1 આ જગતનું-2	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	યહૂદીઓના તૈયારીના દિવસને કારણે અને કબર નજીક હોવાથી, તેઓએ ઈસુને ત્યાં મૂક્યા-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	સાહેબ, જો તમે તેને લઈ ગયા છો, તો-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	હું મારા પિતા અને તમારા પિતા અને મારા ઈશ્વર અને તમારા ઈશ્વર પાસે જાઉં છું-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મગ્દ્દલાની મરિયમ આવીને શિષ્યોને કહે છે-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	યહૂદીઓના ડરથી-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેણે તેઓને {તેમના} હાથ અને {તેમની} બાજુ બતાવી-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	વિશ્વાસ રાખો-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેં વિશ્વાસ કર્યો છે-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	જોયું નથી-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેઓ પ્રભુને કબરમાંથી લઇ ગયા છે-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેણે જોયું અને વિશ્વાસ કર્યો-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેઓ હજુ સુધી શાસ્ત્રને સમજી શક્યા ન હતા-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તે દર્શાવવા કે તે કઈ રીતના મૃત્યુથી ઈશ્વરનો મહિમા કરશે-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મારી પાછળ આવ.-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	આપણે જાણીએ છીએ-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	પોતે-1 છલાંગ લગાવી-1	
figs-metaphor_15_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	અને તેઓ તેને ભેગી કરીને અગ્નિમાં નાખે છે, અને તે બળી જાય છે-1	
figs-metonymy_12_28__1	Metonymy	unable to migrate selection, no match found for check in new resources	સ્વર્ગમાંથી એક અવાજ આવ્યો-1	
figs-metonymy_12_38__1	Metonymy	unable to migrate selection, no match found for check in new resources	પ્રભુનો ભુજ-1	
figs-metonymy_17_18__2	Metonymy	unable to migrate selection, no match found for check in new resources	જગતમાં-1 જગતમાં-2	
figs-metonymy_18_36__2	Metonymy	unable to migrate selection, no match found for check in new resources	આ જગતનું-1 આ જગતનું-2	
figs-metonymy_20_31__1	Metonymy	unable to migrate selection, no match found for check in new resources	તેમના નામમાં જીવન-1	
grammar-connect-logic-goal_1_31__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	તે-2 પ્રગટ થાય-1	
grammar-connect-logic-goal_6_52__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	ખાવા માટે-1	
grammar-connect-logic-goal_9_39__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	જેથી જેઓ જોતા નથી તેઓ જુએ અને જેઓ જોતા હોય તેઓ આંધળા થાય-1	
grammar-connect-time-sequential_3_22__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી-1	
grammar-connect-time-sequential_5_14__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી-1	
grammar-connect-time-sequential_5_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી-1	
grammar-connect-time-sequential_6_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી-1	
grammar-connect-time-sequential_7_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી-1	
guidelines-sonofgodprinciples_17_21__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	જેથી જગત વિશ્વાસ કરે કે તમે મને મોકલ્યો છે-1	
translate-names_19_39__1	How to Translate Names	unable to migrate selection, no match found for check in new resources	જે પહેલા રાત્રે તેમની પાસે આવ્યો હતો-1	
writing-background_11_5__1	Background Information	unable to migrate selection, no match found for check in new resources	હવે ઈસુ માર્થા અને તેની બહેન અને લાજરસને પ્રેમ કરતા હતા-1	
writing-background_1_24__1	Background Information	unable to migrate selection, no match found for check in new resources	અને જેઓને મોકલવામાં આવ્યા હતા તેઓ ફરોશીઓમાંથી હતા-1	
writing-background_1_44__1	Background Information	unable to migrate selection, no match found for check in new resources	હવે ફિલિપ બેથસૈદાનો હતો, આન્દ્રિયા અને પિતરના શહેરનો હતો-1	
writing-background_2_9__1	Background Information	unable to migrate selection, no match found for check in new resources	અને તે ક્યાંથી છે એ તે જાણતો ન હતો, પરંતુ નોકરો - જેમણે પાણી ખેંચ્યું હતું - જાણતા હતા-1	
writing-background_5_1__1	Background Information	unable to migrate selection, no match found for check in new resources	આ બાબતો પછી, ત્યાં યહૂદીઓનો એક તહેવાર હતો, અને ઈસુ યરૂશાલેમ ગયા-1	
writing-background_6_59__1	Background Information	unable to migrate selection, no match found for check in new resources	કફર-નહૂમમાં સભાસ્થાનમાં ઉપદેશ આપતાં તેમણે આ વાતો કહી-1	
writing-background_7_2__1	Background Information	unable to migrate selection, no match found for check in new resources	હવે યહૂદીઓનો તહેવાર, માંડવા પર્વ, નજીક હતો-1	
writing-pronouns_1_11__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	તે તેમના {પોતાના} પાસે આવ્યા-1	
writing-pronouns_1_12__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	તેમને-1	
