Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	તે એક સારો માણસ છે-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	શંકા કરવાનું બંધ કર {કે હું ફરીથી સજીવન થયો છું.} તેના બદલે, વિશ્વાસ કર કે {તે સાચું છે}!”-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	આ પાપી જગતનું નથી-1	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેઓએ ઈસુના શરીરને તે કબરમાં મૂક્યું કારણ કે તે નજીકમાં હતું અને કારણ કે તે દિવસ હતો જ્યારે યહૂદી લોકોએ પાસ્ખાપર્વની ઉજવણી માટે તૈયારી કરી હતી {તેથી તેઓએ સૂર્યાસ્ત પહેલા શરીરને દફનાવવું પડ્યું}.-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	સાહેબ, તમે ઈસુના શરીરને દૂર લઈ ગયા હોય તો-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મારા ભાઈઓ, શિષ્યો-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મગ્દલાની મરિયમ ઈસુના શિષ્યો પાસે ગઈ અને તેઓને કહ્યું,-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તે જ રવિવારની સાંજે-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેમણે તેમના શિષ્યોને એ ઘાવ બતાવ્યા જે તેમના હાથોમાં અને કૂખમાં હતા-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	અહીંના છિદ્રોમાં-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તું વિશ્વાસ કરે છે કે હું ફરીથી સજીવન થયો છું-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	જેમણે મને જોયો નથી-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	શિષ્ય યોહાન, જેને ઈસુ પ્રેમ કરતા હતા-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	યોહાન, તે બીજો શિષ્ય-1	
