Reference	Localized Group	Message	Selections	
figs-activepassive_2_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	આજ દાઉદના શહેરમાં તમારે સારુ એક ઉદ્ધારક કે જે ખ્રિસ્ત પ્રભુ છે, જનમ્યાં છે-1	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	આવનાર સમયમાં-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ખોવાયેલા એક-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	તમે આજ્ઞા આપવામાં આવેલ-1 બાબતો-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	આજ્ઞા આપવામાં આવેલ બાબતો જ-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ખોવાયેલાને-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	બનેલી બાબત જોઈને-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	બનેલી બાબતો જોઈને-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	બનેલ બિનાઓ-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	મારા સંબંધીની લખવામાં આવેલ સર્વ બાબતો-1	
