Reference	Localized Group	Message	Selections	
figs-123person_2_10__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	માણસના દીકરા-1	
figs-activepassive_1_14__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ઈસુ ગાલીલમાં આવ્યો-1	
figs-activepassive_1_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	સમય પૂરો થયો-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ત્યારે-1	
figs-doublenegatives_6_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	માર્ગને {સારું} કેવલ એક લાકડી વિના બીજું કઈ લેવું નહિ-1	
figs-doublet_14_68__1	Doublet	unable to migrate selection, no match found for check in new resources	તું શું કહે છે તે હું જાણતો નથી, તેમ સમજતો પણ નથી-1	
figs-ellipsis_15_11__1	Ellipsis	unable to migrate selection, no match found for check in new resources	તે તેઓને વાસ્તે બરબ્બાસને છોડી દે.-1	
figs-euphemism_5_39__1	Euphemism	unable to migrate selection, no match found for check in new resources	છોકરી તો મરી નથી ગઈ પણ ઊંઘે છે."-1	
figs-euphemism_6_25__1	Euphemism	unable to migrate selection, no match found for check in new resources	તું મને અપાવ-1	
figs-euphemism_6_27__1	Euphemism	unable to migrate selection, no match found for check in new resources	તેનું માથું લાવવાનો-1	
figs-exclusive_5_9__1	Exclusive and Inclusive ‘We’	unable to migrate selection, no match found for check in new resources	મારું નામ સેના {છે}, કેમ કે અમે ઘણાં છીએ."-1	
figs-explicit_10_7__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	માણસ પોતાનાં માબાપને મૂકી દેશે-1	
figs-explicit_11_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	અને બીજાઓએ, ખેતરોમાંથી ડાળીઓ કાપીને રસ્તામાં પાથરી.-1	
figs-explicit_13_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ભાઈ ભાઈને-1 પરસ્વાધીન કરશે-1	
figs-explicit_13_33__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	જાગતા રહી-1	
figs-explicit_14_54__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	અને ભાલદારોની સાથે બેસીને-1	
figs-explicit_14_55__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તેઓને {કઈ} જડી નહિ-1	
figs-explicit_14_60__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	વચમાં ઊભાં થઈને-1	
figs-explicit_14_60__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	શું તું કઈ ઉત્તર આપતો નથી? તેઓ તારી વિરુદ્ધ આ કેવી સાક્ષી પૂરે છે?"-1	
figs-explicit_14_65__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મોઢું ઢાકવા લાગ્યા-1	
