Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણે-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણને-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણને-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા પોતાનાઓએ-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણ-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણે-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	આપણા-2	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	પરંતુ જેઓ ભ્રષ્ટ અને અવિશ્વાસી છે તેઓને માટે કશું શુદ્ધ નથી-1	
