Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
chuck/hch-x-huicholeste_1ti_text_reg		0			0			0									
chuck/hch-x-huicholeste_1ti_yari_reg		0			0			0									
chuck/hch-x-huicholeste_mrk_norbel_reg		0			0			0									
chuck/hch-x-huicholeste_mrk_rafael_reg		0			0			0									
chuck/hch-x-huicholeste_mrk_text_reg		0			0			0									
chuck/hch-x-huicholeste_mrk_yari_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_1ti_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_2jn_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_2ti_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_3jn_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_jas_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_jhn_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_jud_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_mat_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_phm_text_reg		0			0			0									
mitikiwostky/hch-x-huicholeste_tit_text_reg		0			0			0									
Rafael/hch-x-huicholeste_1ti_text_reg		0			0			0									
Rafael/hch-x-huicholeste_2ti_text_reg		0			0			0									
Rafael/hch-x-huicholeste_jas_text_reg		0			0			0									
Rafael/hch-x-huicholeste_jhn_text_reg		0			0			0									
Rafael/hch-x-huicholeste_mat_text_reg		0			0			0									
Rafael/hch-x-huicholeste_mrk_text_reg		0			0			0									
Rafael/hch-x-huicholeste_tit_text_reg		0			0			0									
Santiago/hch-x-huicholeste_2ti_text_reg		0			0			0									
Santiago/hch-x-huicholeste_jas_text_reg		0			0			0									
Santiago/hch-x-huicholeste_mat_text_reg		0			0			0									
Santiago/hch-x-huicholeste_tit_text_reg		0			0			0									
tcnt/hch-x-huicholeste_reg_2ti_book		0			0			0				2018-04-18T17:39:49.742Z		1			
tcnt/hch-x-huicholeste_reg_mat_book		0			0			0				2018-04-18T17:32:37.525Z		1			
tcnt/hch-x-huicholeste_reg_phm_book		0			0			0				2018-04-18T17:40:53.009Z		1			
tcnt/hch-x-huicholeste_reg_tit_book		0			0			0				2018-04-18T17:40:21.008Z		1			
wendyc/hch-x-huicholeste_1ti_text_reg		0			0			0									
wendyc/hch-x-huicholeste_2jn_text_reg		0			0			0									
wendyc/hch-x-huicholeste_2ti_text_reg		0			0			0									
wendyc/hch-x-huicholeste_jud_text_reg		0			0			0									
wendyc/hch-x-huicholeste_mat_text_reg		0			0			0									
wendyc/hch-x-huicholeste_phm_text_reg		0			0			0									
wendyc/hch-x-huicholeste_tit_text_reg		0			0			0									
