Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/hi_glt_2co_book		0	en		0	en	v0.30	3	en	v71_unfoldingWord	v0.30	2023-04-19T09:18:06.403Z	3.4.0	8	unmatched tn checks found, 		
Amos.Khokhar/hi_hglt_1co_book		99	en	v0.30	100	en	v0.30	94	en	v66_Door43-Catalog	v0.30	2022-11-29T11:03:45.508Z	3.4.0	8			
Amos.Khokhar/hi_hglt_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	96	en	v54	v0.22	2021-11-16T16:08:11.938Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
Amos.Khokhar/hi_hglt_1pe_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-11-23T09:23:32.944Z	3.4.0	8			
Amos.Khokhar/hi_hglt_1th_book		100	en	v0.25	100	en	v0.25	100	en	v60_Door43-Catalog	v0.24	2022-05-08T08:19:12.842Z	3.2.0	7	unmatched tn checks found, 		
Amos.Khokhar/hi_hglt_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.20	100	en	v0.20	100	en	v47	v0.20	2021-05-25T07:44:17.169Z	3.0.1	7			
Amos.Khokhar/hi_hglt_2pe_book		100	en	v0.25	97	en	v0.22	87	en	v60_Door43-Catalog	v0.24	2022-07-29T08:50:08.310Z	3.2.0	7			
Amos.Khokhar/hi_hglt_2th_book		100	en	v0.30	100	en	v0.30	100	en	v65_Door43-Catalog	v0.29	2022-12-23T17:14:14.160Z	3.4.0	8			
Amos.Khokhar/hi_hglt_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.20	100	en	v0.20	99	en	v47	v0.20	2021-05-26T08:55:22.956Z	3.0.1	7			
Amos.Khokhar/hi_hglt_col_book		100	en	v0.25	99	en	v0.23	99	en	v58	v0.23	2022-04-16T04:13:23.349Z	3.2.0	7			
Amos.Khokhar/hi_hglt_ezr_book	2023-09-19T17:18:08.123Z	59	en	v2.1.23	97	en	v2.1.19	89	en	v47	v2.1.19	2021-09-21T14:34:32.695Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
Amos.Khokhar/hi_hglt_jhn_book		99	en	v0.24	99	en	v0.24	96	en	v65_Door43-Catalog	v0.29	2022-11-23T09:20:26.791Z	3.4.0	8			
Amos.Khokhar/hi_hglt_jud_book		0	en	v0.25	0	en	v0.23	0	en	v58	v0.23	2022-04-16T04:13:23.349Z	3.2.0	7			
Amos.Khokhar/hi_hglt_luk_book																Empty Repo: Amos.Khokhar/hi_hglt_luk_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Amos.Khokhar/hi_hglt_luk_book/archive/master.zip: Download did not succeed, code 404	
Amos.Khokhar/hi_hglt_mrk_book		4	en	v0.30	98	en	v0.30	99	en	v66_Door43-Catalog	v0.30	2023-02-12T11:06:12.133Z	3.4.0	8			
Amos.Khokhar/hi_hglt_neh_book																Empty Repo: Amos.Khokhar/hi_hglt_neh_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Amos.Khokhar/hi_hglt_neh_book/archive/master.zip: Download did not succeed, code 404	
Amos.Khokhar/hi_hglt_oba_book	2023-09-19T17:18:08.123Z	100	en	v2.1.15	100	en	v2.1.19	99	en	v53	v2.1.23	2021-07-21T05:31:42.777Z	3.0.1	7			
Amos.Khokhar/hi_hglt_phm_book		100	en	v0.23	100	en	v0.23	100	en	v58	v0.23	2022-03-31T11:36:02.362Z	3.2.0	7			
Amos.Khokhar/hi_hglt_php_book		100	en	v0.23	100	en	v0.23	99	en	v58	v0.23	2022-04-01T16:18:07.303Z	3.2.0	7			
Amos.Khokhar/hi_hgst_1co_book		95	en	v0.30	99	en	v0.30	99	en	v71_unfoldingWord	v0.30	2023-03-29T11:21:41.379Z	3.4.0	8			
Amos.Khokhar/hi_hgst_1jn_book		100	en	v0.23	100	en	v0.23	100	en	v58	v0.23	2022-04-08T05:35:51.567Z	3.1.0	7			
Amos.Khokhar/hi_hgst_1pe_book		100	en	v0.30	100	en	v0.30	100	en	v65_Door43-Catalog	v0.29	2022-11-23T09:52:00.635Z	3.4.0	8			
Amos.Khokhar/hi_hgst_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.20	100	en	v0.20	100	en	v47	v0.20	2021-06-01T10:53:15.816Z	3.0.1	7			
Amos.Khokhar/hi_hgst_2pe_book		79	en		100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-03-21T07:14:58.332Z	3.2.0	7			
