Reference	Localized Group	Message	Selections	
figs-abstractnouns_4_10__1	Abstract Nouns	2 duplicate migrations		
figs-abstractnouns_5_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विजय-1 जो-2 जयवंत हुई है-1	
figs-abstractnouns_5_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमारा विश्वास-1	
figs-ellipsis_2_2__1	Ellipsis	unable to migrate selection, no match found for check in new resources	और केवल हमारे ही नहीं, परन्तु सम्पूर्ण संसार के पापों के लिए भी।-1	
figs-ellipsis_4_1__1	Ellipsis	unable to migrate selection, no match found for check in new resources	कि वे परमेश्वर की ओर से हैं या नहीं-1	
figs-explicit_1_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	यदि हम अपने पापों का अंगीकार कर लेते हैं-1	
figs-explicit_2_26__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	जो तुम्हें पथभ्रष्ट कर रहे हैं।-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तो जिस प्रकार से वह चलता था, वह स्वयं भी अपने आप वैसे ही चले-1	
figs-explicit_4_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	क्योंकि जो व्यक्ति अपने भाई से प्रेम नहीं रखता, जिसे उसने देखा है, तो वह परमेश्वर से प्रेम रखने में भी सक्षम नहीं है, जिसे उसने नहीं देखा है।-1	
figs-explicit_5_10__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	जो व्यक्ति परमेश्वर के पुत्र पर विश्वास करता है वह अपने आप में गवाही रखता है। जो व्यक्ति परमेश्वर पर विश्वास नहीं करता है उसने अपने आप को झूठा ठहराया, क्योंकि उसने उस गवाही पर विश्वास नहीं किया जो परमेश्वर ने अपने पुत्र के विषय में दी है।-1	
figs-explicitinfo_1_1__1	Making Assumed Knowledge and Implicit Information Explicit	unable to migrate selection, no match found for check in new resources	हम ने अपनी आँखों से देखा-1 हम ने अपने हाथों से छुआ-1	
figs-gendernotations_3_24__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	और उसमें वह-1	
figs-genericnoun_4_21__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	जो व्यक्ति परमेश्वर से प्रेम रखता है-1	
figs-genericnoun_5_10__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	जो व्यक्ति-1 विश्वास करता है-1	
figs-hyperbole_3_18__1	Hyperbole	unable to migrate selection, no match found for check in new resources	हम बातों से और जीभ ही से प्रेम न करें-1	
figs-idiom_2_18__-1	Idiom	unable to migrate selection, no match found for check in new resources	यह अन्तिम समय है-1	
figs-idiom_2_24__-1	Idiom	unable to migrate selection, no match found for check in new resources	आरम्भ-1	
figs-idiom_3_17__1	Idiom	unable to migrate selection, no match found for check in new resources	वह अपने अंतरांग को उसकी-1 बंद कर लेता है-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, there are 5 similar checks	अंधकार ही में है और अंधकार ही में चलता है-1	
figs-metaphor_2_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	संसार मिटता जा रहा है-1	
figs-metaphor_2_5__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 3 similar checks	तो उसमें परमेश्वर का प्रेम कैसे बना रहता है?-1	
figs-metaphor_5_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	हम उस एकमात्र सच्चे जन में, उसके पुत्र यीशु मसीह में हैं-1	
figs-metaphor_5_6__1	Metaphor	2 duplicate migrations		
figs-metonymy_2_14__1	Metonymy	unable to migrate selection, there are 2 similar checks	परमेश्वर का वचन-1	
figs-metonymy_5_4__2	Metonymy	unable to migrate selection, no match found for check in new resources	संसार-1	
figs-personification_5_7__1	Personification	unable to migrate selection, no match found for check in new resources	जो गवाही देते हैं-1	
figs-quotations_5_11__1	Direct and Indirect Quotations	unable to migrate selection, no match found for check in new resources	परमेश्वर ने हमें अनन्त जीवन दिया है और यह जीवन उसके पुत्र में है।-1	
grammar-connect-condition-contrary_2_19__1	Connect – Contrary to Fact Conditions	unable to migrate selection, no match found for check in new resources	क्योंकि यदि वे हम में से होते, तो वे हमारे-1 ही रहते-1	
grammar-connect-condition-fact_2_3__1	Connect – Factual Conditions	unable to migrate selection, no match found for check in new resources	इसी से हमें ज्ञात होता है कि हम उसे जान गए हैं, यदि हम उसकी आज्ञाओं को पालन करते हैं।-1	
grammar-connect-condition-fact_4_11__1	Connect – Factual Conditions	2 duplicate migrations		
grammar-connect-condition-fact_4_12__1	Connect – Factual Conditions	unable to migrate selection, no match found for check in new resources	यदि हम एक दूसरे से प्रेम रखते हैं, तो परमेश्वर हम में बना रहता है, और उसका प्रेम हम में सिद्ध हो गया है।-1	
grammar-connect-condition-hypothetical_2_24__1	Connect – Hypothetical Conditions	unable to migrate selection, no match found for check in new resources	यदि जो कुछ तुम ने आरम्भ-1 सुना है, वह तुम में बना रहता है, तो तुम भी पुत्र में, और पिता में बने रहोगे।-1	
