Reference	Localized Group	Message	Selections	
 grammar-connect-logic-result_2_2__1	 grammar-connect-logic-result	unable to migrate selection, no match found for check in new resources	उनके द्वारा-1	
figs-abstractnouns_1_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	प्रयास-1 इन बातों को स्मरण रखने हेतु तुम सर्वदा सक्षम रहो।-1	
figs-abstractnouns_1_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उसने परमेश्वर की ओर से आदर और महिमा को प्राप्त किया।-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जिन्होंने उसी बहुमूल्य विश्वास को प्राप्त किया है-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उसकी ईश्वरीय सामर्थ्य-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	भक्ति-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ज्ञान के द्वारा-1 जिसने हमें-1 बुलाया है।-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उसकी स्वयं की महिमा और सद्गुण के द्वारा-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उसने हमें बहुमूल्य और महान प्रतिज्ञाएँ दी हैं,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	भक्ति-1	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अशुद्ध अभिलाषाओं में बने रहते हैं-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कपटपूर्ण कार्यों का-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आनन्द-2	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कपटपूर्ण कार्यों का आनन्द मनाते हैं।-1	
figs-abstractnouns_2_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जिसने अधर्म के लिए धन पाने से प्रीति की थी।-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	भविष्यद्वक्ता के बावलेपन को-1	
figs-abstractnouns_2_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	संसार के भ्रष्टाचार से-1	
figs-abstractnouns_2_21__2	Abstract Nouns	unable to migrate selection, no match found for check in new resources	पवित्र आज्ञा से-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जो अधर्मी लोगों के कामुक व्यवहार से दुःखी था।-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उद्धारकर्ता की-1	
figs-activepassive_2_19__1	Active or Passive	unable to migrate selection, no match found for check in new resources	क्योंकि जिसने किसी पर जय पाई है, उसी के द्वारा उसे दास बनाया गया है।-1	
figs-activepassive_3_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	अवयव पिघल जाएँगे।-1	
figs-declarative_1_19__1	Statements — Other Uses	unable to migrate selection, no match found for check in new resources	और उस पर ध्यान देने के द्वारा तुम भी अच्छा करते हो-1	
figs-declarative_3_3__1	Statements — Other Uses	unable to migrate selection, no match found for check in new resources	पहले यह जान लो,-1	
figs-distinguish_2_12__1	Distinguishing Versus Informing or Reminding	unable to migrate selection, no match found for check in new resources	बंदी बनाए जाने और नाश होने के लिए प्राकृतिक रूप से रचे गए हैं।-1	
figs-ellipsis_1_21__1	Ellipsis	unable to migrate selection, no match found for check in new resources	तब लोगों ने परमेश्वर की ओर से बातें कीं।-1	
figs-ellipsis_1_5__1	Ellipsis	unable to migrate selection, no match found for check in new resources	और भलाई में, ज्ञान को सम्मिलित करो;-1	
figs-ellipsis_1_7__1	Ellipsis	unable to migrate selection, no match found for check in new resources	और भाइचारे के लगाव में, प्रेम को सम्मिलित करो।-1	
figs-ellipsis_2_14__1	Ellipsis	unable to migrate selection, no match found for check in new resources	और वे कभी भी पाप करने से सन्तुष्ट नहीं हुए।-1	
figs-ellipsis_3_5__1	Ellipsis	unable to migrate selection, no match found for check in new resources	भूल गए हैं-1 आकाश बहुत समय पूर्व ही अस्तित्व में था-1	
