Reference	Localized Group	Message	Selections	
figs-123person_12_2__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	चौदह वर्ष पहले, परमेश्वर एक विशिष्ट मसीही व्यक्ति को स्वर्ग के तीसरे {स्तर} पर ले गया। मुझे इस बात का निश्चय नहीं है-1	
figs-123person_12_3__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	विशिष्ट मसीही-1	
figs-123person_12_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	परमेश्वर उस व्यक्ति को स्वर्गलोक में ले गया {जो स्वर्ग का वह स्थान है जहाँ मरे हुए विश्वासी रहते हैं}। वहाँ पर, उसने ऐसी आश्चर्यजनक बातें सुनीं जिन्हें वह किसी के समाने नहीं दोहरा सकता था।-1	
figs-123person_12_5__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	मैं उसके बारे में बड़ी-बड़ी बातें कह सकता हूँ {, चूँकि जिस व्यक्ति के बारे में मैं बात कर रहा हूँ वह मैं ही हूँ}। हालाँकि, मैं केवल इस बारे में ही बड़ी-बड़ी बातें कहूँगा कि मैं-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	वास्तव में, हम पूर्ण आश्वस्त होकर यह अपेक्षा करते हैं-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	और भी अधिक-1	
figs-abstractnouns_10_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	साहसी होकर-1 ताकि-1 तो मुझे भी तुम्हारे साथ जबरदस्ती करने की आवश्यकता-1 पड़े-1	
figs-abstractnouns_10_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हम अपने बचाव के लिए-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्वर को जानने से-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जिससे कि वे मसीह का आज्ञापालन करें।-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तैयार-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जिस समय तुम पूरी रीति से {मसीह} का आज्ञापालन करोगे-1 उस समय जो कोई भी उसकी आज्ञा का उल्लंघन करेगा-1	
figs-abstractnouns_10_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि कौन सी बात स्पष्ट है-1	
figs-abstractnouns_10_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि कैसे प्रभु {यीशु} ने हमें उसका प्रतिनिधित्व करने के लिए सशक्त किया है,-1	
figs-abstractnouns_11_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं जो कह रहा हूँ वह उतना ही सच है जैसे कि मानो वह बात मसीह कह रहा हो।-1	
figs-abstractnouns_11_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	किसी को भी-1 सकता हूँ-1 {मुझे पता है कि} कुछ लोग ऐसा करना चाहते हैं।-1	
figs-abstractnouns_11_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	धर्मी बनने में सहायता करने का-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तो मैं मूर्खतापूर्ण बातें कहने वाला होता हूँ-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि मैं अपने बारे में बड़ी-बड़ी बातें कह सकता हूँ-1	
figs-abstractnouns_11_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जब मैं कुछ ऐसी बातें कहूँ {जो मुझे} मूर्खतापूर्ण लगती हैं-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि जब हम तुम्हारे साथ थे उस समय पर हमने जैसा व्यवहार किया-1 उससे हमें शर्मिंदा हैं-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	केवल-1 क्योंकि मैं मूर्खतापूर्ण काम कर रहा हूँ-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	लोगों ने {उनसे अधिक} मुझे बंदीगृह में डाला-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं लगभग मर ही गया था।-1	
figs-abstractnouns_11_26__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं खतरनाक स्थानों से होकर गुज़रता हूँ जिनमें नदियाँ, कस्बे, रेगिस्तान और महासागर शामिल हैं। मुझे हमेशा ऐसे लोग मिलते हैं जो मुझे चोट पहुँचा सकते हैं, जिनमें चोर, यहूदी लोग, गैर-यहूदी लोग और संगी विश्वासी होने का ढोंग करने वाले लोग भी शामिल हैं।-1	
figs-abstractnouns_11_27__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं बहुत कठिन परिश्रम करता हूँ। मैं अक्सर अधिक नींद नहीं ले पाता। मेरे पास खाने या पीने के लिए पर्याप्त नहीं होता। मैं अक्सर भूखा रहता हूँ। कभी-कभी ठंड से जम जाता हूँ और मेरे पास पर्याप्त कपड़े नहीं होते।-1	
figs-abstractnouns_11_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं हर दिन विश्वासियों के सब समूहों के बारे में चिंता के साथ विचार करता हूँ।-1	
figs-abstractnouns_11_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जैसे परमेश्वर तुम्हारी रक्षा करता है-1	
figs-abstractnouns_11_30__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैं कितना कमजोर हूँ।-1	
figs-abstractnouns_11_31__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सदाकाल-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	चतुराई से-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जो मसीह के प्रति पूर्ण रीति से वफादार हैं उन तरीकों से-1	
figs-abstractnouns_11_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मैंने यह} जान लिया है {कि सत्य क्या है}-1	
