Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	क्रोध-1	
figs-abstractnouns_2_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आशा या आनन्द या घमण्ड का मुकुट-1	
figs-abstractnouns_2_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	क्‍योंकि हमारा उपदेश-1	
figs-abstractnouns_3_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अब प्रभु तुम्हें बढ़ाए, और-1 प्रेम में बढ़ते जाओ-1	
figs-abstractnouns_3_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तुम्हारे विश्‍वास के कारण-1	
figs-abstractnouns_4_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि तुम में से हर एक जन यह जान ले कि पवित्रता और आदर के साथ वह अपने पात्र का अधिकारी है,-1	
figs-abstractnouns_4_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कि तुम में से हर एक जन यह जान ले कि पवित्रता और आदर के साथ वह अपने पात्र का अधिकारी है,-1	
figs-abstractnouns_4_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	पलटा लेने वाला है-1	
figs-activepassive_2_16__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ताकि वे उद्धार पा सकें-1	
figs-activepassive_2_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	क्‍योंकि तुम हमारे प्रिय हो गए थे-1	
figs-activepassive_4_1__1	Active or Passive	unable to migrate selection, no match found for check in new resources	यीशु-1 जैसा तुम ने हम से इस विषय में ग्रहण किया, कि तुम्हारे लिए योग्य चाल चलना और परमेश्वर को प्रसन्न करना कितना आवश्यक है (जैसा कि तुम चलते भी हो), ताकि तुम और भी बढ़ते जाओ।-1	
figs-activepassive_4_1__1	Active or Passive	unable to migrate selection, no match found for check in new resources	तुम ने हम से-1 ग्रहण किया-1	
figs-activepassive_5_1__1	Active or Passive	unable to migrate selection, no match found for check in new resources	{हमारे लिए} तुम्हें लिखने की कोई आवश्यकता नहीं है।-1	
figs-distinguish_4_12__1	Distinguishing Versus Informing or Reminding	unable to migrate selection, no match found for check in new resources	और किसी चीज की आवश्यकता में न पड़ो-1	
figs-doublenegatives_2_3__1	Double Negatives	unable to migrate selection, no match found for check in new resources	न तो भूल से, और न अशुद्धता से, और न छल से था-1	
figs-doublenegatives_4_13__1	Double Negatives	unable to migrate selection, no match found for check in new resources	अब-1 म नहीं चाहते कि तुम-1 बेखबर रहो-1	
figs-doublenegatives_4_7__1	Double Negatives	unable to migrate selection, no match found for check in new resources	क्योंकि परमेश्वर ने हमें अशुद्धता के लिए नहीं, परन्तु पवित्रता में बुलाया है।-1	
figs-doublet_2_12__1	Doublet	unable to migrate selection, no match found for check in new resources	अपने राज्य और महिमा में-1	
figs-doublet_4_6__1	Doublet	unable to migrate selection, no match found for check in new resources	उल्लंघन और शोषण-1	
figs-doublet_5_6__1	Doublet	unable to migrate selection, no match found for check in new resources	हमें जागते रहना चाहिए और सचेत रहना चाहिए।-1	
figs-ellipsis_4_10__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ऐसा-2 करो-1	
