Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
jobbyp/kan-x-palligaru_tit_text_reg		0			0			0									
russp41/kan-x-palligaru_tit_text_reg		0			0			0									
uW_test_001/kan-x-palligaru_reg_tit_book		0	en		0	kn	v0.22	54	kn	v33.2	v0.8	2021-11-10T12:41:52.097Z	3.0.1	7			
varun/kan-x-palligaru_1co_text_reg		0			0			0									
varun/kan-x-palligaru_1jn_text_reg		0			0			0									
varun/kan-x-palligaru_1pe_text_reg		0			0			0									
varun/kan-x-palligaru_1th_text_reg		0			0			0									
varun/kan-x-palligaru_1ti_text_reg		0			0			0									
varun/kan-x-palligaru_2co_text_reg		0			0			0									
varun/kan-x-palligaru_2jn_text_reg		0			0			0									
varun/kan-x-palligaru_2pe_text_reg		0			0			0									
varun/kan-x-palligaru_2th_text_reg		0			0			0									
varun/kan-x-palligaru_2ti_text_reg		0			0			0									
varun/kan-x-palligaru_3jn_text_reg		0			0			0									
varun/kan-x-palligaru_col_text_reg		0			0			0									
varun/kan-x-palligaru_eph_text_reg		0			0			0									
varun/kan-x-palligaru_gal_text_reg		0			0			0									
varun/kan-x-palligaru_heb_text_reg		0			0			0									
varun/kan-x-palligaru_jas_text_reg		0			0			0									
varun/kan-x-palligaru_jhn_text_reg		0			0			0									
varun/kan-x-palligaru_jud_text_reg		0			0			0									
varun/kan-x-palligaru_luk_text_reg		0			0			0									
varun/kan-x-palligaru_mat_text_reg		0			0			0									
varun/kan-x-palligaru_mrk_text_reg		0			0			0									
varun/kan-x-palligaru_phm_text_reg		0			0			0									
varun/kan-x-palligaru_php_text_reg		0			0			0									
varun/kan-x-palligaru_reg_tit_book		0	en		0	kn	v0.22	51	kn	v33.2	v0.8	2021-11-10T12:41:52.097Z	3.0.1	7	unmatched tn checks found, 		
varun/kan-x-palligaru_rev_text_reg		0			0			0									
varun/kan-x-palligaru_rom_text_reg		0			0			0									
varun/kan-x-palligaru_tit_text_reg		0			0			0									
