Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/kn_kglt_1pe_book		99	en	v0.30	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-25T04:50:03.259Z	3.4.0	8			
Amos.Khokhar/kn_kglt_jhn_book		100	en	v0.29	100	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-25T04:46:32.977Z	3.4.0	8			
Amos.Khokhar/kn_kgst_1pe_book		100	en	v0.30	100	en	v0.30	99	en	v65_Door43-Catalog	v0.29	2022-11-25T05:26:35.437Z	3.4.0	8			
Amos.Khokhar/kn_kgst_jhn_book		99	en	v0.30	99	en	v0.30	99	en	v65_Door43-Catalog	v0.29	2022-11-25T05:23:11.338Z	3.4.0	8			
Bambino/kn_gst_jas_book																Empty Repo: Bambino/kn_gst_jas_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Bambino/kn_gst_jas_book/archive/master.zip: Download did not succeed, code 404	
BCS_India/kn_glt_1jn_book																Empty Repo: BCS_India/kn_glt_1jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/BCS_India/kn_glt_1jn_book/archive/master.zip: Download did not succeed, code 404	
BCS_India/kn_glt_luk_book	2023-09-19T17:18:08.123Z	32	en	v0.22	94	en	v0.22	92	en	v54	v0.22	2021-10-25T14:18:08.872Z	3.0.1	7			
BCS_India/kn_glt_tit_book	2023-09-19T17:18:08.123Z	100	en	v0.12	96	en	v0.12	16	en	v26	v0.12	2020-01-22T13:07:48.670Z	2.1.1	7			
BCS_India/kn_gst_1jn_book		100	en	v0.22	99	en	v0.22	97	en	v54	v0.22	2021-10-21T11:24:54.287Z	3.0.2	7			
BCS_India/kn_gst_jas_book		100	en	v0.22	99	en	v0.22	74	en	v54	v0.22	2021-11-11T14:51:01.956Z	3.0.2	7	unmatched tn checks found, 		
BCS_India/kn_irv_1co_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-29T07:10:20.515Z	3.0.0	7			
BCS_India/kn_irv_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-22T09:18:12.722Z	3.0.0	7			
BCS_India/kn_irv_1pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-11T09:27:38.698Z	3.0.0	7			
BCS_India/kn_irv_1th_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-04T04:50:58.629Z	3.0.0	7			
BCS_India/kn_irv_2co_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-29T11:14:38.045Z	3.0.0	7			
BCS_India/kn_irv_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-02T11:28:22.094Z	3.0.0	7			
BCS_India/kn_irv_2pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-22T10:25:54.395Z	3.0.0	7			
BCS_India/kn_irv_2th_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-30T09:18:23.322Z	3.0.0	7			
BCS_India/kn_irv_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-12T10:12:13.911Z	3.0.0	7			
BCS_India/kn_irv_3jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-11-03T05:40:58.361Z	3.0.0	7			
BCS_India/kn_irv_act_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-27T10:05:10.368Z	3.0.0	7			
BCS_India/kn_irv_col_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-30T08:45:11.601Z	3.0.0	7			
