Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ನಿತ್ಯ ಮಹಿಮೆಯ ಸಹಿತವಾಗಿ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ನನ್ನ ಬೋಧನೆ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ಉದ್ದೇಶ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ನಂಬಿಕೆ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ತಾಳ್ಮೆ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ಪ್ರೀತಿ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ಸೈರಣೆ-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ಕಟ್ಟುಕಥೆಗಳಿಗೆ ತಿರುಗಿಕೊಳ್ಳಲ್ಪಡುವರು-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ಕಟ್ಟುಕಥೆಗಳಿಗೆ ತಿರುಗಿಕೊಳ್ಳಲ್ಪಡುವರು-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	ಸ್ವಸ್ಥ ವಾಕ್ಯಗಳನ್ನು-1	
