Reference	Localized Group	Message	Selections	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ಜನರು ಒಬ್ಬರಿಗೊಬ್ಬರು ಸಮಾಧಾನದಲ್ಲಿ ಜೀವಿಸಬೇಕೆಂದು-1	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ಇಲ್ಲ-1 ಅದಕ್ಕೆ ಬದಲಾಗಿ ಜನರು ನನ್ನ ಪರವಾಗಿ ಮತ್ತು ವಿರೋಧವಾಗಿ ನಿಲ್ಲುವರು ಎಂದು-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಇದರ ಪರಿಣಾಮವಾಗಿ, ಈ ಸಮಯದಲ್ಲಿ ವಾಸಿಸುವ ಜನರು ಜಗತ್ತು ಸೃಷ್ಟಿಯಾದಾಗಿನಿಂದ ಇಲ್ಲಿಯವರೆಗೆ ಜನರು-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಜನರು ಕೊಂದುಹಾಕಿರುವ-1	
figs-activepassive_12_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಜನರು ತಮ್ಮ ಪಾಪಗಳನ್ನು ರಹಸ್ಯವಾಗಿ ಮುಚ್ಚಿಕೊಳ್ಳಲು ಪ್ರಯತ್ನಿಸುವುದು ಅಪ್ರಯೋಜಕವಾಗಿದೆ.-1	
figs-activepassive_12_48__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ಯಜಮಾನನು ಯಾರಿಗೆ ಹೆಚ್ಚಾಗಿ ನೀಡಿದ್ದಾನೋ-1 ಎಲ್ಲಾ ಸೇವಕರುಗಳಿಂದ ಅವನು ಹೆಚ್ಚಿನದನ್ನು ನಿರೀಕ್ಷಿಸುತ್ತಾನೆ-1	
figs-activepassive_12_50__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ಬಹು ಬೇಗನೇ ನಾನು ಭಯಂಕರವಾಗಿರುವ ಕಷ್ಟವನ್ನು ಅನುಭವಿಸಬೇಕಿದೆ-1	
figs-activepassive_14_14__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ದೇವರು ನಿಮಗೆ ಹಿಂದಿರುಗಿಸುವನೆಂದು-1	
figs-activepassive_14_34__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಉಪ್ಪು ತನ್ನ ಉಪ್ಪಿನತನವನ್ನು ಕಳೆದುಕೊಂಡರೆ-1	
figs-activepassive_16_25__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ನೀನು ಸಂಕಟವನ್ನು ಅನುಭವಿಸುತ್ತಿರುವಿ.-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ದೇವರು ಪರಲೋಕದಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಯೋಗ್ಯರು ಎಂದು ಪರಿಗಣಿಸಿದ ಜನರನ್ನು-1 ಅವರು ಮದುವೆ ಮಾಡಿಕೊಳ್ಳುವುದಿಲ್ಲ.-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ದೇವರು ಪರಲೋಕದಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಯೋಗ್ಯರು-1	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ನನ್ನನ್ನು ವೈರಿಗಳ ಕೈಗೆ ಒಪ್ಪಿಸುವ-1	
figs-activepassive_23_32__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಯೇಸುವಿನೊಂದಿಗೆ ಇತರ ಇಬ್ಬರು ಮನುಷ್ಯರು-1 ಅಪರಾಧಿಗಳಾಗಿದ್ದವರು ಸಹ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತಿದ್ದರು-1	
figs-activepassive_24_44__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ನಾನು ಈ ಮೊದಲು ನಿಮ್ಮೊಂದಿಗೆ ಇದ್ದಾಗ ನಿಮಗೆ ಹೇಳಿರುವುದನ್ನೇ ತಿರುಗಿ ಮತ್ತೊಮ್ಮೆ ಹೇಳುತ್ತೇನೆ.-1 ಮೆಸ್ಸಿಯನಾದ ನನ್ನ-1	
figs-activepassive_24_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಕುಮಾರನಾದ ನನ್ನನ್ನು-1 ಕೈಗೆ ಒಪ್ಪಿಸಬೇಕಾಗುತ್ತದೆ-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ದೇವರು ಅಂತಹ ಮರಗಳ ಬುಡಕ್ಕೆ ಕೊಡಲಿಯಿಂದ ಏಟು ಹಾಕಿ ಕಡಿದು,-1 ದೇವರು ಸಿದ್ಧನಾಗಿದ್ದಾನೆ."-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ನೀವು ಒಳ್ಳೇ ಹಣ್ಣನ್ನು ಕೊಡದಿರುವ ಹಣ್ಣಿನ ಮರಗಳಂತೆ ಇದ್ದೀರಿ.-1 ಬೆಂಕಿಗೆ ಎಸೆಯಲು ಸಿದ್ಧವಾಗಿರುವ ಮನುಷ್ಯನಂತಿದ್ದಾನೆ. ನೀವು ಪಾಪ ಮಾಡುವುದನ್ನು ಮುಂದುವರೆಸುತ್ತಾ ಹೋದರೆ ಈ ರೀತಿಯಾಗಿ ನಿಮ್ಮನ್ನು ಶಿಕ್ಷಿಸಲು-1	
figs-activepassive_6_38__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ಆದ್ದರಿಂದ ನೀವು ಇತರರಿಗೆ ಕೊಡುವಾಗ, ನೀವು ದೊಡ್ಡ ಅಳತೆಯನ್ನು ಉಪಯೋಗಿಸುವಂತೆ ಇರಬೇಕು,-1 ದೇವರು ನಿಮಗೆ ಕೊಡುವಾಗ ಅದೇ ಅಳತೆಯನ್ನು ಉಪಯೋಗಿಸುವನು."-1	
figs-activepassive_7_47__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಯಾವ ವ್ಯಕ್ತಿಯು ತನ್ನ ಕೇಲವೇ ಪಾಪಗಳನ್ನು ಮಾತ್ರ ದೇವರು ಕ್ಷಮಿಸಬೇಕಾಯಿತು ಎಂದು-1	
figs-activepassive_8_18__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಯಾರಾದರೂ ದೇವರ ಸತ್ಯವನ್ನು ನಂಬುವುದಾದರೆ, ಇನ್ನೂ ಹೆಚ್ಚಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವಂತೆ ದೇವರು ಅವನನ್ನು ಬಲಪಡಿಸುತ್ತಾನೆ.-1	
figs-doublenegatives_12_2__1	Double Negatives	unable to migrate selection, there are 2 similar checks	ಜನರು ತಮ್ಮ ಪಾಪಗಳನ್ನು ರಹಸ್ಯವಾಗಿಡಲು ಪ್ರಯತ್ನಿಸುವುದು ನಿಷ್ಪ್ರಯೋಜಕವಾಗಿದೆ-1	
figs-doublenegatives_8_17__1	Double Negatives	unable to migrate selection, there are 2 similar checks	ಒಂದು ದಿನ ಪ್ರತಿಯೊಬ್ಬರೂ ಈಗ ಮರೆಮಾಡಲಾಗಿರುವ ಎಲ್ಲವನ್ನೂ ನೋಡಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ-1	
figs-explicit_10_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ದೇವರು ಆ ಪಟ್ಟಣದ ಜನರನ್ನು, ಬಹಳ ಹಿಂದೆ ಸೋದೊಮ್ ಪಟ್ಟಣದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದ ದುಷ್ಟ ಜನರಿಗಿಂತ ಇನ್ನೂ ಹೆಚ್ಚು ಕಠಿಣವಾಗಿ ಶಿಕ್ಷಿಸುತ್ತಾನೆ, ಎಂಬುದನ್ನು ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕೆಂದು ನಾನು ಬಯಸುತ್ತೇನೆ!-1	
figs-explicit_10_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ಆತನು ತೂರ್ ಮತ್ತು ಸಿದೋನ್ ಪಟ್ಟಣದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದ ದುಷ್ಟ ಜನರಿಗಿಂತಲೂ ನಿಮ್ಮನ್ನು ಕಠಿಣವಾಗಿ ಶಿಕ್ಷಿಸುವನು.-1	
figs-explicit_11_30__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಬಹಳ ಹಿಂದೆಯೇ ದೇವರು ಯೋನನಿಗೆ ಒಂದು ಅದ್ಭುತವನ್ನು ಮಾಡಿ ನಿನೆವೆ ನಗರದಲ್ಲಿ ವಾಸಿಸುವ ಜನರಿಗೆ ತಾನು ಅವನನ್ನು ಕಳುಹಿಸಿದ್ದನೆಂದು ತೋರಿಸಿದನು. ಅದೇ ರೀತಿಯಲ್ಲಿ, ದೇವರು ಮನುಷ್ಯಕುಮಾರನಾದ ನನಗೂ ಇದೇ ರೀತಿಯ ಅದ್ಭುತವನ್ನು ಮಾಡುತ್ತಾನೆ, ಅವನು ನನ್ನನ್ನು ಕಳುಹಿಸಿದ್ದಾನೆಂದು ಈಗ ವಾಸಿಸುವ ಜನರಿಗೆ ತೋರಿಸುತ್ತಾನೆ.-1	
figs-explicit_11_48__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ನೀವು ಈ ಕಟ್ಟಡಗಳನ್ನು ಕಟ್ಟುವಾಗ-1	
figs-explicit_12_22__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಯೇಸುವು ತನ್ನ ಶಿಷ್ಯರಿಗೆ ಹೇಳಿದ್ದೇನೆಂದರೆ-1	
figs-explicit_15_25__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಹೊಲಗಳಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದನು-1	
figs-explicit_18_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಆದರೆ ಫರಿಸಾಯನನ್ನು ಕ್ಷಮಿಸಲಿಲ್ಲ-1	
