Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
t_rin_04_2021/kpm_tdt_act_book	2022-01-11T15:15:19.768Z	3	en	v0.16	0			0				2021-04-14T02:08:19.454Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_1co_book		100	en	v0.16	0			0				2021-07-23T04:57:23.755Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_1jn_book		100	en	v0.16	0			0				2021-07-23T05:13:57.843Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_1pe_book	2023-09-19T17:18:08.123Z	99	en	v0.16	0			0				2021-07-23T05:12:36.123Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_1th_book		100	en	v0.16	0			0				2021-07-23T05:05:15.720Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_1ti_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:06:53.892Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_2co_book		100	en	v0.16	0			0				2021-07-23T04:58:13.651Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.16	0			0				2021-07-23T05:15:05.092Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_2pe_book		100	en	v0.16	0			0				2021-07-23T05:13:15.614Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_2th_book		100	en	v0.16	0			0				2021-07-23T05:05:50.513Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_2ti_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:07:27.243Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_3jn_book	2023-09-19T17:18:08.123Z	100	en	v0.16	0			0				2021-07-23T05:15:33.588Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_act_book		100	en	v0.16	0			0				2021-07-23T04:41:01.564Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_col_book	2023-09-19T17:18:08.123Z	0	en	v0.16	0			0				2021-07-23T05:04:03.099Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_eph_book	2023-09-19T17:18:08.123Z	100	en	v0.16	0			0				2021-07-23T05:01:17.080Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_gal_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:00:33.415Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_heb_book		100	en	v0.16	0			0				2021-07-23T05:09:53.773Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_jas_book	2023-09-19T17:18:08.123Z	96	en	v0.16	0			0				2021-07-23T05:10:26.882Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_jhn_book	2023-09-19T17:18:08.123Z	0	en	v0.16	0			0				2021-07-23T04:39:12.866Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_jud_book	2023-09-19T17:18:08.123Z	100	en	v0.16	0			0				2021-07-23T05:16:02.012Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_luk_book		100	en	v0.16	0			0				2021-04-14T02:04:40.104Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_mat_book		99	en	v0.16	0			0				2021-04-14T02:05:40.850Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_mrk_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T04:28:43.626Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_phm_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:09:03.890Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_php_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:03:06.440Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_rev_book	2023-09-19T17:18:08.123Z	99	en	v0.16	0			0				2021-07-23T05:16:26.935Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_rom_book		100	en	v0.16	0	en		0	en	v32	v0.13	2021-07-23T04:56:27.586Z	3.0.1	7			
t_rin_04_2021/kpm_trlt_tit_book	2023-09-19T17:18:08.123Z	0	en		0			0				2021-07-23T05:08:21.338Z	3.0.1	7			
