Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
katu_2021/kuf_ktlt_1co_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:44:14.176Z	3.0.1	7			
katu_2021/kuf_ktlt_1jn_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:06:56.127Z	3.0.1	7			
katu_2021/kuf_ktlt_1pe_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:05:33.370Z	3.0.1	7			
katu_2021/kuf_ktlt_1th_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:50:45.396Z	3.0.1	7			
katu_2021/kuf_ktlt_1ti_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:55:42.005Z	3.0.1	7			
katu_2021/kuf_ktlt_2co_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:45:45.432Z	3.0.1	7			
katu_2021/kuf_ktlt_2jn_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:08:06.539Z	3.0.1	7			
katu_2021/kuf_ktlt_2pe_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:06:14.658Z	3.0.1	7			
katu_2021/kuf_ktlt_2th_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:51:39.715Z	3.0.1	7			
katu_2021/kuf_ktlt_2ti_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:56:41.050Z	3.0.1	7			
katu_2021/kuf_ktlt_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:08:56.341Z	3.0.1	7			
katu_2021/kuf_ktlt_col_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:50:05.300Z	3.0.1	7			
katu_2021/kuf_ktlt_eph_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:48:17.238Z	3.0.1	7			
katu_2021/kuf_ktlt_gal_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:47:28.894Z	3.0.1	7			
katu_2021/kuf_ktlt_heb_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:00:01.080Z	3.0.1	7			
katu_2021/kuf_ktlt_jas_book		93	en	v0.16	0			0				2021-07-19T09:04:50.676Z	3.0.1	7			
katu_2021/kuf_ktlt_jhn_book		100	en	v0.16	0			0				2021-12-02T10:21:41.006Z	3.0.1	7			
katu_2021/kuf_ktlt_jud_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T09:09:37.603Z	3.0.1	7			
katu_2021/kuf_ktlt_luk_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-04-14T18:56:18.262Z	3.0.1	7			
katu_2021/kuf_ktlt_mat_book		100	en	v0.16	0			0				2021-04-14T18:53:55.140Z	3.0.1	7			
katu_2021/kuf_ktlt_mrk_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-04-14T18:55:33.126Z	3.0.1	7			
katu_2021/kuf_ktlt_phm_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:59:21.723Z	3.0.1	7			
katu_2021/kuf_ktlt_php_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:49:07.409Z	3.0.1	7			
katu_2021/kuf_ktlt_rev_book		100	en	v0.16	0			0				2021-07-19T09:10:33.883Z	3.0.1	7			
katu_2021/kuf_ktlt_rom_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-04-14T18:58:46.023Z	3.0.1	7			
katu_2021/kuf_ktlt_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.16	0			0				2021-07-19T08:57:48.434Z	3.0.1	7			
