Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
India_BCS/ml_irv_1co_book	2021-12-26T16:00:27.487Z	29	en	v0.13	0			0				2020-12-21T08:55:04.566Z	3.0.0	7			
India_BCS/ml_irv_1jn_book	2021-12-26T16:00:27.487Z	34	en	v0.13	0			0				2020-12-21T09:33:27.467Z	3.0.0	7			
India_BCS/ml_irv_1ti_book	2021-12-26T16:00:27.487Z	46	en	v0.13	0			0				2020-12-21T09:07:29.382Z	3.0.0	7			
India_BCS/ml_irv_2co_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-21T11:17:26.601Z	3.0.0	7			
India_BCS/ml_irv_2pe_book	2021-12-26T16:00:27.487Z	25	en	v0.13	0			0				2020-12-21T09:23:32.731Z	3.0.0	7			
India_BCS/ml_irv_2th_book	2021-12-26T16:00:27.487Z	10	en	v0.13	0			0				2020-12-21T09:57:20.028Z	3.0.0	7			
India_BCS/ml_irv_2ti_book	2021-12-26T16:00:27.487Z	8	en	v0.13	0			0				2020-12-21T09:10:15.479Z	3.0.0	7			
India_BCS/ml_irv_act_book	2021-12-26T16:00:27.487Z	3	en	v0.13	0			0				2020-12-21T11:30:37.375Z	3.0.0	7			
India_BCS/ml_irv_col_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-21T11:54:53.442Z	3.0.0	7			
India_BCS/ml_irv_eph_book	2021-12-26T16:00:27.487Z	4	en	v0.13	0			0				2020-12-21T12:01:14.485Z	3.0.0	7			
India_BCS/ml_irv_gal_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2019-12-16T10:35:51.072Z	2.0.0	7			
India_BCS/ml_irv_heb_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-21T12:11:28.703Z	3.0.0	7			
India_BCS/ml_irv_jas_book	2021-12-26T16:00:27.487Z	49	en	v0.13	0			0				2020-12-21T09:19:15.825Z	3.0.0	7			
India_BCS/ml_irv_jhn_book	2021-12-26T16:00:27.487Z	2	en	v0.13	0			0				2020-12-21T10:08:19.188Z	3.0.0	7			
India_BCS/ml_irv_jud_book	2021-12-26T16:00:27.487Z	50	en	v0.13	0			0				2020-12-21T09:37:28.188Z	3.0.0	7			
India_BCS/ml_irv_luk_book	2021-12-26T16:00:27.487Z	3	en	v0.13	0			0				2020-12-21T12:23:44.696Z	3.0.0	7			
India_BCS/ml_irv_mat_book	2021-12-26T16:00:27.487Z	24	en	v0.13	0			0				2020-12-11T11:13:15.299Z	3.0.0	7			
India_BCS/ml_irv_mrk_book	2021-12-26T16:00:27.487Z	2	en	v0.13	0			0				2020-12-21T10:23:41.947Z	3.0.0	7			
India_BCS/ml_irv_phm_book	2021-12-26T16:00:27.487Z	19	en	v0.13	0			0				2020-12-21T09:14:54.280Z	3.0.0	7			
India_BCS/ml_irv_php_book	2021-12-26T16:00:27.487Z	47	en	v0.13	0			0				2020-12-21T09:00:41.485Z	3.0.0	7			
India_BCS/ml_irv_rev_book	2021-12-26T16:00:27.487Z	25	en	v0.13	0			0				2020-12-21T09:40:17.230Z	3.0.0	7			
India_BCS/ml_irv_rom_book	2021-12-26T16:00:27.487Z	24	en	v0.13	0	en		0	en	v32	v0.13	2020-12-21T08:42:31.901Z	3.0.0	7			
India_BCS/ml_irv_tit_book	2021-12-26T16:00:27.487Z	90	en		0			0				2020-01-03T11:30:27.649Z	2.0.0	7			
rm_ol/rml_ling_rut_book																Could not download rm_ol/rml_ling_rut_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_ling_3jn_book																Could not download Samuel_Kim/rml_ling_3jn_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_ling_rut_book																Could not download Samuel_Kim/rml_ling_rut_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_ling_tit_book																Could not download Samuel_Kim/rml_ling_tit_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
shojojohn/ml_irv_1pe_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2020-01-27T11:27:03.087Z	2.0.0	7			
shojojohn/ml_irv_1th_book	2021-12-26T16:00:27.487Z	94	en		0	en		0	en			2020-01-28T06:01:29.451Z	2.1.0	7			
shojojohn/ml_irv_2co_book	2021-12-26T16:00:27.487Z	1	en		0			0				2020-01-29T08:55:38.049Z	2.1.0	7			
shojojohn/ml_irv_2jn_book	2021-12-26T16:00:27.487Z	43			0			0				2019-05-15T10:22:08.929Z		7			
shojojohn/ml_irv_3jn_book	2021-12-26T16:00:27.487Z	69			0			0				2019-05-15T10:22:55.970Z		7			
shojojohn/ml_irv_gal_book	2021-12-26T16:00:27.487Z	100	en		0	en		0	en			2020-01-28T04:47:52.716Z	2.1.0	7			
Vipin_Bhadran/ml_irv_2co_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-02-03T07:10:15.452Z	2.1.0	7			
Vipin_Bhadran/ml_irv_2jn_book	2021-12-26T16:00:27.487Z	100			0			0				2019-08-27T06:57:01.516Z	1.1.4	7			
Vipin_Bhadran/ml_irv_3jn_book	2021-12-26T16:00:27.487Z	100			0			0				2019-08-23T06:15:32.945Z	1.1.4	7			
