Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
mnong_2020/mng_mlt_1jn_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:09:05.613Z	3.0.1	7			
mnong_2020/mng_mlt_1pe_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:05:44.762Z	3.0.1	7			
mnong_2020/mng_mlt_1th_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:49:11.318Z	3.0.1	7			
mnong_2020/mng_mlt_1ti_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:52:31.927Z	3.0.1	7			
mnong_2020/mng_mlt_2co_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:30:32.885Z	3.0.1	7			
mnong_2020/mng_mlt_2jn_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0	en	v32	v0.13	2020-09-19T16:10:35.162Z	3.0.1	7			
mnong_2020/mng_mlt_2pe_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:07:41.042Z	3.0.1	7			
mnong_2020/mng_mlt_2th_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:51:06.094Z	3.0.1	7			
mnong_2020/mng_mlt_2ti_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:55:11.285Z	3.0.1	7			
mnong_2020/mng_mlt_3jn_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:11:59.537Z	3.0.1	7			
mnong_2020/mng_mlt_act_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:12:31.052Z	3.0.1	7			
mnong_2020/mng_mlt_col_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:47:37.065Z	3.0.1	7			
mnong_2020/mng_mlt_eph_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:44:11.448Z	3.0.1	7			
mnong_2020/mng_mlt_gal_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:35:16.312Z	3.0.1	7			
mnong_2020/mng_mlt_heb_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:00:19.711Z	3.0.1	7			
mnong_2020/mng_mlt_jas_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:02:44.332Z	3.0.1	7			
mnong_2020/mng_mlt_jhn_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-18T08:39:52.228Z	3.0.1	7			
mnong_2020/mng_mlt_jud_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:13:42.150Z	3.0.1	7			
mnong_2020/mng_mlt_luk_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T05:57:20.706Z	3.0.1	7			
mnong_2020/mng_mlt_mat_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0	en		0	en	v28	v0.12	2020-09-17T01:14:20.307Z	3.0.1	7			
mnong_2020/mng_mlt_mrk_book	2021-12-22T12:50:20.216Z	1	en	v0.16	0			0				2020-09-19T05:09:03.600Z	3.0.1	7			
mnong_2020/mng_mlt_phm_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T15:58:35.878Z	3.0.1	7			
mnong_2020/mng_mlt_php_book	2021-12-22T12:50:20.216Z	0	en	v0.16	0			0				2020-09-19T15:45:46.278Z	3.0.1	7			
mnong_2020/mng_mlt_rev_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0			0				2020-09-19T16:15:08.957Z	3.0.1	7			
mnong_2020/mng_mlt_rom_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0	en		0	en	v32	v0.13	2020-09-18T08:48:24.968Z	3.0.1	7			
mnong_2020/mng_mlt_tit_book	2021-12-22T12:50:20.216Z	0	en	v0.15	0	en	v0.15	0	en	v36	v0.15	2020-10-12T13:46:47.881Z	3.0.1	7			
