Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/mr_mglt_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	98	en	v53	v0.22	2021-10-04T12:24:47.801Z	3.0.1	7	unmatched tn checks found, 		
Amos.Khokhar/mr_mglt_1pe_book		100	en	v0.26	99	en	v0.29	97	en	v65_Door43-Catalog	v0.29	2022-11-24T12:55:45.236Z	3.4.0	8			
Amos.Khokhar/mr_mglt_jas_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	98	en	v53	v0.22	2021-10-06T14:29:35.466Z	3.0.1	7	unmatched tn checks found, 		
Amos.Khokhar/mr_mglt_jhn_book		100	en	v0.24	98	en	v0.24	87	en	v65_Door43-Catalog	v0.29	2022-11-24T12:53:02.078Z	3.4.0	8			
Amos.Khokhar/mr_mglt_mrk_book		99	en	v0.29	99	en	v0.29	86	en	v66_Door43-Catalog	v0.30	2023-04-18T06:36:43.204Z	3.4.0	8			
Amos.Khokhar/mr_mgst_1co_book		98		v0.29	99		v0.29	99				2023-04-11T06:35:26.341Z	3.4.0	8			
Amos.Khokhar/mr_mgst_1pe_book		100	en	v0.26	99	en	v0.29	98	en	v65_Door43-Catalog	v0.29	2022-11-24T18:01:44.938Z	3.4.0	8			
Amos.Khokhar/mr_mgst_2th_book		100		v0.29	99		v0.29	99				2023-04-11T06:42:09.952Z	3.4.0	8			
Amos.Khokhar/mr_mgst_jhn_book		100	en	v0.26	99	en	v0.24	98	en	v65_Door43-Catalog	v0.29	2022-11-24T17:54:48.813Z	3.4.0	8			
BCS_India/mr_irv_2pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-20T04:53:30.611Z	3.0.0	7			
BCS_India/mr_irv_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-19T12:00:38.880Z	3.0.0	7			
BCS_India/mr_irv_col_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-19T11:20:17.754Z	3.0.0	7			
India_BCS/mr_irv_1jn_book	2023-09-19T17:18:08.123Z	100	en		0	en		0	en			2020-01-03T11:05:08.712Z	2.0.0	7			
India_BCS/mr_irv_2pe_book	2023-09-19T17:18:08.123Z	100	en	v0.13	0			0				2020-10-20T04:53:30.611Z	3.0.0	7			
India_BCS/mr_irv_tit_book	2023-09-19T17:18:08.123Z	100	en		0			0				2020-01-03T10:47:59.694Z	2.0.0	7			
jinu/mr_mglt_mrk_book		99	en	v0.30	99	en	v0.29	86	en	v66_Door43-Catalog	v0.30	2023-04-11T08:55:48.841Z	3.4.0	8			
kiranjagdhane17/mr_mglt_eph_book	2023-09-19T17:18:08.123Z	100	en	v0.14	0	en		0	en	v53	v0.14	2021-11-01T03:11:51.941Z	3.0.1	7			
kiranjagdhane17/mr_mgs_1ti_book	2023-09-19T17:18:08.123Z	0	en	v0.22	99	en	v0.14	89	en	v53	v0.22	2021-09-25T09:45:23.667Z	3.0.1	7	duplicate tn selections found, duplicate tn migrations found, unmatched tn checks found, 		
kiranjagdhane17/mr_mgst_1ti_book																Empty Repo: kiranjagdhane17/mr_mgst_1ti_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/kiranjagdhane17/mr_mgst_1ti_book/archive/master.zip: Download did not succeed, code 404	
