Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तो चांगला आहे.‘-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	आणि विश्वासहीन होऊ नकोस पण विश्वास ठेवणारा हो.”-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	या जगाचे-1 या जगाचे असते-1	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तो यहुद्यांचा तयारीचा दिवस असल्यामुळे व ती कबर जवळ असल्यामुळे, त्यात येशूला ठेवले.-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“महाराज, तुम्ही त्याला इथून नेले असेल-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	‘जो माझा पिता आणि तुमचा पिता, माझा देव आणि तुमचा देव आहे त्याच्याकडे मी वर जातो.’ ”-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	मग्दाली मरिया गेली-1 गोष्टी बोलला हे शिष्यांना सांगितले.-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	यहुद्यांच्या भीतीमुळे-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	त्याने त्यांना आपले हात दाखवले-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	विश्वास ठेवणारा-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तू-1 विश्वास ठेवलास.-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	बघितले नाही-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“त्यांनी प्रभूला कबरेतून काढून नेले-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	त्याने बघितले आणि विश्वास ठेवला.-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	हा शास्त्रलेख त्यांना अजून कळला नव्हता.-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	कोणत्या पद्धतीच्या मरणाने देवाचे गौरव करेल हे सूचित करते-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“माझ्यामागे ये.”-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	आम्हाला माहीत आहे.-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	स्वतःला-1 झोकून-1	
figs-metaphor_15_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	आणि वाळून जातो. ते गोळा करून अग्नीत टाकतात आणि जाळतात.-1	
figs-metonymy_12_28__1	Metonymy	unable to migrate selection, no match found for check in new resources	आकाशातून वाणी झाली-1	
figs-metonymy_12_38__1	Metonymy	unable to migrate selection, no match found for check in new resources	प्रभूचा बाहू-1	
figs-metonymy_17_18__2	Metonymy	unable to migrate selection, no match found for check in new resources	जगात-1	
figs-metonymy_18_36__2	Metonymy	unable to migrate selection, no match found for check in new resources	राज्य या जगाचे-1 जगाचे-2	
figs-metonymy_20_31__1	Metonymy	unable to migrate selection, no match found for check in new resources	त्याच्या नावात जीवन-1	
grammar-connect-logic-goal_1_31__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	तो-2 प्रगट व्हावा-1	
grammar-connect-logic-goal_6_52__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	खायला देऊ-1	
grammar-connect-logic-goal_9_39__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	म्हणजे ज्यांना दिसत नाही त्यांना दिसावे, आणि ज्यांना दिसते त्यांनी अंधळे व्हावे.”-1	
grammar-connect-time-sequential_3_22__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ह्या-1 नंतर-1	
grammar-connect-time-sequential_5_14__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ह्या-1 नतंर-1	
grammar-connect-time-sequential_5_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ह्या-1 नतंर-1	
grammar-connect-time-sequential_6_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ह्या गोष्टीनतंर-1	
grammar-connect-time-sequential_7_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ह्या गोष्टीनतंर-1	
guidelines-sonofgodprinciples_17_21__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	पित्या,-1	
translate-names_19_39__1	How to Translate Names	unable to migrate selection, no match found for check in new resources	जो त्याच्याकडे रात्रीचा आला होता-1	
writing-background_11_5__1	Background Information	unable to migrate selection, no match found for check in new resources	आता मार्था व तीची बहीण, आणि लाजर ह्यांच्यावर येशूची प्रीती होती.-1	
writing-background_1_24__1	Background Information	unable to migrate selection, no match found for check in new resources	आणि ज्यांना पाठविले होते ते परूशांकडील होते.-1	
writing-background_1_44__1	Background Information	unable to migrate selection, no match found for check in new resources	आता, फिलिप बेथसैदाचा, म्हणजे अंद्रिया व पेत्र ह्यांच्या गावचा होता.-1	
writing-background_2_9__1	Background Information	unable to migrate selection, no match found for check in new resources	(आणि तो कोठला होता हे त्याला माहीत नव्हते, पण ज्या सेवकांनी पाणी काढले त्यांना समजले होते-1	
writing-background_5_1__1	Background Information	unable to migrate selection, no match found for check in new resources	ह्या गोष्टी नतंर यहुद्यांचा एक सण होता आणि येशू यरुशलेमला वर गेला.-1	
writing-background_6_59__1	Background Information	unable to migrate selection, no match found for check in new resources	तो कपर्णहूम येथे शिकवीत असताना सभास्थानात ह्या गोष्टी बोलला.-1	
writing-background_7_2__1	Background Information	unable to migrate selection, no match found for check in new resources	आता यहुद्यांचा सण, मंडपाचा सण, जवळ आला होता.)-1	
writing-pronouns_1_11__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	तो-1 त्याचे }-1 आला-1	
writing-pronouns_1_12__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	त्याचा-1	
writing-pronouns_1_13__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	त्यांचा-1	
writing-pronouns_1_14__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	त्याचे गौरव,-1	
writing-pronouns_1_15__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ज्याच्या-1	
writing-pronouns_1_23__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	तो म्हणाला-1	
