Reference	Localized Group	Message	Selections	
 grammar-connect-logic-result_2_2__1	 grammar-connect-logic-result	unable to migrate selection, no match found for check in new resources	या खोट्या शिक्षकांमुळे-1	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	मी,} शिमोन पेत्र-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{येशूने हे त्याच्या नीतिमान कृत्यांनी केले आहे}.-1 आपला देव आहे आणि तोच आपल्याला वाचवतो.-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	देव म्हणून त्याच्या सामर्थ्याने {तो हे करतो}-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	देवाने अभिवचन दिले आहे की तो आपल्यासाठी अति मोलवान आणि महान गोष्टी करेल.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	केवळ मशीहावर विश्वास ठेवण्यासाठीच नव्हे-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{आणि खात्री करा की तुम्ही फक्त} देवाबद्दल अधिक शिकत नाही,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{तर तुम्ही} स्वतःवर नियंत्रण ठेवता {तुम्ही काय करता आणि बोलता}. {आणि खात्री करा की तुम्ही फक्त} स्वतःवर नियंत्रण ठेवत नाही {तुम्ही काय करता आणि बोलता}, {तर तुम्ही संकटातही देवाशी विश्वासू राहता-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{तर तुम्ही} इतरांवर प्रेम देखील करता.-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	आणि त्याची मूर्ख कृती-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तेथील दुराचार्‍यांचे, कामातुरपणाचे वागणे पाहून {सदोममध्ये} त्रस्त झाला होता;-1	
figs-abstractnouns_3_15__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	देवाने दिलेले ज्ञान वापरून त्याने लिहिले आहे.-1	
figs-abstractnouns_3_18__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	दयाळू कृत्यांचा-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	आमचे तारण करतो-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	मग देव पृथ्वी आणि त्यात जे काही केले आहे ते सर्व प्रकट करेल.-1	
figs-activepassive_3_12__1	Active or Passive	2 duplicate migrations		
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	{ते असे म्हणतील} कारण ते जाणूनबुजून याकडे दुर्लक्ष करतात-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देव त्यांना त्या काळासाठी ठेवले आहे जेव्हा तो दुष्टपणे वागणाऱ्या लोकांचा न्याय करेल-1	
figs-ellipsis_2_14__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ते पाप करणे थांबवू शकत नाहीत-1	
figs-exclusive_1_16__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आमचा प्रभु येशू मशीहा-1	
figs-exclusive_1_3__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आपल्याला-2	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	आणि त्याची मूर्ख कृती थांबवण्यासाठी-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	अविश्वासणारे} ख्रिस्ती धर्माबद्दल वाईट बोलतील.-1	
figs-explicit_2_4__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	आणि त्यांचा न्याय करण्यासाठी त्यांना तेथे ठेवले आहे.-1	
figs-infostructure_2_18__1	Information Structure	unable to migrate selection, no match found for check in new resources	{हे खरे आहे} कारण ते लोकांना पाप करण्यास प्रवृत्त करतात जे अलीकडेच {विश्वासी बनले आहेत आणि} दुष्ट अविश्वासू लोक जे करतात ते करणे थांबवले आहे. {हे खोटे शिक्षक असे करतात}. मूर्खपणाच्या, फुगीर गोष्टी बोलून,त्यांच्या पापी स्वभावाला जे काही करायचे आहे ते करून ते या लोकांना पाप करण्यास प्रवृत्त करतात.-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	तोपर्यंत तुम्हाला {या गोष्टींची} आठवण करून देत राहणे-1	
figs-metaphor_2_15__1	Metaphor	unable to migrate selection, there are 4 similar checks	ते देवाच्या इच्छेप्रमाणे जगण्यास नकार देतात-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	पुन्हा त्यांच्यावर नियंत्रण ठेवू लागल्या-1	
figs-metaphor_2_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	जेथे ते अंधारात साखळदंडात बांधलेले आहेत}-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	आणि अनीतिमान लोकांच्या भ्रांतीप्रवाहात सापडून आपल्या स्थिरतेतून ढळू नये ह्यासाठी जपून राहा.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्हास आठवण देऊन तुमचे निर्मळ मन जागृत करीत आहे.-1	
