Reference	Localized Group	Message	Selections	
figs-123person_2_10__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	मनुष्याच्या पुत्रा-1	
figs-activepassive_1_14__1	Active or Passive	unable to migrate selection, no match found for check in new resources	येशू गालील प्रदेशात गेला.-1	
figs-activepassive_1_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	हे तो लवकरच दाखवून देईल.-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	मग-1	
figs-doublenegatives_6_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	प्रवासात सोबत चालण्यासाठी काठी घेण्याची सुचना दिली.-1	
figs-doublet_14_68__1	Doublet	unable to migrate selection, no match found for check in new resources	“तू कशाविषयी बोलत आहेस ते मला ठाऊक नाही! त्यापैकी मला काहीही समजत नाही.”-1	
figs-ellipsis_15_11__1	Ellipsis	unable to migrate selection, no match found for check in new resources	त्यांनी पिलाताला येशूच्या ऐवजी बरब्बाला सोडण्याची विनंती करावी.-1	
figs-euphemism_11_30__1	Euphemism	unable to migrate selection, no match found for check in new resources	अधिकार देवानेच-1	
figs-euphemism_11_31__1	Euphemism	unable to migrate selection, no match found for check in new resources	देवाकडून अधिकार होता-1	
figs-euphemism_5_39__1	Euphemism	unable to migrate selection, no match found for check in new resources	हे मुल मेलेले नाही, फक्त झोपलेली आहे.”-1	
figs-euphemism_6_25__1	Euphemism	unable to migrate selection, no match found for check in new resources	माझी इच्छा आहे तुम्ही कोणाला तरी आज्ञा करावी-1 शीर थाळीत ठेवून मला द्यावे!”-1	
figs-euphemism_6_27__1	Euphemism	unable to migrate selection, no match found for check in new resources	आणण्याची-1 योहानाचे शीर-2	
figs-exclusive_5_9__1	Exclusive and Inclusive ‘We’	unable to migrate selection, no match found for check in new resources	“माझे नाव सैन्य आहे कारण या मनुष्यामध्ये पुष्कळ दुष्ट आत्म्ये आहोत.”-1	
figs-explicit_10_7__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“जेव्हा स्त्री-पुरुष लग्न करतात, तेव्हा त्यांनी लग्न केल्यानंतर त्यांच्या आईवडिलांसोबत राहू नये.-1	
figs-explicit_11_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	इतरांनी जवळच्या शेतातून खजुरीच्या झाडाच्या फांद्या तोडून-1	
figs-explicit_13_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	त्यांच्या भावा-बहिणींना पकडण्यास मदत करतील जेणेकरून सरकार त्यांना फाशी देऊ शकेल.-1	
figs-explicit_13_33__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	नेहमी सावध राहा-1	
