Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	मसीहावर अधिक विश्वास ठेवण्यास-1	
figs-abstractnouns_1_28__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	देव-1 तुम्हाला वाचवेल-1	
figs-abstractnouns_1_9__1	Abstract Nouns	2 selections duplicated 	["की तुम्ही एकमेकांवर अधिकाधिक प्रेम करू शकाल आणि देवाची इच्छा काय आहे हे तुम्हाला कळू शकेल आणि समजू शकेल.-1","की तुम्ही एकमेकांवर अधिकाधिक प्रेम करू शकाल आणि देवाची इच्छा काय आहे हे तुम्हाला कळू शकेल आणि समजू शकेल.-1"]	
figs-abstractnouns_1_9__1	Abstract Nouns	2 duplicate migrations		
figs-abstractnouns_2_1__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	आणि मसीहा आपल्याशी अतिशय दयाळू आहे,-1	
figs-doublet_2_15__1	Doublet	unable to migrate selection, there are 2 similar checks	असे वागा जेणेकरून तुम्ही काहीही चुकीचे करणार नाही किंवा त्याचा विचारही करू नका-1	
figs-explicit_1_5__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	तुम्ही-1 सुवार्तेची घोषणा करण्यासाठी कार्य करत आहात.-1	
figs-explicit_1_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 5 similar checks	मला पूर्ण खातरी आहे-1	
figs-explicit_4_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	मी सर्व परिस्थितीत समाधानी कसे राहावे हे शिकलो आहे. प्रत्येक परिस्थितीत आनंदी कसे राहायचे याचे रहस्य मला माहीत आहे.-1	
figs-hypo_3_4__1	Hypothetical Situations	2 duplicate migrations		
figs-metaphor_1_11__1	Metaphor	unable to migrate selection, there are 2 similar checks	, तुम्ही करू शकाल अशा गोष्टी तुम्ही नेहमी करव्यात कारण देवाने येशू मसीहामुळे तुम्हाला त्याच्या दृष्टीने चांगले घोषित केले आहे.-1	
figs-metaphor_2_25__1	Metaphor	unable to migrate selection, there are 2 similar checks	माझ्या गरजेच्या वेळी मला मदत करण्यासाठी तुम्ही ज्याला पाठवले होते तो तुमचा संदेशवाहक व सेवक आहे.-1	
figs-metaphor_3_13__1	Metaphor	2 duplicate migrations		
figs-metonymy_1_7__1	Metonymy	2 duplicate migrations		
