Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	यहूदा-1	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	एकमेव देव यास,-1 गौरव, वैभव, सामर्थ्य आणि अधिकार-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	अनंतकाळच्या अग्नीची शिक्षा भोगत असलेले-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	उपटून टाकलेली-1	
figs-activepassive_1_1__1	Active or Passive	unable to migrate selection, there are 2 similar checks	व पित्याच्याठायी प्रिय-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	कोरहाच्या बंडात-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	काइनाच्या मार्गाने-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	कोरहाच्या बंडात-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	असे बोलाविलेले यास-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	याकोबाचा भाऊ-1	
