Reference	Localized Group	Message	Selections	
figs-abstractnouns_5_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	देहाची कामे-1	
figs-activepassive_4_3__1	Active or Passive	unable to migrate selection, no match found for check in new resources	दास्यात होतो.-1	
figs-activepassive_5_11__1	Active or Passive	2 duplicate migrations		
figs-doublenegatives_1_19__1	Double Negatives	unable to migrate selection, no match found for check in new resources	पण मी-1 यास सोडून इतर कोणत्याही प्रेषितांना पाहिले नाही-1	
figs-doublenegatives_2_2__1	Double Negatives	2 duplicate migrations		
figs-exclusive_5_5__1	Exclusive and Inclusive ‘We’	unable to migrate selection, no match found for check in new resources	आपण-1	
figs-explicit_5_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तर, वधस्तंभाचा अडथळा नष्ट झाला.-1	
figs-explicit_5_1__1	Assumed Knowledge and Implicit Information	2 duplicate migrations		
figs-idiom_1_16__1	Idiom	unable to migrate selection, no match found for check in new resources	मी हे-1 देह व रक्ताचा सल्ला घेतला-1	
figs-metaphor_1_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	ज्याने तुम्हाला-1 बोलावले त्याच्यापासून तुम्ही इतक्या लवकर-1	
figs-metaphor_2_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	म्हणजे ते आम्हाला गुलाम बनवू शकतील.-1	
figs-metaphor_3_23__1	Metaphor	unable to migrate selection, no match found for check in new resources	आम्हाला नियमशास्त्राखाली एकत्र कैद करून राखले होते.-1	
figs-metaphor_4_19__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुमच्यात ख्रिस्ताचे रूप निर्माण होईपर्यंत मला तुमच्यासाठी-1 बाळंतपणाच्या वेदना होत आहेत.-1	
figs-metaphor_5_24__1	Metaphor	unable to migrate selection, no match found for check in new resources	त्यांनी देहाला भावनांसहित व वासनांसहित वधस्तंभावर खिळले आहे-1	
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	जे नियमशास्त्राच्या कृतींवर अवलंबून असतात ते सर्व शापाखाली आहेत;-1	
figs-metonymy_3_13__1	Metonymy	unable to migrate selection, no match found for check in new resources	नियमशास्त्राच्या शापापासून-1	
figs-metonymy_3_22__1	Metonymy	unable to migrate selection, no match found for check in new resources	पवित्र शास्त्राने-1	
figs-rquestion_3_19__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	मग नियमशास्त्र कशासाठी?-1	
figs-rquestion_3_1__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	तुमच्यात ज्यांच्या डोळ्यां-1 वधस्तंभावर खिळलेला येशू ख्रिस्त सार्वजनिकरित्या मांडला गेला तुम्हाला कोणी भुरळ घातली?-1	
figs-rquestion_3_4__1	Rhetorical Question	unable to migrate selection, there are 2 similar checks	र खरोखर त्या व्यर्थ सोसल्यात काय?-1	
figs-rquestion_4_9__1	Rhetorical Question	2 duplicate migrations		
figs-rquestion_5_11__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	आणि बंधूंनो, मी जर अजून सुंता गाजवीत असेन, तर अजून माझा छळ का व्हावा?-1	
figs-you_2_14__1	Forms of You	unable to migrate selection, no match found for check in new resources	भाग पाडता-1	
guidelines-sonofgodprinciples_1_16__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	पुत्राला-1	
