Reference	Localized Group	Message	Selections	
figs-doublet_1_17__1	Doublet	unable to migrate selection, there are 2 similar checks	त्याच्याबरोबर वळणामुळे कोणतेही बदल किंवा सावली नाही.-1	
figs-hypo_2_18__1	Hypothetical Situations	unable to migrate selection, there are 2 similar checks	कोणी म्हणेल-1	
figs-idiom_2_3__1	Idiom	unable to migrate selection, there are 2 similar checks	तुम्ही-1 एकाकडे पाहता-1	
figs-imperative_2_3__1	Imperatives — Other Uses	unable to migrate selection, there are 2 similar checks	तू तिकडे उभा रहा-1 माझ्या पायापाशी बस".-1	
figs-metaphor_3_2__1	Metaphor	unable to migrate selection, there are 2 similar checks	आपण सर्वजन पुष्कळ अडखळतो-1 बोलण्यात चुकत नाही-1	
figs-nominaladj_3_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	एका लहान सुकाणूने पाहिजे तिकडे-1	
figs-nominaladj_3_6__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ती सृष्टीचे चक्र पेटवनारी-1	
figs-quotations_2_18__1	Direct and Indirect Quotations	unable to migrate selection, there are 2 similar checks	कोणी म्हणेल, " तुझ्या ठायी विश्वास आहे ,आणि माझा कडे कृती आहे-1	
figs-you_2_3__1	Forms of You	unable to migrate selection, there are 2 similar checks	तुम्ही-1 पाहता-1 म्हणता-1 तुम्ही-3 म्हणता-2	
writing-pronouns_2_16__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	त्यांना-1 त्यांना-2	
