Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	जे लोक आपल्या इच्छेप्रमाणे देवाची उपासना करतात, जे नम्र असल्याचा आव आणतात आणि जे आपल्या देहाने वाईट वागतात (आपल्या धर्माचा एक भाग म्हणून) त्यांच्यासाठी या नियमांचे पालन करणे शहाणपणाची गोष्ट आहे असे वाटू शकते-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तुम्हाला त्याला अधिक जाणून घेण्यासाठी-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	एपफ्रासने जसे तुम्हाला शिकवले-1	
figs-explicit_4_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	लावदीकियात पाठवावे , जेणेकरून कोणीतरी तेथील विश्वास ठेवणाऱ्यांच्या गटालाही वाचून दाखवेल . तसेच, आपणही ते वाचू शकाल म्हणून मी लावदिकीयातील विश्वास ठेवणाऱ्यांना पाठविलेले पत्र {मागा]-1	
figs-idiom_4_9__1	Idiom	unable to migrate selection, there are 2 similar checks	तो तुमच्या ग्रुपमधला आहे.-1	
figs-metaphor_2_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	[कारण देवाने पित्याने तुझा समावेश केला होता] जेव्हा {मसीहा मरण पावला आणि लोकांनी त्याला पुरले.आणि जणू काही देवाने मसीहाला पुन्हा जिवंत केले तेव्हा पित्याने तुम्हाला पुन्हा जिवंत केले [कारण त्याने तुझा समावेश केला] . हे घडले; कारण तुमचा असा विश्वास होता की, देव पिता सामर्थ्याने कार्य करतो, विशेष करून जेव्हा त्याने मसीहाला पुन्हा जिवंत केले तेव्हा.-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	{त्यातही समावेश आहेच} पूर्णपणे त्याच्यावर अवलंबून राहणे, जसे एखादे घर त्याच्या पायावर उभे राहते. एपफ्रासने जसे तुम्हाला शिकवले त्याप्रमाणे मसीहावर विश्वासाने भरवसा ठेवणे आणि अधिकाधिक उपकारस्मरण करत त्यामध्ये वाढत जा.-1	
figs-metaphor_2_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	जो कोणी तुम्हाला दूर नेण्याचा प्रयत्न करेल तो पोकळ आणि फसव्या मानवी विचारसरणीचा वापर करेल. [-1	
figs-metaphor_3_11__1	Metaphor	unable to migrate selection, there are 3 similar checks	तुम्ही सर्व जण नवीन मनुष्य असल्यामुळे-1	
figs-metaphor_3_5__1	Metaphor	unable to migrate selection, there are 2 similar checks	या जगात वाईट गोष्टी करण्याच्या तुमच्या इच्छांचा विचार करा, जे तुम्ही जिवे मारलेच पाहिजे असे शत्रू समजा. {ज्या वाईट गोष्टींची तुम्हाला इच्छा बाळगता त्यात}-1	
figs-possession_2_17__1	Possession	unable to migrate selection, there are 2 similar checks	देवाने उपयोगात आणलेल्या या गोष्टी त्याने भविष्यासाठी काय योजना आखली होती हे सूचित करते, जे स्व-1	
grammar-connect-logic-goal_3_10__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, there are 2 similar checks	तुम्हाला त्याला अधिक जाणून घेण्यासाठी-1	
translate-unknown_3_4__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	त्येकजण त्याला पाहील, त्या वेळी तुम्ही त्याच्याबरोबर असाल. मग, प्रत्येकजण पाहील की आपणही त्याच्यासारखे गौरवात प्रकट केले जाऊ.-1	
