Reference	Localized Group	Message	Selections	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	नाही-1 उलट विभक्तपणा-1	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	पृथ्वीवर शांती द्यायला-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तर-1 या पिढीस भरून द्यावा लागेल-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तर-1 त्याबद्दलचा दंड या पिढीस-1	
figs-activepassive_12_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	आणि कळणार नाही असे गुप्त ठेवलेले नाही.-1	
figs-activepassive_12_48__1	Active or Passive	unable to migrate selection, there are 3 similar checks	त्याला थोडे मारले जातील-1	
figs-activepassive_12_50__1	Active or Passive	unable to migrate selection, there are 3 similar checks	मी कसा अस्वस्थ आहे.-1	
figs-activepassive_14_14__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुम्ही धन्य व्हाल-1	
figs-activepassive_14_34__1	Active or Passive	unable to migrate selection, there are 2 similar checks	त्याला कशाने चव आणता येईल?-1	
figs-activepassive_16_25__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुला यातना होत आहेत.-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जे लायक गणले जातील-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जे लायक गणले जातील ते लग्न करीत नाहीत किंवा लग्न करून देत नाहीत-1	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ठरल्याप्रमाणे जात आहे,-1	
figs-activepassive_23_32__1	Active or Passive	unable to migrate selection, there are 2 similar checks	मरणाची शिक्षा द्यायला-1	
figs-activepassive_24_44__1	Active or Passive	unable to migrate selection, there are 2 similar checks	त्या सर्व पूर्ण झाल्या पाहिजेत.”-1	
figs-activepassive_24_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	वधस्तंभावर खिळण्यात-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	म्हणून जे चांगले फळ देत नाही ते प्रत्येक झाड तोडून अग्नीत टाकले जाईल.”-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	झाडांच्या मुळाशी कुर्‍हाड ठेवलेली आहे-1	
figs-activepassive_6_38__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ज्या मापाने मोजून द्याल त्यानेच तुम्हाला परत मोजून दिले जाईल.”-1	
figs-activepassive_7_47__1	Active or Passive	unable to migrate selection, there are 2 similar checks	हिची जी पुष्कळ पापे आहेत त्यांची क्षमा केली आहे;-1	
figs-activepassive_8_18__1	Active or Passive	unable to migrate selection, there are 2 similar checks	आणि ज्या कोणाजवळ नाही त्याच्याजवळ जे आहे असे तो समजतो तेपण त्याच्याकडून काढून घेतले जाईल.”-1	
figs-doublenegatives_12_2__1	Double Negatives	unable to migrate selection, there are 2 similar checks	आणि कळणार नाही असे गुप्त ठेवलेले नाही.-1	
figs-doublenegatives_8_17__1	Double Negatives	unable to migrate selection, there are 2 similar checks	किंवा कळणार नाही, किंवा प्रसिद्धीस येणार नाही असे गुप्त ठेवलेले नाही.-1	
figs-explicit_10_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	त्या दिवशी-1	
figs-explicit_10_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	तुमच्यापेक्षा सोर आणि सिदोन ह्यांना अधिक सोपे जाईल.-1	
figs-explicit_11_30__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	मनुष्याचा पुत्र-1	
figs-explicit_11_48__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	तुम्ही साक्षी होऊन, त्या तुमच्या पूर्वजांच्या कृत्यांना संमती देता-1	
figs-explicit_15_25__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	तो येऊन-1	
figs-explicit_18_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	हा मनुष्य त्या दुसर्‍यापेक्षा नीतिमान ठरून-1 जो कोणी-1	
figs-explicit_19_26__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	पण ज्याच्याजवळ नाही, त्याच्याकडून काढून घेतले जाईल.-1	
figs-explicit_20_10__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	माळ्यांनी त्याला मारले आणि रिकामें पाठवून दिले.-1	
figs-explicit_20_36__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	कारण ते देवदूतांसारखे होतात-1	
figs-explicit_23_48__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	परत गेले.-1	
figs-explicit_23_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	मनुष्य-1	
figs-explicit_7_44__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	हिने माझे पाय आसवांनी धुतले-1	
figs-explicit_8_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	आणि ज्या कोणाजवळ नाही त्याच्याजवळ जे आहे असे तो समजतो तेपण त्याच्याकडून काढून घेतले जाईल.”-1	
figs-explicit_8_46__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	मला कोणी तरी शिवले-1	
figs-explicit_9_58__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	डोके टेकायला कुठंच काही नाही.”-1	
figs-idiom_17_22__1	Idiom	unable to migrate selection, there are 3 similar checks	असे दिवस येतील की,-1	
figs-idiom_1_76__1	Idiom	unable to migrate selection, there are 3 similar checks	प्रभूसमोर-1 त्याच्यापुढे चालशील-1	
figs-idiom_1_76__1	Idiom	unable to migrate selection, there are 3 similar checks	प्रभूसमोर-1 त्याच्यापुढे चालशील-1	
figs-metaphor_10_16__1	Metaphor	unable to migrate selection, there are 3 similar checks	जो माझा नाकार करतो तो ज्याने मला पाठवले त्याचा नाकार करतो.-1	
figs-metaphor_12_34__1	Metaphor	unable to migrate selection, there are 3 similar checks	तिथे तुमचे मनही राहील.-1	
figs-metaphor_12_34__1	Metaphor	unable to migrate selection, there are 3 similar checks	जिथे तुमचे धन आहे तिथे तुमचे मनही राहील.-1	
figs-metaphor_1_66__1	Metaphor	unable to migrate selection, there are 2 similar checks	प्रभूचा हात त्याच्या-1 होता-1	
figs-metaphor_1_79__1	Metaphor	unable to migrate selection, there are 3 similar checks	आणि आमचे पाय शांतीच्या मार्गाकडे न्यावेत.”-1	
figs-metaphor_20_10__1	Metaphor	unable to migrate selection, there are 2 similar checks	द्राक्षमळ्याच्या फळांतून-1	
figs-metaphor_20_18__1	Metaphor	unable to migrate selection, there are 2 similar checks	जो कोणी त्या दगडावर पडेल त्याचे तुकडे होतील,-1	
figs-metaphor_21_14__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुमच्या मनात ठसवा-1	
figs-metaphor_3_16__1	Metaphor	unable to migrate selection, there are 2 similar checks	तो तुमचा बाप्तिस्मा पवित्र आत्म्याने आणि अग्नीने करील-1	
