Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आम्हाला-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आमचा-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपल्या-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपल्याला-2	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आमच्या-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपण-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपल्या-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपले लोक-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आमच्या-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आम्ही-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपले-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपले-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	आपले-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	त्यांनी केलेले सर्व वाईट आहे. अशा लोकांची विचारसरणी उध्वस्त झाली आहे-1	
grammar-connect-logic-result_1_9__1	Connect — Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	अशा प्रकारे-1	
