Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
birch/my_jud_tit_book		13	en	v0.12	0			0				2020-05-11T18:30:04.779Z	2.2.0	7			
DMS/my_tit_text_reg		0			0			0									
Hpunggan/my_jon_text_reg		0			0			0									
khuppau/my_gen_text_reg		0			0			0									
konyinyi/my_mrk_text_reg		0			0			0									
konyinyi/my_reg_mrk_book																Empty Repo: konyinyi/my_reg_mrk_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/konyinyi/my_reg_mrk_book/archive/master.zip: Download did not succeed, code 404	
photonomad0/my_ulb_1co_book		0	en	v0.12	0	en	v0.12	1	en	v32	v0.13	2020-07-08T16:02:00.875Z	3.0.0	7			
photonomad1/my_ulb_1co_book		0	en	v0.12	0	en	v0.12	1	en	v32	v0.13	2020-07-08T16:02:00.875Z	3.0.0	7			
PongShan/my_mat_text_reg		0			0			0									
puia/my_hab_text_reg		0			0			0									
uW_test_001/my_2pe_text_reg		0			0			0									
