Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
India_BCS/nag_irv_1co_book	2021-12-26T16:00:27.487Z	12	en	v0.13	0			0				2020-12-28T06:18:04.527Z	3.0.0	7			
India_BCS/nag_irv_1jn_book	2021-12-26T16:00:27.487Z	8	en	v0.13	0			0				2020-12-28T07:24:43.817Z	3.0.0	7			
India_BCS/nag_irv_1pe_book	2021-12-26T16:00:27.487Z	15	en	v0.13	0			0				2020-12-28T07:16:56.614Z	3.0.0	7			
India_BCS/nag_irv_1th_book	2021-12-26T16:00:27.487Z	17	en	v0.13	0			0				2020-12-28T06:45:25.291Z	3.0.0	7			
India_BCS/nag_irv_2co_book	2021-12-26T16:00:27.487Z	12	en	v0.13	0			0				2020-12-28T06:29:23.823Z	3.0.0	7			
India_BCS/nag_irv_2jn_book	2021-12-26T16:00:27.487Z	8	en	v0.13	0			0				2020-12-28T08:31:47.180Z	3.0.0	7			
India_BCS/nag_irv_2pe_book	2021-12-26T16:00:27.487Z	2	en	v0.13	0			0				2020-12-28T07:21:57.220Z	3.0.0	7			
India_BCS/nag_irv_2th_book	2021-12-26T16:00:27.487Z	6	en	v0.13	0			0				2020-12-28T06:47:16.721Z	3.0.0	7			
India_BCS/nag_irv_3jn_book	2021-12-26T16:00:27.487Z	13	en	v0.13	0			0				2020-12-28T08:35:06.554Z	3.0.0	7			
India_BCS/nag_irv_act_book	2021-12-26T16:00:27.487Z	4	en	v0.13	0			0				2020-12-28T05:52:16.130Z	3.0.0	7			
India_BCS/nag_irv_col_book	2021-12-26T16:00:27.487Z	6	en	v0.13	0			0				2020-12-28T06:43:05.005Z	3.0.0	7			
India_BCS/nag_irv_eph_book	2021-12-26T16:00:27.487Z	10	en	v0.13	0			0				2020-12-28T06:38:39.117Z	3.0.0	7			
India_BCS/nag_irv_gal_book	2021-12-26T16:00:27.487Z	6	en	v0.13	0			0				2020-12-28T06:33:49.147Z	3.0.0	7			
India_BCS/nag_irv_heb_book	2021-12-26T16:00:27.487Z	6	en	v0.13	0			0				2020-12-28T07:09:39.015Z	3.0.0	7			
India_BCS/nag_irv_jas_book	2021-12-26T16:00:27.487Z	10	en	v0.13	0			0				2020-12-28T07:14:00.228Z	3.0.0	7			
India_BCS/nag_irv_jhn_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-28T05:28:40.143Z	3.0.0	7			
India_BCS/nag_irv_jud_book	2021-12-26T16:00:27.487Z	8	en	v0.13	0			0				2020-12-28T08:39:41.349Z	3.0.0	7			
India_BCS/nag_irv_luk_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-28T05:18:21.635Z	3.0.0	7			
India_BCS/nag_irv_mrk_book	2021-12-26T16:00:27.487Z	7	en	v0.13	0			0				2020-12-24T11:34:08.188Z	3.0.0	7			
India_BCS/nag_irv_phm_book	2021-12-26T16:00:27.487Z	4	en	v0.13	0			0				2020-12-28T07:06:58.966Z	3.0.0	7			
India_BCS/nag_irv_php_book	2021-12-26T16:00:27.487Z	5	en	v0.13	0			0				2020-12-28T06:40:45.587Z	3.0.0	7			
India_BCS/nag_irv_rev_book	2021-12-26T16:00:27.487Z	7	en	v0.13	0			0				2020-12-28T08:47:23.053Z	3.0.0	7			
India_BCS/nag_irv_rom_book	2021-12-26T16:00:27.487Z	8	en	v0.13	0	en		0	en	v32	v0.13	2020-12-28T06:09:02.463Z	3.0.0	7			
India_BCS/nag_irv_tit_book	2021-12-26T16:00:27.487Z	10	en	v0.13	0			0				2020-12-28T07:05:20.103Z	3.0.0	7			
shojojohn/nag_irv_1ti_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2021-01-04T04:59:10.323Z	3.0.0	7			
shojojohn/nag_irv_2ti_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2021-01-04T05:08:17.651Z	3.0.0	7			
