Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
lversaw/nar_jhn_text_reg		0			0			0									
lversaw/nar_reg_rom_book		0			0			0				2020-05-10T23:21:12.693Z		7			
lversaw/nar_rom_text_reg		0			0			0									
NBTT/nar_1co_text_reg		0			0			0									
NBTT/nar_1jn_text_reg		0			0			0									
NBTT/nar_1pe_text_reg		0			0			0									
NBTT/nar_1th_text_reg		0			0			0									
NBTT/nar_1ti_text_reg		0			0			0									
NBTT/nar_2co_text_reg		0			0			0									
NBTT/nar_2jn_text_reg		0			0			0									
NBTT/nar_2pe_text_reg		0			0			0									
NBTT/nar_2th_text_reg		0			0			0									
NBTT/nar_2ti_text_reg		0			0			0									
NBTT/nar_3jn_text_reg		0			0			0									
NBTT/nar_act_text_reg		0			0			0									
NBTT/nar_col_text_reg		0			0			0									
NBTT/nar_eph_text_reg		0			0			0									
NBTT/nar_gal_text_reg		0			0			0									
NBTT/nar_heb_text_reg		0			0			0									
NBTT/nar_jas_text_reg		0			0			0									
NBTT/nar_jhn_text_reg		0			0			0									
NBTT/nar_jud_text_reg		0			0			0									
NBTT/nar_luk_text_reg		0			0			0									
NBTT/nar_mat_text_reg		0			0			0									
NBTT/nar_mrk_text_reg		0			0			0									
NBTT/nar_phm_text_reg		0			0			0									
NBTT/nar_rev_text_reg		0			0			0									
NBTT/nar_rom_text_reg																Empty Repo: NBTT/nar_rom_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NBTT/nar_rom_text_reg/archive/master.zip: Download did not succeed, code 404	
NBTT/nar_tit_text_reg		0			0			0									
