Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
bspidel/ne_bob_luk_book	2021-12-22T12:50:20.216Z	0			0			0									
hblamtari/ne_glt_1co_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0	en	v26	v0.12	2018-11-30T08:14:09.042Z	2.1.2	7			
hblamtari/ne_glt_1jn_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		26	en	v26	v0.12	2018-12-27T07:33:17.345Z	2.1.2	7	duplicate tn migrations found, unmatched tn checks found, 		
hblamtari/ne_glt_1pe_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-07-15T07:51:03.176Z	2.1.2	7			
hblamtari/ne_glt_1th_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v26	v0.12	2018-11-11T02:38:41.877Z	2.1.2	7			
hblamtari/ne_glt_1ti_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-11T02:47:39.841Z	2.1.2	7			
hblamtari/ne_glt_2co_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-30T08:08:38.748Z	2.1.2	7			
hblamtari/ne_glt_2jn_book	2021-12-22T12:50:20.216Z	100	en		0			0				2018-12-27T07:34:09.284Z	2.1.2	7			
hblamtari/ne_glt_2pe_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-12-27T07:31:22.093Z	2.1.2	7			
hblamtari/ne_glt_2th_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-11T02:42:43.166Z	2.1.2	7			
hblamtari/ne_glt_2ti_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-11T02:44:46.239Z	2.1.2	7			
hblamtari/ne_glt_3jn_book	2021-12-22T12:50:20.216Z	100	en		0	en		0	en	v28	v0.12	2018-12-27T07:34:57.030Z	2.1.2	7			
hblamtari/ne_glt_act_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v28	v0.12	2020-07-31T06:09:53.535Z	2.1.2	7			
hblamtari/ne_glt_col_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-26T10:55:30.064Z	2.1.2	7			
hblamtari/ne_glt_eph_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v26	v0.12	2018-11-26T10:54:17.043Z	2.1.2	7			
hblamtari/ne_glt_gal_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v26	v0.12	2018-11-26T10:53:36.085Z	2.1.2	7			
hblamtari/ne_glt_heb_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-07-31T06:07:26.614Z	2.1.2	7			
hblamtari/ne_glt_jas_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-27T07:55:20.431Z	2.1.2	7			
hblamtari/ne_glt_jhn_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-03-10T11:30:47.833Z	2.1.2	7			
hblamtari/ne_glt_jud_book	2021-12-22T12:50:20.216Z	100	en		0			0				2018-11-27T07:53:11.200Z	2.1.2	7			
hblamtari/ne_glt_luk_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v28	v0.12	2020-07-10T09:46:19.279Z	2.1.2	7			
hblamtari/ne_glt_mat_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v28	v0.12	2020-07-10T09:42:50.117Z	2.1.2	7			
hblamtari/ne_glt_mrk_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-03-10T11:26:24.108Z	2.1.2	7			
hblamtari/ne_glt_phm_book	2021-12-22T12:50:20.216Z	100	en	v0.12	100	en	v0.12	100	en	v26	v0.12	2019-02-01T11:32:06.463Z	2.1.2	7	unmatched tn checks found, 		
hblamtari/ne_glt_php_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v26	v0.12	2018-11-26T10:54:58.062Z	2.1.2	7			
hblamtari/ne_glt_rev_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2020-08-04T09:55:24.807Z	2.1.2	7			
hblamtari/ne_glt_rom_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0	en		0	en	v26	v0.12	2018-11-26T07:50:32.980Z	2.1.2	7			
hblamtari/ne_glt_tit_book	2021-12-22T12:50:20.216Z	100	en	v0.12	0			0				2018-11-27T07:54:18.417Z	2.1.2	7			
hblamtari/ne_gst_mrk_book	2021-12-22T12:50:20.216Z	99	en	v0.12	0			0				2019-09-19T11:10:29.733Z	2.1.2	7			
hblamtari/ne_gst_tit_book	2021-12-22T12:50:20.216Z	100	en		0			0				2019-09-19T10:40:11.355Z	2.1.2	7			
ibibleru/el-x-koine_sttr_1co_book	2021-12-22T12:50:20.216Z	0	en		0			0				2020-10-18T14:03:51.757Z	3.0.0	7			
ibibleru/el-x-koine_sttr_1jn_book	2021-12-22T12:50:20.216Z	0	en		0			0				2020-10-18T14:09:14.075Z	3.0.0	7			
