Reference	Localized Group	Message	Selections	
figs-123person_6_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	प्रत्येकले उसको आफ्नो कामको जाँच गरोस् र त्यसपछि उसँग अरू कसैमा होइन बरू आफैमा मात्र गर्व गर्ने केही कारण हुनेछ।-1	
figs-123person_6_6__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	सबै असल कुराहरूमा वचन सिकाइएको व्यक्तिले एकै शिक्षाद्धारा बाँडोस् ।-1	
figs-abstractnouns_1_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	येशू ख्रीष्टको प्रकाश-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तिनीहरूको कपटले-1	
figs-abstractnouns_2_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सुसमाचारको सत्यता-1	
figs-abstractnouns_2_16__-1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	व्यवस्थाका कामहरू-1	
figs-abstractnouns_2_16__-1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्वास-1 विश्वास-3	
figs-abstractnouns_2_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	पापी ठहरियौं-1 पापको-1	
figs-abstractnouns_2_18__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपराधी-1	
figs-abstractnouns_2_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_2_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्‍वरको अनुग्रह-1	
figs-abstractnouns_2_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	धार्मिकता-1	
figs-abstractnouns_2_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	प्रकाश अनुसार-1	
figs-abstractnouns_2_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ख्रीष्ट येशूमा भएको हाम्रो स्वतन्त्रताको जासुसी गर्न-1	
figs-abstractnouns_2_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हामी-1 समर्पित भए-1	
figs-abstractnouns_2_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सुसमाचारको सत्यता-1	
figs-abstractnouns_2_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मलाई दिइएको अनुग्रह बुझेर-1	
figs-abstractnouns_2_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सङ्गतिको-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	श्रापित हुन्‍छन्-1	
figs-abstractnouns_3_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्वासद्वारा-1	
figs-abstractnouns_3_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वासबाट-1	
figs-abstractnouns_3_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	व्यवस्थाको श्रापबाट-1 श्रापित-2	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आशिष्-1	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्वास-1	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	पवित्र आत्माको प्रतिज्ञा-1	
figs-abstractnouns_3_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपराध-1	
figs-abstractnouns_3_22__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_3_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1 विश्‍वासको प्रकाश-1 आउन्जेल-1	
figs-abstractnouns_3_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_3_25__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_3_26__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वास-1	
figs-abstractnouns_3_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	धार्मिकता-1	
figs-abstractnouns_3_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्‍वासद्वारा-1	
figs-abstractnouns_4_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	शारीरिक कमजोरी-1	
figs-abstractnouns_4_14__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परीक्षा-1	
figs-abstractnouns_4_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आशिष्-1 छ-1	
figs-abstractnouns_4_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तिमीहरूसँग सत्‍य बताएर-1	
figs-abstractnouns_4_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	दासत्व-1	
figs-abstractnouns_4_25__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तिनी-1 दासत्वमा छिन्-1	
figs-abstractnouns_5_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	न्याय पाउनेछ-1	
figs-abstractnouns_5_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	खतना-1	
figs-abstractnouns_5_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	स्वतन्‍त्रता-1 स्वतन्त्र-1	
figs-abstractnouns_5_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	प्रेम-1	
figs-abstractnouns_5_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	शरीरका अभिलाषाहरू-1	
figs-abstractnouns_5_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	शरीरका कामहरू-1 यौन अनैतिकता, अपवित्रता, कामवासना,-1	
figs-abstractnouns_5_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	स्वतन्‍त्रताको निम्ति-1 दासत्वको-1	
figs-abstractnouns_5_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	डाह, पियक्‍कडपन, मोजमज्‍जा-1	
figs-abstractnouns_5_22__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	प्रेम, आनन्‍द, शान्‍ति, धैर्य, दया, भलाइ, विश्‍वासयोग्यता,-1	
figs-abstractnouns_5_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	नम्रता र संयम हुन्-1	
figs-abstractnouns_5_24__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	लालसा र दुष्‍ट अभिलाषाहरू-1	
figs-abstractnouns_5_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विश्वासद्वारा-1 धार्मिकताको आशाको-1	
figs-abstractnouns_5_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	खतना-1 बेखतना-1 प्रेम-1 विश्‍वास-1	
figs-abstractnouns_5_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	सत्‍यताद्धारा-1	
figs-abstractnouns_6_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तिनीहरूमा र परमेश्‍वरको इस्राएलमा शान्‍ति र कृपा रहन्छ।-1	
figs-abstractnouns_6_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मलाई कसैले दुःख नदेओस्-1	
figs-abstractnouns_6_18__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अनुग्रह-1	
figs-abstractnouns_6_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपराध-1	
figs-abstractnouns_6_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	एक अर्काको भार-1	
figs-abstractnouns_6_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आफ्नो कामको-1 उसँग-1 गर्व गर्ने केही कारण हुनेछ-1	
figs-abstractnouns_6_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आफ्नो भार-1	
figs-abstractnouns_6_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	विनाशको कटनी गर्नेछ-1	
figs-activepassive_2_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	बारनाबास पनि तिनीहरूको कपटले भड्किए ।-1	
figs-activepassive_2_16__1	Active or Passive	unable to migrate selection, no match found for check in new resources	कोही मानिस पनि-1 धर्मी ठहरिँदैन-1 हामी-2 धर्मी ठहरिन सकौं-1 धर्मी ठहरिने-1	
figs-activepassive_2_17__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ख्रीष्टमा धर्मी ठहरिन-1	
figs-activepassive_2_17__1	Active or Passive	unable to migrate selection, no match found for check in new resources	हामी आफैं पनि पापी ठहरियौं भने-1	
figs-activepassive_2_19__1	Active or Passive	unable to migrate selection, no match found for check in new resources	म ख्रीष्टसँग क्रूसमा टाँगिएको छु-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	मलाई-1 सुम्पिएको-1	
figs-activepassive_2_9__1	Active or Passive	unable to migrate selection, no match found for check in new resources	दिइएको-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, no match found for check in new resources	यसरी लेखिएको छ-1 लेखिएका-1	
figs-activepassive_3_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	व्यवस्थाद्वारा परमेश्वरको सामु कोही पनि धर्मी नठहरिने-1	
figs-activepassive_3_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	मानिसले स्थापना गरेको-1	
figs-activepassive_3_17__1	Active or Passive	unable to migrate selection, no match found for check in new resources	परमेश्‍वरले पहिले नै स्थापना गर्नुभएको-1	
figs-activepassive_3_19__1	Active or Passive	unable to migrate selection, no match found for check in new resources	प्रतिज्ञा गरिएका-1	
figs-activepassive_3_1__1	Active or Passive	unable to migrate selection, no match found for check in new resources	समा टाँगिनुभएको कुरा दर्शाइएको थियो-1	
figs-activepassive_3_21__1	Active or Passive	unable to migrate selection, no match found for check in new resources	व्यवस्था दिइएको-1	
figs-activepassive_3_22__1	Active or Passive	unable to migrate selection, no match found for check in new resources	येशू ख्रीष्‍टमा विश्‍वासद्वारा प्रतिज्ञा विश्‍वास गर्नेहरूलाई दिन सकियोस्-1	
figs-activepassive_3_23__1	Active or Passive	unable to migrate selection, no match found for check in new resources	हामी व्यवस्थामुनि बन्दी बनाइयौ-1	
figs-activepassive_3_23__1	Active or Passive	unable to migrate selection, no match found for check in new resources	कैदमा थियौँ-1	
figs-activepassive_3_27__1	Active or Passive	unable to migrate selection, no match found for check in new resources	बप्‍तिस्मा भयो-1	
figs-activepassive_3_6__1	Active or Passive	unable to migrate selection, no match found for check in new resources	गनियो-1	
figs-activepassive_3_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	तँबाट सबै जातिहरू आशिषित हुनेछन्-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, no match found for check in new resources	विश्वासद्धारा तिनीहरू-1 आशिषित हुन्‍छन्-1	
