Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
BCS_India/or_gltn_jon_book	2023-09-19T17:18:08.123Z	100	en		0			10	en	v54	v2.1.23	2021-11-15T10:57:31.365Z	3.0.1	7			
Deepak.Nayak/or_oglt_jas_book	2023-09-19T17:18:08.123Z	0	en	v0.14	97	en	v0.14	100	en	v33	v0.14	2021-10-23T16:03:31.939Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
India_BCS/or_irv_1co_book	2023-09-19T17:18:08.123Z	10	en	v0.13	0			0				2020-12-22T11:18:11.974Z	3.0.0	7			
India_BCS/or_irv_1jn_book	2023-09-19T17:18:08.123Z	22	en	v0.13	0			0				2020-12-22T09:47:24.664Z	3.0.0	7			
India_BCS/or_irv_1pe_book	2023-09-19T17:18:08.123Z	29	en	v0.13	0			0				2020-12-22T09:12:03.095Z	3.0.0	7			
India_BCS/or_irv_1th_book	2023-09-19T17:18:08.123Z	20	en	v0.13	0			0				2020-12-22T08:56:01.618Z	3.0.0	7			
India_BCS/or_irv_1ti_book	2023-09-19T17:18:08.123Z	67	en	v0.13	0			0				2020-12-22T09:21:05.384Z	3.0.0	7			
India_BCS/or_irv_2co_book	2023-09-19T17:18:08.123Z	16	en	v0.13	0			0				2020-12-22T11:11:24.510Z	3.0.0	7			
India_BCS/or_irv_2jn_book	2023-09-19T17:18:08.123Z	36	en	v0.13	0			0				2020-12-22T09:52:27.096Z	3.0.0	7			
India_BCS/or_irv_2pe_book	2023-09-19T17:18:08.123Z	38	en	v0.13	0			0				2020-12-22T09:41:15.998Z	3.0.0	7			
India_BCS/or_irv_2th_book	2023-09-19T17:18:08.123Z	6	en	v0.13	0			0				2020-12-22T12:44:27.579Z	3.0.0	7			
India_BCS/or_irv_2ti_book	2023-09-19T17:18:08.123Z	24	en	v0.13	0			0				2020-12-22T09:28:45.532Z	3.0.0	7			
India_BCS/or_irv_act_book	2023-09-19T17:18:08.123Z	7	en	v0.13	0			0				2020-12-22T11:30:25.792Z	3.0.0	7			
India_BCS/or_irv_col_book	2023-09-19T17:18:08.123Z	18	en	v0.13	0			0				2020-12-22T08:52:47.816Z	3.0.0	7			
India_BCS/or_irv_eph_book	2023-09-19T17:18:08.123Z	13	en	v0.13	0			0				2020-12-22T10:54:47.452Z	3.0.0	7			
India_BCS/or_irv_gal_book	2023-09-19T17:18:08.123Z	19	en	v0.13	0			0				2020-12-22T11:06:31.320Z	3.0.0	7			
India_BCS/or_irv_heb_book	2023-09-19T17:18:08.123Z	64	en	v0.13	0			0				2020-12-22T09:32:55.565Z	3.0.0	7			
India_BCS/or_irv_jas_book	2023-09-19T17:18:08.123Z	78	en	v0.13	0			0				2020-12-22T09:37:41.794Z	3.0.0	7			
India_BCS/or_irv_jhn_book	2023-09-19T17:18:08.123Z	5	en	v0.13	0			0				2020-12-22T11:54:14.698Z	3.0.0	7			
India_BCS/or_irv_jud_book	2023-09-19T17:18:08.123Z	19	en	v0.13	0			0				2020-12-22T09:58:32.628Z	3.0.0	7			
India_BCS/or_irv_luk_book	2023-09-19T17:18:08.123Z	32	en	v0.13	0			0				2020-12-22T12:32:50.687Z	3.0.0	7			
India_BCS/or_irv_mat_book	2023-09-19T17:18:08.123Z	30	en	v0.13	0			0				2020-12-22T12:24:55.661Z	3.0.0	7			
India_BCS/or_irv_mrk_book	2023-09-19T17:18:08.123Z	7	en	v0.13	0			0				2020-12-22T12:08:16.749Z	3.0.0	7			
India_BCS/or_irv_phm_book	2023-09-19T17:18:08.123Z	19	en	v0.13	0			0				2020-12-22T10:05:00.147Z	3.0.0	7			
India_BCS/or_irv_php_book		19	en	v0.13	0			0				2020-12-22T08:49:32.278Z	3.0.0	7			
India_BCS/or_irv_rev_book	2023-09-19T17:18:08.123Z	8	en	v0.13	0			0				2020-12-22T11:40:44.366Z	3.0.0	7			
India_BCS/or_irv_rom_book	2023-09-19T17:18:08.123Z	8	en	v0.13	0	en		0	en	v32	v0.13	2020-12-22T11:24:40.649Z	3.0.0	7			
manash12d/or_glt_jon_book																Empty Repo: manash12d/or_glt_jon_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/manash12d/or_glt_jon_book/archive/master.zip: Download did not succeed, code 404	
manash12d/or_gltn_jon_book	2023-09-19T17:18:08.123Z	100	en		0			10	en	v54	v2.1.23	2021-11-15T10:57:31.365Z	3.0.1	7			
manash12d/or_jglt_jon_book																Empty Repo: manash12d/or_jglt_jon_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/manash12d/or_jglt_jon_book/archive/master.zip: Download did not succeed, code 404	
manash12d/or_oglt_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.21	100	en	v0.14	100	en	v52	v0.21	2021-06-23T03:44:59.058Z	3.0.1	7			
manash12d/or_oglt_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.14	100	en	v0.14	99	en	v54	v0.22	2021-11-05T09:18:50.487Z	3.0.1	7	unmatched tn checks found, 		
manash12d/or_oglt_3jn_book																Empty Repo: manash12d/or_oglt_3jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/manash12d/or_oglt_3jn_book/archive/master.zip: Download did not succeed, code 404	
