Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_18__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ତୁମ୍ଭର ବିଶ୍ୱାସ ଅଛି, ପୁଣି ମୋହର କର୍ମ ଅଛି ।" କର୍ମ ବିନା ତୁମ୍ଭର ବିଶ୍ୱାସ ମୋତେ ଦେଖାଅ, ଆଉ ମୁଁ କର୍ମ ଦ୍ୱାରା ତୁମ୍ଭକୁ ମୋହର ବିଶ୍ୱାସ ଦେଖାଇବି ।-1	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ସତ୍ୟ ବିରୁଦ୍ଧରେ ଗର୍ବ କର ନାହିଁ ଓ ମିଥ୍ୟା କୁହ ନାହିଁ ।-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଆପଣା ପ୍ରେମକାରୀମାନଙ୍କୁ ଦେବାକୁ ପ୍ରତିଜ୍ଞା କରିଅଛନ୍ତି ।-1	
figs-activepassive_1_13__1	Active or Passive	2 duplicate migrations		
figs-activepassive_3_4__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ପ୍ରଚଣ୍ଡ ପବନରେ ଚାଳିତ ହେଲେ ହେଁ-1	
figs-activepassive_3_6__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ପ୍ରକୃତିର ଚକ୍ରକୁ ଜ୍ୱଳାଏ, ଓ ନିଜେ ନର୍କରେ ପ୍ରଜ୍ୱଳିତ ହୁଏ ।-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଈଶ୍ୱରଙ୍କ ସାଦୃଶ୍ୟରେ ସୃଷ୍ଟ-1	
figs-doublet_1_17__1	Doublet	unable to migrate selection, there are 2 similar checks	ସମସ୍ତ ଉତ୍ତମ ଦାନ ଓ ସମସ୍ତ ସିଦ୍ଧ ବର-1	
figs-ellipsis_1_10__1	Ellipsis	2 duplicate migrations		
figs-ellipsis_3_12__1	Ellipsis	unable to migrate selection, there are 2 similar checks	ଅବା ଦ୍ରାକ୍ଷାଲତା, ଡିମ୍ବିରି ଫଳ-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଯାକୁବ, ଈଶ୍ୱରଙ୍କ ଓ ପ୍ରଭୁ ଯୀଶୁଖ୍ରୀଷ୍ଟଙ୍କ ଜଣେ ଦାସ-1	
figs-explicit_1_21__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ ଆତ୍ମାକୁ ପରିତ୍ରାଣ କରିବା ନିମନ୍ତେ-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୃପ୍ତ ହୁଅ,-1	
figs-gendernotations_5_12__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	ମୋହର ଭାଇମାନେ-1	
figs-gendernotations_5_19__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	ଭାଇମାନେ-1	
figs-genericnoun_3_1__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	ଅନେକେ-1 ନାହିଁ-1	
figs-hyperbole_4_2__1	Hyperbole	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେମାନେ ବଧ ଓ ଈର୍ଷା କରିଥାଅ, କିନ୍ତୁ ପ୍ରାପ୍ତ ହେବାକୁ ସକ୍ଷମ ହୋଇ ନ ଥାଅ-1	
figs-inclusive_2_1__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1 ପ୍ରଭୁ ଯୀଶୁ ଖ୍ରୀଷ୍ଟଙ୍କଠାରେ-1	
figs-inclusive_3_2__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭେମାନେ ସମସ୍ତେ-1 ଝୁଣ୍ଟିପଡ଼ୁ-1	
figs-metaphor_1_27__1	Metaphor	unable to migrate selection, there are 3 similar checks	ଈଶ୍ୱର ଓ ପିତାଙ୍କ ଛାମୁରେ-1	
figs-metaphor_1_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	ଦ୍ୱିମନା ଲୋକ-1	
figs-metaphor_1_9__1	Metaphor	unable to migrate selection, there are 3 similar checks	ଆପଣାର ଉନ୍ନତ ଅବସ୍ଥାରେ ଦର୍ପ କରୁ-1	
figs-metaphor_2_17__1	Metaphor	unable to migrate selection, no match found for check in new resources	ବିଶ୍ୱାସ ନିଜେ, କର୍ମ ବିନା ନିଜେ ମୃତ ଅଟେ ।-1	
figs-metaphor_2_23__1	Metaphor	unable to migrate selection, no match found for check in new resources	ତାଙ୍କ ପକ୍ଷରେ ତାହା ଧାର୍ମିକତା ବୋଲି ଗଣିତ ହେଲା,-1	
figs-metaphor_2_25__1	Metaphor	unable to migrate selection, no match found for check in new resources	କର୍ମ ଦ୍ୱାରା ଧାର୍ମିକ ଗଣିତ ହେଲେ-1	
