Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-2	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କୁ-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କୁ-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କୁ-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ ନିଜ-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କୁ-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭେମାନେ-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଯେଉଁମାନେ କଳୁଷିତ ଏବଂ ଅବିଶ୍ୱାସକରନ୍ତି, କିଛି ହିଁ ଶୁଦ୍ଧ ନାହିଁ-1	
