Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Ace_abby/ory_ogl_2co_book		100	en	v0.30	99	en	v0.30	99	en	v71_unfoldingWord	v0.30	2023-05-15T15:13:43.099Z	3.4.0	8	unmatched tn checks found, 		
Ace_abby/ory_oglt_1co_book		100	en	v0.29	100	en	v0.29	100	en	v66_Door43-Catalog	v0.30	2023-01-05T03:06:36.411Z	3.4.0	8			
Ace_abby/ory_oglt_2co_book		100	en	v0.30	99	en	v0.30	99	en	v71_unfoldingWord	v0.30	2023-05-15T15:13:43.099Z	3.4.0	8	unmatched tn checks found, 		
Ace_abby/ory_oglt_jhn_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-08-23T06:11:59.296Z	3.4.0	8			
Ace_abby/ory_oglt_jon_book		100	en	v2.1.30	100	en	v2.1.15	100	en	v71_unfoldingWord	v2.1.30	2021-11-16T09:53:14.392Z	3.4.0	8			
Ace_abby/ory_oglt_mrk_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-05-06T12:35:20.769Z	3.4.0	8			
Ace_abby/ory_ogst_mrk_book		99	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-24T14:04:06.236Z	3.4.0	8			
Ajaya_Singh/ory_ogst_2pe_book																Empty Repo: Ajaya_Singh/ory_ogst_2pe_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Ajaya_Singh/ory_ogst_2pe_book/archive/master.zip: Download did not succeed, code 404	
Ajaya_Singh/ory_ogst_jud_book																Empty Repo: Ajaya_Singh/ory_ogst_jud_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Ajaya_Singh/ory_ogst_jud_book/archive/master.zip: Download did not succeed, code 404	
Ajaya_Singh/ory_ogst_phm_book																Empty Repo: Ajaya_Singh/ory_ogst_phm_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Ajaya_Singh/ory_ogst_phm_book/archive/master.zip: Download did not succeed, code 404	
Amos.Khokhar/ory_oglt_1pe_book		100	en	v0.24	81	en	v0.24	85	en	v65_Door43-Catalog	v0.29	2022-12-17T10:35:05.695Z	3.4.0	8			
Amos.Khokhar/ory_oglt_jhn_book		98	en	v0.29	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-12-17T06:38:55.354Z	3.4.0	8			
Amos.Khokhar/ory_oglt_jud_book		100	en	v0.22	100	en	v0.22	100	en	v54	v0.22	2022-03-24T13:26:57.924Z	3.2.0	7			
Amos.Khokhar/ory_oglt_phm_book		100	en	v0.22	100	en	v0.22	100	en	v54	v0.22	2022-03-25T07:47:13.171Z	3.2.0	7			
Amos.Khokhar/ory_ogst_1pe_book		100	en	v0.29	100	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-12-17T10:30:51.647Z	3.4.0	8			
Amos.Khokhar/ory_ogst_jhn_book		100	en	v0.29	91	en	v0.29	85	en	v65_Door43-Catalog	v0.29	2022-12-12T11:11:44.432Z	3.4.0	8			
