Reference	Localized Group	Message	Selections	
figs-123person_12_2__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ମୁଁ ଖ୍ରୀଷ୍ଟରେ ଜଣେ ଲୋକଙ୍କୁ ଜାଣେ-1 ଏପରି ଜଣେ {ଲୋକ} ଚଉଦ ବର୍ଷ ପୂର୍ବେ ତୃତୀୟ ସ୍ଵର୍ଗ ପର୍ଯ୍ୟନ୍ତ ନୀତ ହେଲା-1	
figs-123person_12_3__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ମୁଁ ଏପରି ଜଣେ ଲୋକକୁ ଜାଣେ-1	
figs-123person_12_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ସେ ପାରଦୀଶ ମଧ୍ୟକୁ ନିଆଗଲା ଓ ଅକଥନୀୟ ବାକ୍ୟ ଶ୍ରବଣ କଲା ଯାହା ଜଣେ ମନୁଷ୍ୟ ନିମନ୍ତେ ପ୍ରକାଶ କରିବା ବିଧେୟ ନୁହେଁ-1	
figs-123person_12_5__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ଏପରି ଜଣେ {ବ୍ୟକ୍ତି} ପକ୍ଷରେ ମୁଁ ଦର୍ପ କରିବି-1 କିନ୍ତୁ ମୋ ନିଜ ପକ୍ଷରେ-1 ମୁଁ ଦର୍ପ କରିବି ନାହିଁ-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମାତ୍ର ତୁମ୍ଭମାନଙ୍କ ବିଶ୍ବାସ {ନିମନ୍ତେ} ଆଶା ରଖି-1 ବୃଦ୍ଧି ହେବାର କାରଣ ହେଉଅଛି-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଅଧିକତର-1	
figs-abstractnouns_10_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯେଉଁ-1 ସେହି ବିଶ୍ବାସରେ-1	
figs-abstractnouns_10_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କ ଯୁଦ୍ଧର-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଈଶ୍ୱରଙ୍କ ଜ୍ଞାନ-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଖ୍ରୀଷ୍ଟଙ୍କ ବାଧ୍ୟତା ନିମନ୍ତେ-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ପ୍ରସ୍ତୁତ ହେଉଅଛୁ-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯେତେବେଳେ ତୁମ୍ଭମାନଙ୍କର ବାଧ୍ୟତା ସଂପୂର୍ଣ୍ଣ ହେବ-1 ଅବାଧ୍ୟତାର ପ୍ରତ୍ୟେକ କାର୍ଯ୍ୟର-1	
figs-abstractnouns_10_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ବାହ୍ୟ ଅନୁସାରେ-1	
figs-abstractnouns_10_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯାହା ପ୍ରଭୁ-1 ଦେଇଅଛନ୍ତି-1	
figs-abstractnouns_11_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଖ୍ରୀଷ୍ଟଙ୍କ ସତ୍ୟତା ମୋ'ଠାରେ ଅଛି-1	
figs-abstractnouns_11_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯେଉଁମାନେ ସୁଯୋଗ ଅନ୍ବେଷଣ କରନ୍ତି ସେମାନଙ୍କ ସୁଯୋଗକୁ-1 ଯେପରି-2	
figs-abstractnouns_11_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଧାର୍ମିକତାର ସେବକମାନଙ୍କ-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ନିର୍ବୋଧ-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମୋହର} ଦର୍ପରେ ଏହି ସାହସରେ କହୁଅଛି-1	
figs-abstractnouns_11_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଅଳ୍ପ ଟିକେ ନିର୍ବୋଧତା-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଅପମାନିତ ହୋଇ-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ନିର୍ବୋଧତାରେ-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆହୁରି ଅଧିକ କାରାବାସରେ-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମୃତ୍ୟୁର {ଆଶଙ୍କାରେ-1	
figs-abstractnouns_11_26__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ନଦୀର ବିପଦରେ-1 ଡକାଇତମାନଙ୍କ ବିପଦରେ-1 ମୋର ଆପଣା} ସ୍ବଜାତିମାନଙ୍କଠାରୁ ବିପଦରେ-1 ବିଜାତୀୟମାନଙ୍କଠାରୁ ବିପଦରେ-1 ନଗରର ବିପଦରେ-1 ପ୍ରାନ୍ତରର ବିପଦରେ-1 ସମୂଦ୍ରର ବିପଦରେ-1 ଭଣ୍ଡ ଭାଇମାନଙ୍କଠାରୁ ବିପଦରେ-1	
figs-abstractnouns_11_27__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	କଠିନ ପରିଶ୍ରମରେ ଓ କଠିନତାରେ-1 ଅନେକ ଥର ରାତ୍ର ଉଜାଗରରେ, କ୍ଷୁଧାରେ ଓ ତୃଷାରେ-1 ଅନେକ ଥର ଉପବାସରେ-1 ଶୀତରେ ଓ ଉଲଙ୍ଗତାରେ-1	
figs-abstractnouns_11_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେଠାରେ} ସମସ୍ତ ମଣ୍ଡଳୀସମୂହ {ନିମନ୍ତେ} ଚିନ୍ତାରେ ପ୍ରତିଦିନ ମୋ ଉପରେ ମାଡ଼ିପଡ଼ୁଅଛି-1	
figs-abstractnouns_11_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଈଶ୍ବରଙ୍କ ବିଷୟକ ଉଦ୍‌ଯୋଗରେ-1	
figs-abstractnouns_11_30__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମୋହର ଦୁର୍ବଳତାର ବିଷୟ-1	
figs-abstractnouns_11_31__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଅନନ୍ତକାଳ ନିମନ୍ତେ-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆପଣା ଧୁର୍ତ୍ତତାରେ-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଖ୍ରୀଷ୍ଟଙ୍କଠାରେ ସରଳତା ଓ ପବିତ୍ରତାରୁ-1	
figs-abstractnouns_11_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏହି ଜ୍ଞାନରେ-1	
figs-abstractnouns_12_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଦୁର୍ବଳତାରେ, ଅପମାନରେ-1 ଦୁର୍ଦ୍ଦଶାରେ-1 ତାଡନାରେ ଓ ସଙ୍କଟରେ-1	
figs-abstractnouns_12_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସମସ୍ତ ସହନଶୀଳତା ସହିତ-1	
figs-abstractnouns_12_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏହି ଦୋଷ-1	
figs-abstractnouns_12_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଛଳରେ-1	
figs-abstractnouns_12_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମୋହର-1 ଦୁର୍ବଳତା-1	
figs-abstractnouns_12_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସତ୍ୟ-1	
figs-abstractnouns_12_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭର ଅନୁଗ୍ରହ ତୁମ୍ଭ ନିମନ୍ତେ ଯଥେଷ୍ଟ-1 କାରଣ-1 ଆମ୍ଭର} ଶକ୍ତି ଦୁର୍ବଳତାରେ ସିଦ୍ଧ ହୁଏ-1	
figs-abstractnouns_12_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ମୋହର ଦୁର୍ବଳତାରେ-1 ଯେପରି ଖ୍ରୀଷ୍ଟଙ୍କ ଶକ୍ତି ମୋ' ଉପରେ ଅବସ୍ଥାନ କରି ପାରିବ-1	
figs-abstractnouns_13_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ପ୍ରଭୁ-1 ମୋତେ ଯେଉଁ ଅଧିକାର ଦେଇଅଛନ୍ତି ସେଅନୁସାରେ-1	
figs-abstractnouns_13_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଶାନ୍ତିରେ ବାସ କର-1	
