Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ଆତ୍ମା ତୁମ୍ଭମାନଙ୍କୁ ପୃଥକିକୃତ କରିଛନ୍ତି-1 ଈଶ୍ବର ତୁମ୍ଭମାନଙ୍କ ପ୍ରତି ଅତ୍ଯନ୍ତ ଅନୁଗ୍ରହ କାର୍ଯ୍ୟସବୁ କରନ୍ତୁ-1 ଓ ସେ ତୁମ୍ଭମାନଙ୍କୁ ପ୍ରଚୁର ଶାନ୍ତିମୟ ଜୀବନ ପ୍ରଦାନ କରନ୍ତୁ-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଈଶ୍ବର-1 ଆପଣା ପରାକ୍ରମ ଶକ୍ତି ଦ୍ବାରା-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯାହା ଉପଯୁକ୍ତ-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯେତେବେଳେ ଯୀଶୁ ମସୀହ ସ୍ବର୍ଗରୁ ପ୍ରତ୍ୟାଗମନ କରିବେ-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯେତେବେଳେ ଯୀଶୁ ମସୀହ ପୁନର୍ବାର ଆଗମନ କରିବେ-1 ବହୁ ଉଚ୍ଛରେ-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	କିନ୍ତୁ ଯଦି ଯାହା ଉତ୍ତମ ତାହା ତୁମ୍ଭେମାନେ କରି ସୁଦ୍ଧା ଦୁଃଖଭୋଗ କରୁଅଛ-1 ଯଦିୟ ତୁମ୍ଭେମାନେ ତାହା ସହ୍ୟ କରୁଅଛ-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ସେହି ନିର୍ମାଣକାରୀମାନଙ୍କ ତୁଲ୍ୟ ଅଟନ୍ତି ଯାହା ଶାସ୍ତ୍ର ସେମାନଙ୍କ ବିଷୟରେ କହେ-1 ଯେଉଁ ପ୍ରସ୍ତରକୁ-1 ଅଗ୍ରାହ୍ୟ କଲେ ତାହା ଗୃହରେ ପ୍ରଧାନ ପ୍ରସ୍ତର ହୋଇଅଛି-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ ଗୁପ୍ତ ସ୍ବଭାବକୁ ଏପରିଭାବେ ସୌନ୍ଦର୍ଯ୍ୟ କର ଯେପରି ମ୍ଲାନ ହେବ ନାହିଁ-1	
figs-euphemism_4_6__1	Euphemism	unable to migrate selection, no match found for check in new resources	ଯଦିୟ ସେମାନେ ଜୀବିତ ଥିବା ବେଳେ ଈଶ୍ବର ସେମାନଙ୍କୁ ବିଚାର କରିଥାନ୍ତେ-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଓ ସେହି ସମୟରେ-1 ଯେତେବେଳେ ଈଶ୍ବର ପ୍ରତ୍ୟେକଜଣକୁ ବିଚାର କରିବାକୁ ଆସିବେ-1	
