Reference	Localized Group	Message	Selections	
figs-123person_2_10__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ମନୁଷ୍ୟ ପୁତ୍ରଙ୍କୁ-1	
figs-activepassive_1_14__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଯୀଶୁ ଗାଲିଲୀ ଅଞ୍ଚଳକୁ ଗଲେ-1 ଗାଲିଲୀରେ-1	
figs-activepassive_1_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ବର୍ତ୍ତମାନ ଆପଣା ରାଜ୍ୟର ଅଂଶୀ ହେବାକୁ ଏହା ତୁମ୍ଭମାନଙ୍କ ନିମନ୍ତେ ସମ୍ଭବ କରୁଅଛନ୍ତି-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ତେବେ-1	
figs-doublenegatives_6_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	ସେମାନେ ଯାତ୍ରା କରିବା ସମୟରେ-1 ଓ ଚଲା ବାଡ଼ି ସାଙ୍ଗରେ ନେବାକୁ-1 ସେ ମଧ୍ୟ ସେମାନଙ୍କୁ-2 ଅନୁମତି ଦେଲେ ନାହିଁ-1	
figs-doublet_14_68__1	Doublet	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେ କେଉଁ ବିଷୟରେ କହୁଅଛ ତାହା ମୁଁ ଜାଣେ ନାହିଁ! ମୁଁ ଏହା କିଛି ବୁଝୁ ନାହିଁ!-1	
figs-ellipsis_15_11__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯୀଶୁଙ୍କ ବଦଳରେ ସେମାନଙ୍କ ନିମନ୍ତେ ବାରବ୍ବାକୁ ମୁକ୍ତ କରିବାକୁ ପିଲାତଙ୍କୁ ଅନୁରୋଧ କରିବେ ବୋଲି-1	
figs-euphemism_11_30__1	Euphemism	unable to migrate selection, no match found for check in new resources	ଈଶ୍ଵର-1 ଯିଏ-1 ଅଧିକାର ଦେଲେ-1	
figs-euphemism_11_31__1	Euphemism	unable to migrate selection, no match found for check in new resources	ସେ ଈଶ୍ଵର ଥିଲେ ଯିଏ ତାହାଙ୍କୁ ଅଧିକାର ଦେଲେ-1	
figs-euphemism_5_39__1	Euphemism	unable to migrate selection, no match found for check in new resources	ପିଲାଟି ମରି ନାହିଁ-1 ମାତ୍ର କେବଳ ଶୋଇପଡ଼ିଅଛି-1	
figs-euphemism_6_25__1	Euphemism	unable to migrate selection, no match found for check in new resources	କେହିଜଣେ ଛେଦନ କରି-1 ମୋ ନିକଟକୁ ଆଣିବା ପାଇଁ ଆପଣ ଆଜ୍ଞା ଦିଅନ୍ତୁ-1	
figs-euphemism_6_27__1	Euphemism	unable to migrate selection, no match found for check in new resources	ଯୋହନଙ୍କ ମସ୍ତକ-1 ବାଳିକା ନିକଟକୁ ତାହା ଆଣିବାକୁ-1	
figs-exclusive_5_9__1	Exclusive and Inclusive ‘We’	unable to migrate selection, no match found for check in new resources	ମୋର ନାମ ବାହିନୀ କାରଣ ସେଠାରେ ସେହି ଲୋକଠାରେ ଆମମାନଙ୍କ ମଧ୍ୟରୁ ଅନେକ ମନ୍ଦ ଆତ୍ମାମାନେ ରହିଛୁ-1	
figs-explicit_10_7__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଯେତେବେଳେ ଜଣେ ପୁରୁଷ ଓ ସ୍ତ୍ରୀ ବିବାହ କରନ୍ତି-1 ସେମାନେ ବିବାହ କରିବା ପରେ ସେମାନେ ସେମାନଙ୍କ ପିତା ଓ ମାତାଙ୍କ ସହିତ ଆଉ ବାସ କରିବା ଉଚିତ ନୁହେଁ-1	
figs-explicit_11_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଅନ୍ୟମାନେ ନିକଟରେ ଥିବା କ୍ଷେତରେ ଖଜୁରୀ ଗଛରୁ ଡାଳ କାଟିଲେ-1 ସେସବୁ-1	
figs-explicit_13_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	କେତେକ ଭାଇ ଓ ଭଉଣୀମାନେ ଅନ୍ୟ ଭାଇ ଓ ଭଉଣୀମାନଙ୍କୁ ବିଶ୍ବାସଘାତ କରିବେ-1	
figs-explicit_13_33__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସର୍ବଦା ସାବଧାନ ହୁଅ-1	
figs-explicit_14_54__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେହି ଲୋକମାନଙ୍କ ସହିତ ସେଠାରେ ବସିଲେ ଯେଉଁମାନେ ମହା ଯାଜକଙ୍କ ଗୃହକୁ ପହରା ଦେଉଥିଲେ-1	
figs-explicit_14_55__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନେ କୌଣସି ସାକ୍ଷ୍ୟ ପାଇଲେ ନାହିଁ-1	
figs-explicit_14_60__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନଙ୍କ ମଧ୍ୟସ୍ଥଳରେ ଠିଆ ହେଲେ-1	
figs-explicit_14_60__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେ କି ଉତ୍ତର ଦେବ ନାହିଁ ? "ସେମାନେ ତୁମ୍ଭକୁ ଦୋଷୀ କରିବା ଉଦ୍ଦେଶ୍ୟରେ ଯାହା କହୁଅଛନ୍ତି ସେହି ସମସ୍ତ ବିଷୟରେ ତୁମ୍ଭେ କଅଣ କହିବ?-1	
figs-explicit_14_65__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନେ ତାହାଙ୍କ ମୁହଁ ଘୋଡ଼ାଇଲେ-1	
figs-explicit_14_66__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	, ଜଣେ ବାଳିକା ଯିଏ ମହା ଯାଜକଙ୍କ ନିମନ୍ତେ କାର୍ଯ୍ୟ କରୁଥିଲା-1	
figs-explicit_14_69__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଏହି ଲୋକଟି ସେମାନଙ୍କୁ ମଧ୍ୟରୁ ଜଣେ ଯାହାକୁ ସେମାନେ ବନ୍ଦୀ କଲେ ସେହି ଲୋକ ସହିତ ଯିଏ ଥିଲା-1	
figs-explicit_15_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନେ ଯୀଶୁଙ୍କ ଡାହାଣ ପାଖ କ୍ର‌ୁଶରେ ଜଣକୁ ଓ ଜଣକୁ ତାହାଙ୍କ ବାମ ପାଖ କ୍ର‌ଶରେ ଚଢ଼ାଇଲେ-1	
