Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_18__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ତୁମ୍ଭର ବିଶ୍ଵାସ ଅଛି ବୋଲି, ଅପରପକ୍ଷରେ ମୋର କର୍ମ ଅଛି ବୋଲି-1 ମୁଁ ମୋର କର୍ମ ବିନା ମୋର ବିଶ୍ଵାସକୁ କେହି ଦେଖିପାରିବେ ନାହିଁ ଅନ୍ୟ ପକ୍ଷରେ ବିଶ୍ଵାସ ବିନା କର୍ମ ଦେଖିବା ସମ୍ଭବ ପର ଅଟେ-1	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ତୁମ୍ଭମାନଙ୍କ ମନରେ-1 ତିକ୍ତଭାବ ଥାଏ ଓ ତୁମ୍ଭେମାନେ ଯଦି ଇର୍ଷାପରାୟଣ ଓ ସ୍ୱାର୍ଥପର ହୋଇଥାଅ, ତାହାହେଲେ ତୁମ୍ଭେମାନେ ବୁଦ୍ଧିମାନ ଓ ଧାର୍ମିକ ବୋଲି ଗର୍ବ କର ନାହିଁ କାରଣ ତାହା ସବୁଠାରୁ ବଡ଼ ମିଥ୍ୟା କଥା ହେବ।-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଆପଣା ଲୋକମାନଙ୍କୁ-1 ପ୍ରତିଜ୍ଞା କରିଅଛନ୍ତି-1	
figs-activepassive_1_13__1	Active or Passive	2 duplicate migrations		
figs-activepassive_3_4__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଏତେ ବଡ ହୋଇ ଅତ୍ୟଧିକ ପବନ ବୋହିଲେ-1 ବୁଲାଇ ଦିଆ ଯାଏ-1	
figs-activepassive_3_6__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଯେପରି ଏକ ଛୋଟ ନିଆଁ ସମସ୍ତ ଅଞ୍ଚଳକୁ ଜଳାଇ ଦିଏ-1 ଆମ୍ଭେ କହୁ ଆମ୍ଭମାନଙ୍କ ପୁଅ ଓ ଝିଅ ଓ ତାଙ୍କର ବଂଶକୁ ମନ୍ଦ ପ୍ରଭାବ ଆଣିଦେଇଥାଏ।-1	
figs-doublet_1_17__1	Doublet	unable to migrate selection, there are 2 similar checks	ପ୍ରତ୍ୟେକ, ପ୍ରକୃତ ଉତ୍ତମ ଏବଂ ସମ୍ପୂର୍ଣ୍ଣ ଦାନ-1	
figs-ellipsis_1_10__1	Ellipsis	2 duplicate migrations		
figs-ellipsis_3_12__1	Ellipsis	unable to migrate selection, there are 2 similar checks	ବା ଅଙ୍ଗୁର ଲତାରେ ଡିମ୍ବୁରି ଫଳେ ନାହିଁ-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୁଁ ଯାକୁବ, ଈଶ୍ଵର ଓ ପ୍ରଭୁ ଯୀଶୁ ଯେ ମସୀହ ଅଟନ୍ତି, ତାହାଙ୍କର ସେବା କରେ-1	
