Reference	Localized Group	Message	Selections	
figs-abstractnouns_4_10__1	Abstract Nouns	2 duplicate migrations		
figs-abstractnouns_5_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭମାନଙ୍କର ବିଶ୍ବାସ-1	
figs-abstractnouns_5_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ବିଜୟ-1 ଯାହା ଜଗତକୁ ଜୟ କରିଅଛି-1	
figs-ellipsis_2_2__1	Ellipsis	unable to migrate selection, no match found for check in new resources	କେବଳ ଆମ୍ଭମାନଙ୍କର ନୁହେଁ, ମାତ୍ର ସମଗ୍ର ଜଗତର ପାପ ନିମନ୍ତେ-1	
figs-ellipsis_4_1__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ସେମାନେ ଈଶ୍ବରଙ୍କଠାରୁ କି ନାହିଁ,-1	
figs-explicit_1_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଯଦି ଆମ୍ଭେମାନେ ଆପଣା ଆପଣା ପାପ ସ୍ୱୀକାର କରୁ-1	
figs-explicit_2_26__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଯେଉଁମାନେ ତୁମ୍ଭମାନଙ୍କୁ ଭ୍ରାନ୍ତ କରିବାକୁ ଚେଷ୍ଟା କରୁଛନ୍ତି-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେ ମଧ୍ୟ ତାହାଙ୍କ ପରି ଆଚରଣ କରିବା ଉଚିତ୍ ।-1	
figs-explicit_4_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	କାରଣ ଯେ ଆପଣା ଭାଇକୁ ପ୍ରେମ କରେ ନାହିଁ, ଯାହାକୁ ସେ ଦେଖିଅଛି, ସେ ଈଶ୍ବରଙ୍କୁ ପ୍ରେମ କରି ପାରେ ନାହିଁ, ଯାହାଙ୍କୁ ଦେଖି ନାହିଁ ।-1	
figs-explicit_5_10__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ଈଶ୍ୱରଙ୍କ ପୁତ୍ରଙ୍କଠାରେ-1	
figs-explicitinfo_1_1__1	Making Assumed Knowledge and Implicit Information Explicit	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭେମାନେ ସ୍ୱଚକ୍ଷୁରେ ଦେଖିଅଛୁ,-1 ଆମ୍ଭମାନଙ୍କ ହସ୍ତରେ ସ୍ପର୍ଶ କରିଅଛୁ-1	
figs-gendernotations_3_24__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	ଓ ତାହାଠାରେ ସେ ରହନ୍ତି-1	
figs-genericnoun_4_21__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	ଯେକେହି ଈଶ୍ୱରଙ୍କୁ ପ୍ରେମ କରେ-1	
