Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେ ଉତ୍ତମ ଅଟନ୍ତି-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	ଅବିଶ୍ଵାସୀ ନ ହୁଅ-1 ମାତ୍ର ବିଶ୍ଵାସୀ ହୁଅ-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଏହି ଜଗତରୁ-1 ଏହି ଜଗତରୁ-2	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମହାଶୟ-1 ଯଦି ଆପଣ ତାହାଙ୍କୁ ଘେନିଯାଇଅଛନ୍ତି-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୁଁ ମୋହର ପିତା ଓ ତୁମ୍ଭର ପିତା-1 ଆଉ ମୋହର ଈଶ୍ଵର ଓ ତୁମ୍ଭର ଈଶ୍ଵରଙ୍କ ନିକଟକୁ ଯାଉଅଛି-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମଗ୍‌ଦଲୀନୀ ମରୀୟମ ଆସି-1 ଶିଷ୍ୟମାନଙ୍କୁ କହିଲେ-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେ ଆପଣା ହସ୍ତ ଓ ଆପଣା କକ୍ଷଦେଶ ଦେଖାଇଲେ-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ବିଶ୍ଵାସୀ ହୁଅ-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେ ବିଶ୍ଵାସ କରିଅଛ-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ନ ଦେଖି-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନେ ପ୍ରଭୁଙ୍କୁ ସମାଧିରୁ ଘେନିଯାଇଅଛନ୍ତି-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେ ଦେଖିଲେ ଓ ବିଶ୍ଵାସ କଲେ-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେମାନେ ଏପର୍ଯ୍ଯନ୍ତ ଧର୍ମଶାସ୍ତ୍ର ବୁଝି ନ ଥିଲେ-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେ କେଉଁ ପ୍ରକାର ମୃତ୍ୟୁଭୋଗରେ ଈଶ୍ବରଙ୍କ ଗୌରବାନ୍ବିତ କରିବେ ତାହା ସୂଚାଇ-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୋହର ଅନୁଗମନ କର-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଆମ୍ଭେମାନେ ଜାଣୁ-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	ଆପେ-1 ଡେଇଁପଡ଼ିଲେ-1	
figs-metonymy_12_28__1	Metonymy	unable to migrate selection, no match found for check in new resources	ଆକାଶରୁ ଏକ ବାଣୀ ହେଲା-1	
figs-metonymy_12_38__1	Metonymy	unable to migrate selection, no match found for check in new resources	ପ୍ରଭୁଙ୍କ ବାହୁ-1	
figs-metonymy_17_18__2	Metonymy	unable to migrate selection, no match found for check in new resources	ଜଗତ ମଧ୍ୟକୁ-1 ଜଗତ ମଧ୍ୟକୁ-2	
figs-metonymy_18_36__2	Metonymy	unable to migrate selection, no match found for check in new resources	ଏହି ଜଗତରୁ-1 ଏହି ଜଗତରୁ-2 ଏଠାରୁ-1	
figs-metonymy_20_31__1	Metonymy	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ନାମରେ-1 ଜୀବନ-1	
grammar-connect-logic-goal_1_31__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	ଯେପରି ସେ-1 ପ୍ରକାଶିତ ହୁଅନ୍ତି-1	
grammar-connect-logic-goal_6_52__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	ଖାଇବାକୁ-1	
grammar-connect-logic-goal_9_39__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	ଯେପରି ଯେଉଁମାନେ ଦେଖୁ ନାହାଁନ୍ତି ଦେଖି ପାରନ୍ତି ଏବଂ ଯେଉଁମାନେ ଦେଖୁଛନ୍ତି ଅନ୍ଧ ହୁଅନ୍ତି-1	
grammar-connect-time-sequential_3_22__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ଏହା ପରେ-1	
grammar-connect-time-sequential_5_14__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ଏହା ପରେ-1	
grammar-connect-time-sequential_5_1__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ଏହା ପରେ-1	
guidelines-sonofgodprinciples_17_21__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	ଯେପରି ଜଗତ ବିଶ୍ବାସ କରିବ ଯେ ତୁମ୍ଭେ ମୋତେ ପ୍ରେରଣ କରିଅଛ-1	
translate-names_19_39__1	How to Translate Names	unable to migrate selection, no match found for check in new resources	ଯିଏ ପ୍ରଥମେ ରାତ୍ରରେ ତାହାଙ୍କ ନିକଟକୁ ଆସିଥିଲେ-1	
writing-background_11_5__1	Background Information	unable to migrate selection, no match found for check in new resources	ଏତେବେଳେ ଯୀଶୁ-1 ମାର୍ଥା ଓ ତାଙ୍କ ଭଉଣୀ ଓ ଲାଜରଙ୍କୁ ପ୍ରେମ କରୁଥିଲେ-1	
writing-background_1_24__1	Background Information	unable to migrate selection, no match found for check in new resources	ଆଉ ଯେଉଁମାନେ ପ୍ରେରିତ ହୋଇଥିଲେ ସେମାନେ ଫାରୂଶୀମାନଙ୍କ ମଧ୍ୟରୁ ଥିଲେ-1	
writing-background_1_44__1	Background Information	unable to migrate selection, no match found for check in new resources	ଏବେ ଫିଲିପ୍ପ-1 ଆନ୍ଦ୍ରିୟ ଓ ପିତରଙ୍କ ନଗରରୁ-1 ବେଥ୍‌ସାଇଦାରୁ ଥିଲେ-1	
writing-background_2_9__1	Background Information	unable to migrate selection, no match found for check in new resources	(ଆଉ ଏହା କେଉଁଠାରୁ ଆସିଲା ସେ ଜାଣି ନ ଥିଲେ-1 ମାତ୍ର ପରିଚାରକମାନେ-1 ଯେଉଁମାନେ ପାଣି କାଢିଥିଲେ ସେମାନେ-1 ଜାଣିଥିଲେ-1	
writing-background_5_1__1	Background Information	unable to migrate selection, no match found for check in new resources	ଏହା ପରେ-1 ଯିହୁଦୀମାନଙ୍କର ଏକ ପର୍ବ ପଡ଼ିଲା-1 ଆଉ ଯୀଶୁ ଯିରୂଶାଲମକୁ ଗଲେ-1	
writing-background_6_59__1	Background Information	unable to migrate selection, no match found for check in new resources	ସେ କଫର୍ନାହୁମରେ ଶିକ୍ଷା ଦେଉଥିବା ସମୟରେ, ଏକ ସମାଜଗୃହରେ ଏହି ବିଷୟସବୁ କହିଲେ-1	
writing-background_7_2__1	Background Information	unable to migrate selection, no match found for check in new resources	ଏବେ ଯିହୁଦୀମାନଙ୍କ ପର୍ବ-1 କୁଟୀରବାସ ପର୍ବ-1 ସନ୍ନିକଟ ଥିଲା-1	
writing-pronouns_1_12__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କୁ-1	
writing-pronouns_1_13__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ସେମାନେ-1	
writing-pronouns_1_14__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ମହିମା-1	
writing-pronouns_1_15__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ-1	
writing-pronouns_1_23__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ସେ କହିଲେ-1	
writing-pronouns_1_28__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏହି ବିଷୟସବୁ-1	
writing-pronouns_1_31__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏଥି ସକାଶୁ-1	
writing-pronouns_1_34__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏ-2	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କଠାରେ-1	
writing-pronouns_1_50__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏସବୁ ଅପେକ୍ଷା ମହାନ ବିଷୟସବୁ-1	
writing-pronouns_1_7__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ଦ୍ବାରା-1	
writing-pronouns_2_12__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏହା ପରେ-1	
writing-pronouns_2_12__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ସେ ଓ ତାହାଙ୍କ ମାତା-1	
writing-pronouns_2_18__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏହି ବିଷୟସବୁ-1	
writing-pronouns_2_23__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ବର୍ତ୍ତମାନ ଯେତେବେଳେ ସେ-1 ଥିଲେ-1	
writing-pronouns_3_10__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏହି ବିଷୟସବୁ-1	
writing-pronouns_3_16__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କଠାରେ-1	
writing-pronouns_3_9__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ଏହି ବିଷୟସବୁ-1	
writing-pronouns_4_19__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କୁ-1	
writing-pronouns_4_30__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ନିକଟକୁ-1	
writing-pronouns_4_3__1	Pronouns — When to Use Them	unable to migrate selection, no match found for check in new resources	ସେ-1 ପରିତ୍ୟାଗ କଲେ-1	
