Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେ ଜଣେ ଉତ୍ତମ ଲୋକ-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	ମୁଁ ଯେ ସେହି ତାହା ସନ୍ଦେହ କରିବା ବନ୍ଦ କର-1 ତୁମ୍ଭର ଭରସା ମୋଠାରେ ରଖ-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଏହି ପାପମୟ ଜଗତ ଅନ୍ତର୍ଗତ-1 ଏହା କଲେ-1	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ନିସ୍ତାରପର୍ବ ସେହି ସନ୍ଧ୍ୟାରେ ପ୍ରାୟ ଆରମ୍ଭ ହେବାକୁ ଯାଉଥିଲା-1 ଆଉ ସେମାନେ ଏହି ସମାଧିକୁ ବାଛିଲେ କାର ଏହା ନିକଟରେ ଥିଲା ଓ ଯେହେତୁ ସେମାନେ ଶୀଘ୍ର ଯୀଶୁ ସମାଧି ଦେଲେ-1 ତେଣୁ ସେମାନେ ଯୀଶୁଙ୍କୁ ସେଠାରେ ରଖିଦେଲେ-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମହାଶୟ-1 ଯଦି ଆପଣ ତାହାଙ୍କୁ ବାହାରକୁ ଘେନିଯାଇଅଛନ୍ତି-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୁଁ ମୋହର ପିତା ଓ ତୁମ୍ଭମାନଙ୍କ ପିତା ସହିତ ରହିବାକୁ ସ୍ବର୍ଗକୁ ପ୍ରତ୍ୟାବର୍ତ୍ତନ କରୁଅଛି-1 ସେହି ବ୍ୟକ୍ତିଙ୍କ ନିକଟକୁ ଯିଏ ମୋହର ଈଶ୍ବର ଓ ମଧ୍ୟ ତୁମ୍ଭମାନଙ୍କ ଈଶ୍ବର ଅଟନ୍ତି-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମଗ୍‌ଦଲୀନୀ ମରିୟମ ଶିଷ୍ୟମାନଙ୍କ ନିକଟକୁ ଗଲେ ଓ କହିଲେ-1 ଆଉ ସେ-1 ସେମାନଙ୍କୁ ସମ୍ବାଦ ଦେଲେ-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଓ-1 ଭିତରେ ରହୁଥିଲେ କାରଣ ସେମାନେ ଭୟ କରୁଥିଲେ ଯେ ଯିହୁଦୀ ନେତାମାନେ ସେମାନଙ୍କୁ ବନ୍ଦୀ କରିବେ-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ସେ ସେମାନଙ୍କୁ ଆପଣା ହସ୍ତ ଓ ଆପଣା କକ୍ଷଦେଶ ଦେଖାଇଲେ-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭର ଭରସା ମୋଠାରେ ରଖ-1	
