Reference	Localized Group	Message	Selections	
figs-exclusive_1_3__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	{ଯୀଶୁ କରିବାର} ଆମ୍ଭେମାନେ ଦେଖିଲୁ ଓ-1 {ଯୀଶୁ କହିବାର} ଆମ୍ଭେମାନେ ଶୁଣିଲୁ ଆମ୍ଭେମାନେ-1 ଘୋଷଣା କରୁଅଛୁ।-1	
figs-exclusive_1_3__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	ତୁମ୍ଭେମାନେ-3 ଜୀବନରେ ସହଭାଗିତା ହେ-2 ଯେପରି ଆମ୍ଭେମାନେ କରୁ।-1	
figs-exclusive_4_6__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	ଆମ୍ଭମାନଙ୍କ ନିମନ୍ତେ-1 ଯାହା ଆମ୍ଭେମାନେ ଶିକ୍ଷା ଦେଉ-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ଆମ୍ଭେମାନେ-1 ବ୍ୟକ୍ତିଗତ ଭାବରେ ଦେଖିଅଛୁ-1 ସ୍ପର୍ଶ କରିଅଛୁ। {ଯେପରି ଆମ୍ଭେମାନେ ସାକ୍ଷ୍ୟ ଦେଇପାରୁ ଯେ, ସେ ପ୍ରକୃତରେ ଜଣେ ମନୁଷ୍ୟ ଥିଲେ}।-1	
figs-explicit_2_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ପ୍ରକୃତରେ ସେମାନେ କଦାପି ଆମ୍ଭମାନଙ୍କ ସହିତ ପ୍ରଥମ ସ୍ଥାନରେ ନ ଥିଲେ-1 ସେମାନଙ୍କ ସମସ୍ତଙ୍କ ମଧ୍ୟରୁ ପ୍ରଙ୍କୃତରେ କେହିଁ କଦାପି ଆମ୍ଭମାନଙ୍କ ସହ ସଂଯୁକ୍ତ ନ ଥିଲେ-1	
figs-idiom_4_6__1	Idiom	unable to migrate selection, there are 5 similar checks	ଯାହା ଆମ୍ଭେମାନେ ଶିକ୍ଷା ଦେଉ ତାହା ବିଶ୍ଵାସ ଓ ପାଳନ କରେ-1 ଯାହା ଆମ୍ଭେମାନେ ଶିକ୍ଷା ଦେଉ ବିଶ୍ଵାସ କିମ୍ବା ପାଳନ କରେ ନାହିଁ।-1	
figs-metaphor_1_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_7__1	Metaphor	unable to migrate selection, there are 4 similar checks	ଈଶ୍ଵର ଆମ୍ଭମାନଙ୍କୁ ସମସ୍ତ ପାପ କ୍ଷମା କରନ୍ତି ପୁଣି ଆମ୍ଭମାନଙ୍କୁ ଗ୍ରହଣ କରନ୍ତି-1	
figs-metaphor_2_24__1	Metaphor	unable to migrate selection, there are 2 similar checks	ଦ୍ଵାରା ତୁମ୍ଭେମାନେ ନିରନ୍ତର ବିଶ୍ଵାସ କରି ଜୀବନ ଯାପନ କରିବା ଉଚିତ-1 ଦ୍ଵାରା ତୁମ୍ଭେମାନେ ନିରନ୍ତର ବିଶ୍ଵାସ କରି ଜୀବନ ଯାପନ କର-2	
figs-metaphor_2_27__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_14__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_9__1	Metaphor	unable to migrate selection, there are 3 similar checks	ଲୋକମାନେ-1 ଯେବେ ସେମାନେ ଈଶ୍ଵରଙ୍କ ଆତ୍ମିକ ସନ୍ତାନ ହୁଅନ୍ତି-1 ଯେହେତୁ ସେମାନେ ଈଶ୍ଵରଙ୍କ ଆତ୍ମିକ ସନ୍ତାନ ଅଟନ୍ତି।-1	
