Reference	Localized Group	Message	Selections	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ନାଁ-1 ତୁମେ ବୁଝିବା ଉଚିତ ଯେ ତା'ବଦଳେ, ଲୋକମାନେ ମୋର ସପକ୍ଷ ଓ ବିପକ୍ଷରେ ପକ୍ଷ ନେବେ-1	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ଯେପରି ଲୋକମାନେ ଏକତ୍ର ଶାନ୍ତିରେ ବାସ କରିବେ-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଫଳ ସ୍ବରୁପ-1 ନିମନ୍ତେ ଏହି ସମୟରେ ବାସ କରୁଥିବା ଲୋକମାନେ ଦଣ୍ଡିତ ହେବେ-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ହତ୍ୟା କରିଥିବା-1 ଯେଉଁମାନଙ୍କୁ ଲୋକମାନେ-1 ହତ୍ୟା କରିଛନ୍ତି-1	
figs-activepassive_12_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ସେମାନଙ୍କ ପାପକୁ ଗୁପ୍ତ ରଖିବା ପାଇଁ ଚେଷ୍ଟା କରିବା ଲୋକମାନଙ୍କ ପାଇଁ ଏହା ବୃଥା ଅଟେ-1	
figs-activepassive_12_48__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ପ୍ରଭୁ ସେହିସବୁ ଦାସମାନଙ୍କଠାରୁ ଅଧିକ ଆଶା କରିବେ ଯେଉଁମାନଙ୍କୁ ସେ ଅଧିକ ଦେଇଛନ୍ତି-1	
figs-activepassive_12_50__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ମୋତେ ଦୁଃଖ ଭୋଗିବାକୁ ପଡିବ-1	
figs-activepassive_14_14__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଈଶ୍ବର-1 ତୁମକୁ ଫେରାଇ ଦେବେ-1	
figs-activepassive_14_34__1	Active or Passive	unable to migrate selection, there are 2 similar checks	କେହି ହେଲେ ଏହାକୁ ପୁନର୍ବାର ସ୍ବାଦଯୁକ୍ତ କରି ପାରିବ ନାହିଁ-1	
figs-activepassive_16_25__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ସେ-1 ଆନନ୍ଦରେ ଅଛି-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଯେଉଁ ଲୋକମାନଙ୍କୁ ଈଶ୍ଵର-1 ଯୋଗ୍ୟ ବିବେଚନା କରିବେ-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଯେଉଁ ଲୋକମାନଙ୍କୁ ଈଶ୍ଵର ସ୍ବର୍ଗରେ ରହିବା ନିମନ୍ତେ ଯୋଗ୍ୟ ବିବେଚନା କରିବେ,-1	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଯିଏ ମୋତେ (ମୋ ଶତ୍ରୁମାନଙ୍କ ନିକଟରେ) ହସ୍ତରେ ସମର୍ପଣ କରିବ-1	
figs-activepassive_23_32__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ଅନ୍ୟ ଦୁଇଜଣ ବ୍ୟକ୍ତିମାନେ-1 ଯେଉଁମାନେ ଦୁଷ୍କର୍ମକାରୀ ଥିଲେ-1 ମଧ୍ୟ ସେହି ସ୍ଥାନକୁ ଯୀଶୁଙ୍କ ସହିତ ଯାଉଥିଲେ-1	
figs-activepassive_24_44__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ମୋ(ମସିହ) ବିଷୟରେ ଯେଉଁ ସମସ୍ତ ବିଷୟ ସେ କହିଥିଲେ-1	
figs-activepassive_24_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ମୋତେ-1 ମନୁଷ୍ୟ ପୁତ୍ରଙ୍କୁ-1 ହସ୍ତରେ ସମର୍ପଣ-1	
